Index,Message,Description,Message Abstract,Description Abstract
1,Metainfo: set brand color to Mint 500 (#257),Co-authored-by: Leo lenemter@gmail.com,Metainfo: set brand color to Mint 500 (#257),Co-authored-by: Leo lenemter@gmail.com
2,Translated using Weblate (Norwegian Bokmål (nb)),Currently translated at 94.4% (17 of 18 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/nb/,Translated using Weblate (Norwegian Bokmål (nb)),Currently translated at 94.4% (17 of 18 strings) Translation: Calculator/Calculator (Extra) Translate-URL: link/
3,Fix crash when pasting into division or multiplication expression (#259),  Ignore .flatpak directory when searching   Partition entry text properly ,Fix crash when pasting into division or multiplication expression (#259),Ignore .flatpak directory when searching Partition entry text properly
4,Translated using Weblate (Hungarian),Currently translated at 100.0% (18 of 18 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/hu/,Translated using Weblate (Hungarian),Currently translated at 100.0% (18 of 18 strings) Translation: Calculator/Calculator (Extra) Translate-URL: link/
5,Translated using Weblate (Catalan),Currently translated at 100.0% (18 of 18 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/ca/,Translated using Weblate (Catalan),Currently translated at 100.0% (18 of 18 strings) Translation: Calculator/Calculator (Extra) Translate-URL: link/
6,Translated using Weblate (Polish),Currently translated at 100.0% (18 of 18 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/pl/,Translated using Weblate (Polish),Currently translated at 100.0% (18 of 18 strings) Translation: Calculator/Calculator (Extra) Translate-URL: link/
7,Translated using Weblate (English (United Kingdom)),Currently translated at 100.0% (18 of 18 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/en_GB/,Translated using Weblate (English (United Kingdom)),Currently translated at 100.0% (18 of 18 strings) Translation: Calculator/Calculator (Extra) Translate-URL: link/
8,Translated using Weblate (Russian),Currently translated at 100.0% (18 of 18 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/ru/,Translated using Weblate (Russian),Currently translated at 100.0% (18 of 18 strings) Translation: Calculator/Calculator (Extra) Translate-URL: link/
9,Translated using Weblate (Hebrew),Currently translated at 100.0% (18 of 18 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/he/,Translated using Weblate (Hebrew),Currently translated at 100.0% (18 of 18 strings) Translation: Calculator/Calculator (Extra) Translate-URL: link/
10,Translated using Weblate (French),Currently translated at 100.0% (18 of 18 strings) Translation: Calculator/Calculator (Extra) Translate-URL: https://l10n.elementary.io/projects/calculator/extra/fr/,Translated using Weblate (French),Currently translated at 100.0% (18 of 18 strings) Translation: Calculator/Calculator (Extra) Translate-URL: link/
