Index,Message,Description,Message Abstract,Description Abstract
1,Update CHANGELOG,,Update CHANGELOG,
2,--log-level option in octane:start command (#701),,--log-level option in octane:start command (#701),
3,Update CHANGELOG,,Update CHANGELOG,
4,wip,,wip,
5,Update UPGRADE.md,,Update UPGRADE.md,
6,Updates upgrade guide,,Updates upgrade guide,
7,Use the latest dependencies of its dependencies,,Use the latest dependencies of its dependencies,
8,Merge branch '1.x',,Merge branch '1.x',
9,Update CHANGELOG,,Update CHANGELOG,
10,support projects using type module (#696),,support projects using type module (#696),
11,Update CHANGELOG,,Update CHANGELOG,
12,Uses laminas/laminas-diactoros@3 (#694),,Uses laminas/laminas-diactoros@3 (#694),
13,Fixes risky test,,Fixes risky test,
14,Merge branch '1.x',,Merge branch '1.x',
15,feat: enable http compression by sending data not with chunked encodi… (#691),  feat: enable http compression by sending data not with chunked encoding - if possible   Update SwooleClient.php    Co-authored-by: Taylor Otwell taylor@laravel.com,feat: enable http compression by sending data not with chunked encodi… (#691),feat: enable http compression by sending data not with chunked encoding - if possible Update SwooleClient.php Co-authored-by: Taylor Otwell taylor@laravel.com
16,test: run SwooleClientTest on openswoole as well. (#692),,test: run SwooleClientTest on openswoole as well. (#692),
17,[2.x] Adds support for RoadRunner v3 and updates dependencies (#690),  support roadrunner http v3   Update InstallsRoadRunnerDependencies.php   Update InstallsRoadRunnerDependencies.php   Uses Roadrunner v3 only   Bump dependencies   Adjusts coding style   Migrates to PHPUnit 10   Adds upgrade guide   Ui improvements   Updates upgrade guide   Updates list of dependencies   Adds pint   Ensures latest versions of dependencies   Updates upgrade guide   Updates build file   Fixes tests   Updates upgrade guide   Updates upgrade guide   Update upgrade guide   Update UPGRADE.md    Co-authored-by: Fabio Capucci fabio.cappuc@gmail.com Co-authored-by: Taylor Otwell taylor@laravel.com,[2.x] Adds support for RoadRunner v3 and updates dependencies (#690),support roadrunner http v3 Update InstallsRoadRunnerDependencies.php Update InstallsRoadRunnerDependencies.php Uses Roadrunner v3 only Bump dependencies Adjusts coding style Migrates to PHPUnit 10 Adds upgrade guide Ui improvements Updates upgrade guide Updates list of dependencies Adds pint Ensures latest versions of dependencies Updates upgrade guide Updates build file Fixes tests Updates upgrade guide Updates upgrade guide Update upgrade guide Update UPGRADE.md Co-authored-by: Fabio Capucci fabio.cappuc@gmail.com Co-authored-by: Taylor Otwell taylor@laravel.com
18,Merge branch '1.x',Conflicts: CHANGELOG.md,Merge branch '1.x',Conflicts: CHANGELOG.md
19,Update CHANGELOG,,Update CHANGELOG,
20,add ServerProcessInspector interface (#679),  add ServerProcessInspector interface   Update ServerProcessInspector.php   Update ServerProcessInspector.php    Co-authored-by: Taylor Otwell taylor@laravel.com,add ServerProcessInspector interface (#679),add ServerProcessInspector interface Update ServerProcessInspector.php Update ServerProcessInspector.php Co-authored-by: Taylor Otwell taylor@laravel.com
21,Update 1_Bug_report.yml,,Update 1_Bug_report.yml,
22,Update 1_Bug_report.yml,,Update 1_Bug_report.yml,
23,Update and rename 1_Bug_report.md to 1_Bug_report.yml,,Update and rename 1_Bug_report.md to 1_Bug_report.yml,
24,Update CHANGELOG.md,,Update CHANGELOG.md,
25,Merge pull request #676 from laravel/fix/broken-session-set-container-l,[1.x] Reverts #669,Merge pull request #676 from laravel/fix/broken-session-set-container-l,[1.x] Reverts #669
26,Reverts #669,,Reverts #669,
27,Update CHANGELOG,,Update CHANGELOG,
28,Update InteractsWithServers.php (#671),Use getHost(),Update InteractsWithServers.php (#671),Use getHost()
29,[1.x] Give new container instance to session manager (#669),  Give new app instance to session manager   wip ,[1.x] Give new container instance to session manager (#669),Give new app instance to session manager wip
30,Update CHANGELOG,,Update CHANGELOG,
31,[1.x] Give new app instance to cache manager (#667),  Give new app instance to cache manager   ensure setApplication method exists ,[1.x] Give new app instance to cache manager (#667),Give new app instance to cache manager ensure setApplication method exists
32,Support setting swoole server mode (#666),,Support setting swoole server mode (#666),
33,Apply fixes from StyleCI,,Apply fixes from StyleCI,
34,[1.x] Add method to fix octane route caching.  (#659),  add getRoutes to the providesRouting Trait   Update ProvidesRouting.php    Co-authored-by: charlesbilbo c.bilbo@rxmg.com Co-authored-by: Taylor Otwell taylor@laravel.com,[1.x] Add method to fix octane route caching.  (#659),add getRoutes to the providesRouting Trait Update ProvidesRouting.php Co-authored-by: charlesbilbo c.bilbo@rxmg.com Co-authored-by: Taylor Otwell taylor@laravel.com
35,Update CHANGELOG,,Update CHANGELOG,
36,Fix return value error and Remove useless code (#655),  Fix return value error   Remove useless code ,Fix return value error and Remove useless code (#655),Fix return value error Remove useless code
37,Add support for custom HTTP headers on static files (#653),  Add static file headers   Add support for file patterns   formatting    Co-authored-by: Taylor Otwell taylor@laravel.com,Add support for custom HTTP headers on static files (#653),Add static file headers Add support for file patterns formatting Co-authored-by: Taylor Otwell taylor@laravel.com
38,Update CHANGELOG,,Update CHANGELOG,
39,Fix timer table set failed (#650),  Fix timer table set failed   Update octane.php    Co-authored-by: Taylor Otwell taylor@laravel.com,Fix timer table set failed (#650),Fix timer table set failed Update octane.php Co-authored-by: Taylor Otwell taylor@laravel.com
40,[1.x] Adds type checking (#649),  Adds type checking   Fixes tests   Update .gitattributes   Update static-analysis.yml ,[1.x] Adds type checking (#649),Adds type checking Fixes tests Update .gitattributes Update static-analysis.yml
41,Update CHANGELOG,,Update CHANGELOG,
42,allow graceful reload after installing packages (#644),,allow graceful reload after installing packages (#644),
43,support .laravel directory,,support .laravel directory,
44,Update CHANGELOG,,Update CHANGELOG,
45,Adds support for Collision ^7.x (#643),,Adds support for Collision ^7.x (#643),
46,Fix unsetting a cookie value when using Swoole (#642),  Fix unsetting a cookie value when using Swoole   Update SwooleClient.php    Co-authored-by: Taylor Otwell taylor@laravel.com,Fix unsetting a cookie value when using Swoole (#642),Fix unsetting a cookie value when using Swoole Update SwooleClient.php Co-authored-by: Taylor Otwell taylor@laravel.com
47,Only displays source when there is source (#640),,Only displays source when there is source (#640),
48,[1.x] Removes internal messages from output (#639),  Ignores non necessary message   Ignores non necessary message ,[1.x] Removes internal messages from output (#639),Ignores non necessary message Ignores non necessary message
49,Update CHANGELOG,,Update CHANGELOG,
50,"Require ""laravel/framework"" using --dev for build (#630)","The project composer.json already contain laravel/framework under require and having this line replace the ""locked"" supported versions.","Require ""laravel/framework"" using --dev for build (#630)","The project composer.json already contain laravel/framework under require and having this line replace the ""locked"" supported versions."
51,[1.x] Adds Laravel 10 support (#629),  Adds Laravel 10 support   Ignores Laravel 10 on PHP 8.0 ,[1.x] Adds Laravel 10 support (#629),Adds Laravel 10 support Ignores Laravel 10 on PHP 8.0
52,Update tests.yml,,Update tests.yml,
53,Update CHANGELOG,,Update CHANGELOG,
54,Merge pull request #626 from laravel/patch-1,[1.x] Adds support for Open Swoole v22.x,Merge pull request #626 from laravel/patch-1,[1.x] Adds support for Open Swoole v22.x
55,Improves handling multiple versions of openswoole,,Improves handling multiple versions of openswoole,
56,feat: compatibility with openswoole v22.x,Openswoole v22.x change swoole_cpu_num() to OpenSwoole\Util::getCPUNum() https://openswoole.com/docs/modules/swoole-server/configuration#reactor_num,feat: compatibility with openswoole v22.x,Openswoole v22.x change swoole_cpu_num() to OpenSwoole\Util::getCPUNum() link
57,Create issues.yml,,Create issues.yml,
58,Update CHANGELOG,,Update CHANGELOG,
59,Added --rpc-host option (#619),,Added --rpc-host option (#619),
60,fix: ensure Testbench vendor symlink exists (#616),,fix: ensure Testbench vendor symlink exists (#616),
61,ci: update actions/checkout to v3 (#615),,ci: update actions/checkout to v3 (#615),
62,fix: resolve typo resulting in deprecation notice (#614),,fix: resolve typo resulting in deprecation notice (#614),
63,Update CHANGELOG,,Update CHANGELOG,
64,[1.x] Fixes test_error_method_sends_error_response_to_roadrunner test (#613),  Forces debug mode off in test   Sets app debug false on swoole test ,[1.x] Fixes test_error_method_sends_error_response_to_roadrunner test (#613),Forces debug mode off in test Sets app debug false on swoole test
65,Merge branch '1.x',,Merge branch '1.x',
66,Prefix rr binary permissions with 0 to specify it as an octal value (#611),,Prefix rr binary permissions with 0 to specify it as an octal value (#611),
67,Merge branch '1.x',Conflicts: CHANGELOG.md,Merge branch '1.x',Conflicts: CHANGELOG.md
68,Update CHANGELOG,,Update CHANGELOG,
69,Make IP to bind the server to configurable via env (#607),,Make IP to bind the server to configurable via env (#607),
70,Update CHANGELOG,,Update CHANGELOG,
71,[1.x] Adds tests regarding flushing controller is computed middleware (#595),  Adds tests regarding controller __construct middleware   Updates variable name   Updates framework versions ,[1.x] Adds tests regarding flushing controller is computed middleware (#595),Adds tests regarding controller __construct middleware Updates variable name Updates framework versions
72,Test on PHP 8.2 (#606),,Test on PHP 8.2 (#606),
73,Update StartCommand.php,,Update StartCommand.php,
74,[1.x] Read port for http server from environment if no port is passed  (#605),  feat: add support for environment defined port   chore: fix styleci errors   formatting   use env   Co-authored-by: Hendrik Heil hendrik@stafftastic.com Co-authored-by: Taylor Otwell taylor@laravel.com,[1.x] Read port for http server from environment if no port is passed  (#605),feat: add support for environment defined port chore: fix styleci errors formatting use env Co-authored-by: Hendrik Heil hendrik@stafftastic.com Co-authored-by: Taylor Otwell taylor@laravel.com
75,Re-do: Configurable Roadrunner log level (#604),  Made RR log level configurable   formatting   Fixed subtle operator precedence bug   Co-authored-by: Taylor Otwell taylor@laravel.com,Re-do: Configurable Roadrunner log level (#604),Made RR log level configurable formatting Fixed subtle operator precedence bug Co-authored-by: Taylor Otwell taylor@laravel.com
76,Update CHANGELOG,,Update CHANGELOG,
77,"Revert ""Made RR log level configurable (#601)"" (#603)",This reverts commit 8380c1345493a1e9b527e34f44daa7bd3455ea01.,"Revert ""Made RR log level configurable (#601)"" (#603)",This reverts commit 8380c1345493a1e9b527e34f44daa7bd3455ea01.
78,Update CHANGELOG,,Update CHANGELOG,
79,Made RR log level configurable (#601),,Made RR log level configurable (#601),
