Index,Message,Description,Message Abstract,Description Abstract
1532,Merge pull request #1614 from nestjs/renovate/nestjs-mapped-types-1.x,fix(deps): update dependency @nestjs/mapped-types to v1,Merge pull request #1614 from nestjs/renovate/nestjs-mapped-types-1.x,fix(deps): update dependency @nestjs/mapped-types to v1
1533,chore(): upgrade deps,,chore(): upgrade deps,
1534,chore(): resolve conflicts,,chore(): resolve conflicts,
1535,chore(deps): update jest monorepo,,chore(deps): update jest monorepo,
1536,chore(deps): update dependency typescript to v4.3.5,,chore(deps): update dependency typescript to v4.3.5,
1537,fix(deps): update dependency @nestjs/mapped-types to v1,,fix(deps): update dependency @nestjs/mapped-types to v1,
1538,Merge pull request #1502 from nestjs/renovate/apollo-graphql-packages,chore(deps): update apollo graphql packages,Merge pull request #1502 from nestjs/renovate/apollo-graphql-packages,chore(deps): update apollo graphql packages
1539,Merge pull request #1600 from nestjs/renovate/fast-glob-3.x,fix(deps): update dependency fast-glob to v3.2.6,Merge pull request #1600 from nestjs/renovate/fast-glob-3.x,fix(deps): update dependency fast-glob to v3.2.6
1540,chore(deps): update apollo graphql packages,,chore(deps): update apollo graphql packages,
1541,chore(deps): update dependency @types/node-fetch to v2.5.11,,chore(deps): update dependency @types/node-fetch to v2.5.11,
1542,chore(deps): update dependency @types/jest to v26.0.24,,chore(deps): update dependency @types/jest to v26.0.24,
1543,chore(deps): update dependency husky to v7.0.1,,chore(deps): update dependency husky to v7.0.1,
1544,chore(deps): update typescript-eslint monorepo to v4.28.2,,chore(deps): update typescript-eslint monorepo to v4.28.2,
1545,chore(deps): update dependency eslint to v7.30.0,,chore(deps): update dependency eslint to v7.30.0,
1546,chore(deps): update dependency husky to v7,,chore(deps): update dependency husky to v7,
1547,Merge pull request #1605 from shian15810/apollo,Import d.ts from @apollo/federation and @apollo/gateway instead of ts,Merge pull request #1605 from shian15810/apollo,Import d.ts from @apollo/federation and @apollo/gateway instead of ts
1548,fix(gateway): import d.ts from @apollo/gateway instead of ts,,fix(gateway): import d.ts from @apollo/gateway instead of ts,
1549,fix(federation): import d.ts from @apollo/federation instead of ts,,fix(federation): import d.ts from @apollo/federation instead of ts,
1550,chore(deps): update typescript-eslint monorepo to v4.28.1,,chore(deps): update typescript-eslint monorepo to v4.28.1,
1551,fix(deps): update dependency fast-glob to v3.2.6,,fix(deps): update dependency fast-glob to v3.2.6,
1552,chore(deps): update dependency prettier to v2.3.2,,chore(deps): update dependency prettier to v2.3.2,
1553,chore(deps): update dependency @types/node to v14.17.4,,chore(deps): update dependency @types/node to v14.17.4,
1554,chore(deps): update typescript-eslint monorepo to v4.28.0,,chore(deps): update typescript-eslint monorepo to v4.28.0,
1555,chore(deps): update dependency release-it to v14.10.0,,chore(deps): update dependency release-it to v14.10.0,
1556,chore(deps): update dependency graphql to v15.5.1,,chore(deps): update dependency graphql to v15.5.1,
1557,chore(deps): update dependency eslint to v7.29.0,,chore(deps): update dependency eslint to v7.29.0,
1558,"test(): fix integration tests, use nullable type",,"test(): fix integration tests, use nullable type",
1559,Merge pull request #1590 from Crocsx/issue/#1581,Allow GraphQLDefinitionsFactory to accept typePaths and typeDef for schema generation via cli.,Merge pull request #1590 from Crocsx/issue/#1581,Allow GraphQLDefinitionsFactory to accept typePaths and typeDef for schema generation via cli.
1560,Merge pull request #1562 from ssarj/stop-on-termination-signals-default,fix: Use default of false for stop termination on signals,Merge pull request #1562 from ssarj/stop-on-termination-signals-default,fix: Use default of false for stop termination on signals
1561,Merge pull request #1500 from koenpunt/patch-1,Consider __typename property of plain javascript objects for type,Merge pull request #1500 from koenpunt/patch-1,Consider __typename property of plain javascript objects for type
1562,Merge pull request #1473 from vinnymac/feature/support-null-unions,feat(plugin): Update plugin with null union support,Merge pull request #1473 from vinnymac/feature/support-null-unions,feat(plugin): Update plugin with null union support
1563,"chore(): resolve conflicts, fix deps",,"chore(): resolve conflicts, fix deps",
1564,chore(): release v7.11.0,,chore(): release v7.11.0,
1565,Merge pull request #1469 from timhall/fix/resolve-type-issue,fix: disable enhancers for __resolveType,Merge pull request #1469 from timhall/fix/resolve-type-issue,fix: disable enhancers for __resolveType
1566,Merge pull request #1482 from randomprofilename/graphql_federation_schemahost_fix,fix(federation): assignment GraphqlSchemaHost#schema in factory,Merge pull request #1482 from randomprofilename/graphql_federation_schemahost_fix,fix(federation): assignment GraphqlSchemaHost#schema in factory
1567,Merge pull request #1503 from kuskoman/call-apollo-start,fix(gateway): add missing apolloServer.start(),Merge pull request #1503 from kuskoman/call-apollo-start,fix(gateway): add missing apolloServer.start()
1568,Merge pull request #1544 from maazkabir/fastify-fix,fix : unhandled promise rejection in registerFastify method,Merge pull request #1544 from maazkabir/fastify-fix,fix : unhandled promise rejection in registerFastify method
1569,Merge pull request #1561 from Koala-gentil/enums-as-types,feat(@nestjs/graphql): add enumsAsTypes to definitions generator options,Merge pull request #1561 from Koala-gentil/enums-as-types,feat(@nestjs/graphql): add enumsAsTypes to definitions generator options
1570,"chore(): upgrade deps, remove apollo-env dependency",,"chore(): upgrade deps, remove apollo-env dependency",
1571,Merge pull request #1508 from bzuker/bz/fix-field-middleware-type,fix(@nest/graphql): change FieldMiddleware context type,Merge pull request #1508 from bzuker/bz/fix-field-middleware-type,fix(@nest/graphql): change FieldMiddleware context type
1572,Merge pull request #1501 from nestjs/renovate/graphql-tools-monorepo,fix(deps): update graphql-tools monorepo,Merge pull request #1501 from nestjs/renovate/graphql-tools-monorepo,fix(deps): update graphql-tools monorepo
1573,Merge pull request #1558 from nestjs/renovate/ts-morph-11.x,chore(deps): update dependency ts-morph to v11,Merge pull request #1558 from nestjs/renovate/ts-morph-11.x,chore(deps): update dependency ts-morph to v11
1574,Merge pull request #1563 from nestjs/renovate/circleci-node-16.x,chore(deps): update node.js to v16,Merge pull request #1563 from nestjs/renovate/circleci-node-16.x,chore(deps): update node.js to v16
1575,Merge pull request #1578 from nestjs/dependabot/npm_and_yarn/glob-parent-5.1.2,chore(deps): bump glob-parent from 5.1.0 to 5.1.2,Merge pull request #1578 from nestjs/dependabot/npm_and_yarn/glob-parent-5.1.2,chore(deps): bump glob-parent from 5.1.0 to 5.1.2
1576,Merge pull request #1582 from nestjs/renovate/tslib-2.x,fix(deps): update dependency tslib to v2.3.0,Merge pull request #1582 from nestjs/renovate/tslib-2.x,fix(deps): update dependency tslib to v2.3.0
1577,Merge pull request #1586 from nestjs/renovate/chokidar-3.x,fix(deps): update dependency chokidar to v3.5.2,Merge pull request #1586 from nestjs/renovate/chokidar-3.x,fix(deps): update dependency chokidar to v3.5.2
1578,Remove fallback value,,Remove fallback value,
1579,Add Tests,,Add Tests,
1580,chore(deps): update nest monorepo to v7.6.18,,chore(deps): update nest monorepo to v7.6.18,
1581,Issue 1581,,Issue 1581,
1582,fix(deps): update dependency chokidar to v3.5.2,,fix(deps): update dependency chokidar to v3.5.2,
1583,chore(deps): update typescript-eslint monorepo to v4.27.0,,chore(deps): update typescript-eslint monorepo to v4.27.0,
1584,chore(deps): update dependency release-it to v14.9.0,,chore(deps): update dependency release-it to v14.9.0,
1585,fix(deps): update dependency tslib to v2.3.0,,fix(deps): update dependency tslib to v2.3.0,
1586,chore(deps): bump glob-parent from 5.1.0 to 5.1.2,Bumps glob-parent from 5.1.0 to 5.1.2. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: glob-parent   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com,chore(deps): bump glob-parent from 5.1.0 to 5.1.2,Bumps glob-parent from 5.1.0 to 5.1.2. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: glob-parent   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com
1587,chore(deps): update dependency @types/node to v14.17.3,,chore(deps): update dependency @types/node to v14.17.3,
1588,chore(deps): update typescript-eslint monorepo to v4.26.1,,chore(deps): update typescript-eslint monorepo to v4.26.1,
1589,chore(deps): update dependency release-it to v14.8.0,,chore(deps): update dependency release-it to v14.8.0,
1590,chore(deps): update dependency prettier to v2.3.1,,chore(deps): update dependency prettier to v2.3.1,
1591,chore(deps): update dependency @types/node to v14.17.2,,chore(deps): update dependency @types/node to v14.17.2,
1592,chore(deps): update dependency eslint to v7.28.0,,chore(deps): update dependency eslint to v7.28.0,
1593,chore(deps): update typescript-eslint monorepo to v4.26.0,,chore(deps): update typescript-eslint monorepo to v4.26.0,
1594,chore(deps): update dependency eslint-plugin-import to v2.23.4,,chore(deps): update dependency eslint-plugin-import to v2.23.4,
1595,chore(deps): update node.js to v16,,chore(deps): update node.js to v16,
1596,feat(@nestjs/graphql): add enumsAsTypes to definitions generator options,Add enumsAsTypes option to generate string literal union types instead of enums. Closes #1557,feat(@nestjs/graphql): add enumsAsTypes to definitions generator options,Add enumsAsTypes option to generate string literal union types instead of enums. Closes #1557
1597,fix: Use default of false for stop termination on signals,"Without this, Apollo also listens to termination signals and interferes with our own attempt at graceful shutdown. Resolves #1560",fix: Use default of false for stop termination on signals,"Without this, Apollo also listens to termination signals and interferes with our own attempt at graceful shutdown. Resolves #1560"
1598,chore(deps): update dependency ts-morph to v11,,chore(deps): update dependency ts-morph to v11,
1599,chore(deps): update dependency @types/node to v14.17.1,,chore(deps): update dependency @types/node to v14.17.1,
1600,chore(deps): update typescript-eslint monorepo to v4.25.0,,chore(deps): update typescript-eslint monorepo to v4.25.0,
1601,chore(deps): update dependency release-it to v14.7.0,,chore(deps): update dependency release-it to v14.7.0,
1602,chore(deps): update dependency ts-node to v10,,chore(deps): update dependency ts-node to v10,
1603,chore(deps): update dependency eslint to v7.27.0,,chore(deps): update dependency eslint to v7.27.0,
1604,chore(deps): update dependency eslint-plugin-import to v2.23.3,,chore(deps): update dependency eslint-plugin-import to v2.23.3,
1605,fix : unhandled promise rejection in registerFastify method,"Apollo server throws unhandled promise rejection when using fastify adapter, now it awaits for the server to start and then proceeds with the createHandler method fix issue #1536",fix : unhandled promise rejection in registerFastify method,"Apollo server throws unhandled promise rejection when using fastify adapter, now it awaits for the server to start and then proceeds with the createHandler method fix issue #1536"
1606,chore(deps): update dependency @types/node to v14.17.0,,chore(deps): update dependency @types/node to v14.17.0,
1607,chore(deps): update nest monorepo to v7.6.17,,chore(deps): update nest monorepo to v7.6.17,
1608,chore(deps): update typescript-eslint monorepo to v4.24.0,,chore(deps): update typescript-eslint monorepo to v4.24.0,
1609,chore(deps): update dependency eslint-plugin-import to v2.23.2,,chore(deps): update dependency eslint-plugin-import to v2.23.2,
1610,chore(deps): update dependency eslint-plugin-import to v2.23.1,,chore(deps): update dependency eslint-plugin-import to v2.23.1,
1611,chore(deps): update dependency eslint-plugin-import to v2.23.0,,chore(deps): update dependency eslint-plugin-import to v2.23.0,
1612,fix(deps): update graphql-tools monorepo,,fix(deps): update graphql-tools monorepo,
1613,chore(deps): update commitlint monorepo to v12.1.4,,chore(deps): update commitlint monorepo to v12.1.4,
1614,chore(deps): update dependency @types/node to v14.14.45,,chore(deps): update dependency @types/node to v14.14.45,
1615,chore(deps): update commitlint monorepo to v12.1.3,,chore(deps): update commitlint monorepo to v12.1.3,
1616,chore(deps): update typescript-eslint monorepo to v4.23.0,,chore(deps): update typescript-eslint monorepo to v4.23.0,
1617,chore(deps): update dependency prettier to v2.3.0,,chore(deps): update dependency prettier to v2.3.0,
1618,chore(deps): update dependency release-it to v14.6.2,,chore(deps): update dependency release-it to v14.6.2,
1619,chore(deps): update dependency eslint to v7.26.0,,chore(deps): update dependency eslint to v7.26.0,
1620,chore(deps): update dependency lint-staged to v11,,chore(deps): update dependency lint-staged to v11,
1621,Merge branch 'call-apollo-start' of github.com:kuskoman/graphql; branch 'master' of github.com:nestjs/graphql,,Merge branch 'call-apollo-start' of github.com:kuskoman/graphql; branch 'master' of github.com:nestjs/graphql,
1622,chore(deps): update dependency ts-jest to v26.5.6,,chore(deps): update dependency ts-jest to v26.5.6,
1623,chore(deps): update dependency @types/node to v14.14.44,,chore(deps): update dependency @types/node to v14.14.44,
1624,chore(deps): update typescript-eslint monorepo to v4.22.1,,chore(deps): update typescript-eslint monorepo to v4.22.1,
1625,chore(deps): update dependency @types/node to v14.14.43,,chore(deps): update dependency @types/node to v14.14.43,
1626,chore(deps): update dependency @types/node to v14.14.42,,chore(deps): update dependency @types/node to v14.14.42,
1627,chore(deps): update dependency @types/jest to v26.0.23,,chore(deps): update dependency @types/jest to v26.0.23,
1628,fix(@nest/graphql): change FieldMiddleware context type,,fix(@nest/graphql): change FieldMiddleware context type,
1629,chore(deps): update dependency eslint-config-prettier to v8.3.0,,chore(deps): update dependency eslint-config-prettier to v8.3.0,
1630,chore(deps): update dependency eslint to v7.25.0,,chore(deps): update dependency eslint to v7.25.0,
1631,chore(): release v7.10.6,,chore(): release v7.10.6,
1632,fix(): include default type mapping configuration,,fix(): include default type mapping configuration,
1633,chore(): release v7.10.5,,chore(): release v7.10.5,
1634,fix(): make default type mapping record partial,,fix(): make default type mapping record partial,
1635,chore(): release v7.10.4,,chore(): release v7.10.4,
1636,Merge branch 'master' of https://github.com/nestjs/graphql,,Merge branch 'master' of link,
1637,feat(): add default type mapping,,feat(): add default type mapping,
1638,fix: add missing apolloServer.start(),,fix: add missing apolloServer.start(),
1639,Merge pull request #1488 from nestjs/renovate/graphql-tools-monorepo,fix(deps): update graphql-tools monorepo,Merge pull request #1488 from nestjs/renovate/graphql-tools-monorepo,fix(deps): update graphql-tools monorepo
1640,consider __typename property of plain javascript objects for type,,consider __typename property of plain javascript objects for type,
1641,consider __typename property of plain javascript objects for type,,consider __typename property of plain javascript objects for type,
1642,chore(deps): update dependency @types/node to v14.14.41,,chore(deps): update dependency @types/node to v14.14.41,
1643,chore(deps): update dependency ts-jest to v26.5.5,,chore(deps): update dependency ts-jest to v26.5.5,
1644,chore(deps): update dependency @types/node to v14.14.40,,chore(deps): update dependency @types/node to v14.14.40,
1645,chore(deps): update apollo graphql packages to v2.23.0,,chore(deps): update apollo graphql packages to v2.23.0,
1646,chore(deps): update dependency @types/node to v14.14.39,,chore(deps): update dependency @types/node to v14.14.39,
1647,fix(deps): update graphql-tools monorepo,,fix(deps): update graphql-tools monorepo,
1648,chore(deps): update dependency eslint-config-prettier to v8.2.0,,chore(deps): update dependency eslint-config-prettier to v8.2.0,
1649,chore(deps): update typescript-eslint monorepo to v4.22.0,,chore(deps): update typescript-eslint monorepo to v4.22.0,
1650,Merge pull request #1453 from nestjs/renovate/graphql-tools-monorepo,fix(deps): update graphql-tools monorepo,Merge pull request #1453 from nestjs/renovate/graphql-tools-monorepo,fix(deps): update graphql-tools monorepo
1651,fix(deps): update graphql-tools monorepo,,fix(deps): update graphql-tools monorepo,
1652,Merge pull request #1452 from nestjs/renovate/apollo-graphql-packages,chore(deps): update apollo graphql packages,Merge pull request #1452 from nestjs/renovate/apollo-graphql-packages,chore(deps): update apollo graphql packages
1653,Merge pull request #1462 from nestjs/renovate/nestjs-mapped-types-0.x,fix(deps): update dependency @nestjs/mapped-types to v0.4.1,Merge pull request #1462 from nestjs/renovate/nestjs-mapped-types-0.x,fix(deps): update dependency @nestjs/mapped-types to v0.4.1
1654,Merge pull request #1466 from nestjs/dependabot/npm_and_yarn/y18n-4.0.1,chore(deps): bump y18n from 4.0.0 to 4.0.1,Merge pull request #1466 from nestjs/dependabot/npm_and_yarn/y18n-4.0.1,chore(deps): bump y18n from 4.0.0 to 4.0.1
1655,Merge pull request #1475 from nestjs/renovate/tslib-2.x,fix(deps): update dependency tslib to v2.2.0,Merge pull request #1475 from nestjs/renovate/tslib-2.x,fix(deps): update dependency tslib to v2.2.0
1656,chore(deps): update dependency release-it to v14.6.1,,chore(deps): update dependency release-it to v14.6.1,
1657,fix(federation): assignment GraphqlSchemaHost#schema in factory,GraphqlSchemaHost#schema wasn't assigned after GraphqlFederationModule initialization resolves nestjs/graphql#1478,fix(federation): assignment GraphqlSchemaHost#schema in factory,GraphqlSchemaHost#schema wasn't assigned after GraphqlFederationModule initialization resolves nestjs/graphql#1478
1658,chore(deps): update dependency eslint to v7.24.0,,chore(deps): update dependency eslint to v7.24.0,
1659,chore(deps): update dependency release-it to v14.6.0,,chore(deps): update dependency release-it to v14.6.0,
1660,chore(deps): update dependency @types/node-fetch to v2.5.10,,chore(deps): update dependency @types/node-fetch to v2.5.10,
1661,chore(deps): update dependency typescript to v4.2.4,,chore(deps): update dependency typescript to v4.2.4,
1662,chore(deps): update apollo graphql packages,,chore(deps): update apollo graphql packages,
1663,fix(deps): update dependency tslib to v2.2.0,,fix(deps): update dependency tslib to v2.2.0,
1664,chore(deps): update typescript-eslint monorepo to v4.21.0,,chore(deps): update typescript-eslint monorepo to v4.21.0,
1665,Add support for undefined in union,,Add support for undefined in union,
1666,Simplify variable name,Additionally this removes unnecessary properties such as false nullable property assignments.,Simplify variable name,Additionally this removes unnecessary properties such as false nullable property assignments.
1667,Fix types and update tests,,Fix types and update tests,
1668,feat(plugin): Update plugin with null union support,"Prior to these changes, the GraphQL plugin only supported decorating field properties when the type of a class property was optional. However, sometimes typescript users like to use union types that include null instead to indicate a nullable field. This change makes it possible to support nullable fields when the union includes a null type.",feat(plugin): Update plugin with null union support,"Prior to these changes, the GraphQL plugin only supported decorating field properties when the type of a class property was optional. However, sometimes typescript users like to use union types that include null instead to indicate a nullable field. This change makes it possible to support nullable fields when the union includes a null type."
1669,chore(deps): update dependency @types/node-fetch to v2.5.9,,chore(deps): update dependency @types/node-fetch to v2.5.9,
1670,chore(deps): update commitlint monorepo to v12.1.1,,chore(deps): update commitlint monorepo to v12.1.1,
1671,fix: disable enhancers for __resolveType,,fix: disable enhancers for __resolveType,
1672,chore(deps): update dependency release-it to v14.5.1,,chore(deps): update dependency release-it to v14.5.1,
