Index,Message,Description,Message Abstract,Description Abstract
1,Fixed typo in configureStore function (#2375),"Regarding the @redux/toolkit documents, an object will be passed to the configureStore function. The current code in line 91 won't work and throws a typescript error.",Fixed typo in configureStore function (#2375),"Regarding the @redux/toolkit documents, an object will be passed to the configureStore function. The current code in line 91 won't work and throws a typescript error."
2,Version Packages (#2373),Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,Version Packages (#2373),Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com
3,Update saga middleware options to reflect implementation (#2372),"We already allowed channel to be passed into createSagaMiddleware, this change simply updates our types to match our implementation. I also added a recipe for batching redux actions since it is a very common paradigm and something I've had to re-write multiple times from memory. Co-authored-by: Mateusz Burzyński mateuszburzynski@gmail.com",Update saga middleware options to reflect implementation (#2372),"We already allowed channel to be passed into createSagaMiddleware, this change simply updates our types to match our implementation. I also added a recipe for batching redux actions since it is a very common paradigm and something I've had to re-write multiple times from memory. Co-authored-by: Mateusz Burzyński mateuszburzynski@gmail.com"
4,chore: change start example scripts (#2368),,chore: change start example scripts (#2368),
5,docs(readme): add discord link (#2365),,docs(readme): add discord link (#2365),
6,chore: deploy docs website automatically (#2364),This allows us to automatically deploy the docs website when pushing or merging to our main branch.,chore: deploy docs website automatically (#2364),This allows us to automatically deploy the docs website when pushing or merging to our main branch.
7,Contributing doc update (#2355),,Contributing doc update (#2355),
8,Update effects.d.ts code docs to reflect puts error bubbling behavior (#2360),The documentation here doesn't match what the real behavior is. (Also inconsistent with the readme docs),Update effects.d.ts code docs to reflect puts error bubbling behavior (#2360),The documentation here doesn't match what the real behavior is. (Also inconsistent with the readme docs)
9,Snippet (#2333), use configureStore instead of createStore,Snippet (#2333),use configureStore instead of createStore
10,Version Packages (#2347),Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,Version Packages (#2347),Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com
11,Update prettier and format all code (#2341),,Update prettier and format all code (#2341),
12,Fixed throttle to accept a channel as originally intended  (#2340), bug: throttle now accepts a channel as originally intended  Co-authored-by: Mateusz Burzyński mateuszburzynski@gmail.com Closes: #1805  Update .changeset/neat-wolves-wink.md  Co-authored-by: Mateusz Burzyński mateuszburzynski@gmail.com,Fixed throttle to accept a channel as originally intended  (#2340),bug: throttle now accepts a channel as originally intended Co-authored-by: Mateusz Burzyński mateuszburzynski@gmail.com Closes: #1805 Update .changeset/neat-wolves-wink.md Co-authored-by: Mateusz Burzyński mateuszburzynski@gmail.com
13,Correctly test the actual and not the expected value in one of the tests (#2344),values,Correctly test the actual and not the expected value in one of the tests (#2344),values
14,Version Packages (#2325),Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,Version Packages (#2325),Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com
15,Add LICENSE files (#2324),,Add LICENSE files (#2324),
