Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Fixed typo in configureStore function (#2375),0.53472376,configureStore.js,"Regarding the @redux/toolkit documents, an object will be passed to the configureStore function. The current code in line 91 won't work and throws a typescript error.",0
Version Packages (#2373),0.6186129,Updated dependencies [2466c79]:,Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,0
Update saga middleware options to reflect implementation (#2372),0.7984142,"Starting from this release, you export the saga middleware itself and uses its run method","We already allowed channel to be passed into createSagaMiddleware, this change simply updates our types to match our implementation. I also added a recipe for batching redux actions since it is a very common paradigm and something I've had to re-write multiple times from memory. Co-authored-by: Mateusz Burzyński mateuszburzynski@gmail.com",1
chore: change start example scripts (#2368),0.36981344,This is no longer valid. Instead you'll have to use the following,,0
docs(readme): add discord link (#2365),0.44110435,"- Updated docs, added a section on channels",,0
chore: deploy docs website automatically (#2364),0.36419234,Also migrated examples to webpack. All build infrastructure use webpack,This allows us to automatically deploy the docs website when pushing or merging to our main branch.,0
Contributing doc update (#2355),0.6279291,- many docs improvements,,0
Update effects.d.ts code docs to reflect puts error bubbling behavior (#2360),0.60378873,2261 5ae6578 Thanks @neurosnap! - Require CpsCallback in all functions passed to the cps effect creator. This fixes a regression caused by TS 4.0 changing the behavior around spreading never into tuple types,The documentation here doesn't match what the real behavior is. (Also inconsistent with the readme docs),0
Snippet (#2333),0.3476723,2296 612cae8 Thanks @lourd! - Updates Channel type to eliminate void-emitting pitfall,use configureStore instead of createStore,0
Version Packages (#2347),0.60822606,Updated dependencies [345b828]:,Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,0
Update prettier and format all code (#2341),0.47288615,"Also few typings were fixed, thanks to @yenshih, @CarsonF and @aikoven for veryfing.",,0
Fixed throttle to accept a channel as originally intended  (#2340),0.7054478,2340 345b828 Thanks @neurosnap! - throttle now accepts a channel as originally intended,bug: throttle now accepts a channel as originally intended Co-authored-by: Mateusz Burzyński mateuszburzynski@gmail.com Closes: #1805 Update .changeset/neat-wolves-wink.md Co-authored-by: Mateusz Burzyński mateuszburzynski@gmail.com,1
Correctly test the actual and not the expected value in one of the tests (#2344),0.30379018,2297 fdca798 Thanks @lourd! - Adds missing isAborted method to mock task and deprecates its setRunning method,values,0
Version Packages (#2325),0.5845479,Updated dependencies [345b828]:,Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,0
Add LICENSE files (#2324),0.6416948,2324 2466c79 Thanks @neurosnap! - Add LICENSE file,,0
Version Packages (#2322),0.5824191,Updated dependencies [345b828]:,Co-authored-by: github-actions[bot] github-actions[bot]@users.noreply.github.com,0
Replace all references to the master branch with main,0.22340436,Breaking changes:,,0
