Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
1,test(): fix invalid port (e2e tests) attempt 2,0.9726949,test(): fix invalid port (e2e tests) attempt 2 (fb66486),,1
2,chore(deps): update dependency eslint to v8.25.0,0.98153055,chore(deps): update dependency eslint to v7.22.0 (6525628),,1
3,chore(deps): update dependency husky to v4.0.3,0.9826275,chore(deps): update dependency husky to v4.0.4 (2193deb),,1
4,chore(deps): update dependency @types/node to v18.11.7,0.985666,chore(deps): update dependency @types/node to v16.11.14 (de0da54),,1
5,Merge pull request #303 from nestjs/renovate/major-nest-monorepo,0.9777088,Merge pull request #303 from nestjs/renovate/major-nest-monorepo (725fda8),,1
6,chore(deps): bump lodash from 4.17.14 to 4.17.20,0.94501585,chore(deps): bump lodash from 4.17.14 to 4.17.20 (2426e3c),,1
7,chore(deps): update dependency rimraf to v4.0.5,0.9712956,chore(deps): update dependency rimraf to v3.0.1 (5a6bf52),,1
8,chore(deps): update dependency husky to v2.6.0 (#127),0.96961147,chore(deps): update dependency husky to v5.1.2 (2567114),chore(deps): update node.js to v19.8,1
9,chore(deps): update dependency jest to v26.2.1,0.9679305,chore(deps): update dependency jest to v26.2.1 (9e75ce0),,1
10,chore(deps): update dependency ts-jest to v26.1.0,0.9838445,chore(deps): update dependency ts-jest to v26.5.0 (4ac0948),,1
11,Merge pull request #1094 from nestjs/dependabot/npm_and_yarn/node-fetch-2.6.7,0.9929894,Merge pull request #1094 from nestjs/dependabot/npm_and_yarn/node-fetch-2.6.7 (83784f8),,1
12,chore(deps): update dependency lint-staged to v9.1.0 (#137),0.9822817,chore(deps): update dependency lint-staged to v10.0.2 (0927847),,1
13,chore(deps): update dependency lerna to v5.3.0,0.9174834,chore(deps): update dependency release-it to v13.5.6 (3d0c515),,1
14,chore(deps): update dependency @commitlint/cli to v17.0.1,0.97682524,chore(deps): update dependency @commitlint/cli to v16.0.3 (a1794af),,1
15,chore(deps): update dependency lint-staged to v12.0.1,0.9844263,chore(deps): update dependency lint-staged to v12.1.2 (08bd820),,1
16,chore(deps): update dependency bullmq to v3.2.1,0.9184988,chore(deps): update dependency bull to v3.13.0 (5252aa5),,1
17,chore(deps): update dependency lint-staged to v10.2.11,0.9836551,chore(deps): update dependency lint-staged to v10.0.2 (0927847),,1
18,chore(deps): update dependency lint-staged to v12.5.0,0.98224175,chore(deps): update dependency lint-staged to v12.0.3 (4ed6349),,1
19,chore(deps): update dependency @types/jest to v26.0.22,0.9877167,chore(deps): update dependency @types/jest to v26.0.7 (2da33d6),,1
20,chore(deps): update dependency rxjs to v6.5.1,0.9762801,chore(deps): update dependency rxjs to v7.5.1 (573cdde),,1
21,chore(deps): update dependency ts-node to v8.7.0,0.97785246,chore(deps): update dependency ts-node to v8.7.0 (51cee44),,1
22,chore(deps): update dependency lerna to v5.6.1,0.92098844,chore(deps): update dependency release-it to v13.5.6 (3d0c515),,1
23,chore(deps): update nest monorepo to v9.0.6,0.98000556,chore(deps): update nest monorepo to v7.0.5 (9a4923a),,1
24,Merge pull request #1328 from nestjs/renovate/major-nest-monorepo,0.9688757,Merge pull request #303 from nestjs/renovate/major-nest-monorepo (725fda8),,1
25,chore(deps): update commitlint monorepo to v8 (major) (#102),0.9586285,chore(deps): update commitlint monorepo to v8.3.4 (538008d),,1
26,chore(deps): update commitlint monorepo to v17.4.4,0.96972346,chore(deps): update commitlint monorepo to v16.2.1 (2020e4b),,1
27,Merge pull request #78 from fwoelffel/renovate/prettier-1.x,0.7965089,Merge pull request #734 from nestjs/renovate/bull-3.x (f5f59ef),,1
28,chore(deps): update dependency jest to v27.3.0,0.9710684,chore(deps): update dependency jest to v27.4.0 (5a12985),,1
29,chore(deps): update typescript-eslint monorepo to v5.11.0,0.9868587,chore(deps): update typescript-eslint monorepo to v4.15.2 (a31e115),,1
30,chore(deps): update dependency ts-jest to v27.0.7,0.98575044,chore(deps): update dependency ts-jest to v27.0.7 (f1213d9),,1
31,chore(deps): update dependency @types/jest to v28.1.1,0.977036,chore(deps): update dependency @types/jest to v25.2.3 (07121a1),,1
32,chore(deps): update dependency eslint-plugin-import to v2.23.2,0.9899544,chore(deps): update dependency eslint-plugin-import to v2.23.0 (ca05170),,1
33,chore(deps): update dependency husky to v4.2.0,0.98063207,chore(deps): update dependency husky to v4.0.4 (2193deb),,1
34,chore(deps): update dependency @types/bull to v3.10.0 (#140),0.981722,chore(deps): update dependency @types/bull to v3.14.3 (0e25888),,1
35,chore(deps): update dependency jest to v27.1.1,0.9823102,chore(deps): update dependency jest to v27.4.0 (5a12985),,1
36,chore(deps): update dependency @types/node to v10.14.8 (#99),0.9817052,chore(deps): update dependency @types/node to v14.17.10 (3ee9976),,1
37,chore(deps): update nest monorepo to v9.3.7,0.9785374,chore(deps): update nest monorepo to v7.2.0 (9a5aa1a),,1
38,chore(deps): update nest monorepo to v7.6.8,0.98248285,chore(deps): update nest monorepo to v7.0.2 (055e567),,1
39,chore(deps): update dependency ts-jest to v26.5.5,0.9842491,chore(deps): update dependency ts-jest to v26.5.0 (4ac0948),,1
40,Merge pull request #25 from fwoelffel/renovate/typescript-3.x,0.7750342,Merge pull request #734 from nestjs/renovate/bull-3.x (f5f59ef),,1
41,chore(release): publish new releases,0.7698557,chore(): publish 0.0.1 release (7fee01b),,1
42,fix: Add BullRootModuleOptions,0.68095154,fix(): instantiate logger internally in bull explorer (47299b9),,0
43,refactor(module): rename forRoot and forRootAsync,0.5118593,"fix(): if redis prop is a string, pass it as a second ctor arg (8718b90)",,0
44,fix(deps): update dependency typescript to v3.5.2,0.852409,chore(deps): update dependency typescript to v3.7.4 (a725287),,1
45,Merge pull request #1542 from nestjs/renovate/cimg-node-19.x,0.9202211,Merge pull request #802 from nestjs/renovate/circleci-node-16.x (4386584),,1
46,chore(deps): update nest monorepo to v8.4.3,0.98321867,chore(deps): update nest monorepo to v8.0.2 (1de07a7),,1
47,chore(deps): update dependency typescript to v3.4.5,0.9764263,chore(deps): update dependency typescript to v3.7.5 (a127633),,1
48,chore(deps): update dependency husky to v2.4.0 (#107),0.9698486,chore(deps): update dependency husky to v4.2.3 (7e877a9),,1
49,chore(deps): update dependency @types/node to v10.14.8,0.97756445,chore(deps): update dependency @types/node to v14.17.10 (3ee9976),,1
