Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
1,👥 Add new section FastAPI People (#2195),0.8931185,👥 Add new section FastAPI People. PR #2195 by @tiangolo.,,1
2,:memo: Add docs for async / await and concurrency,0.5690957,async-exit-stack,,0
3,👥 Update FastAPI People (#4354),0.8717339,👥 Update FastAPI People. PR #5154 by @tiangolo.,,1
4,🌐 Add Portuguese translation of tutorial/extra-data-types.md (#4077),0.9511638,🌐 Add Portuguese translation of tutorial/extra-data-types.md. PR #4077 by @luccasmmg.,,1
5,:bug: Use caching logic to determine OpenAPI spec for duplicate dependencies (#417),0.66930664,Fix OpenAPI generation when using the same dependency in multiple places for the same path operation. PR #417 by @dmontagu.,,0
6,✨ Add illustrations for Concurrent burgers and Parallel burgers (#5277),0.9378622,✨ Add illustrations for Concurrent burgers and Parallel burgers. PR #5277 by @tiangolo. Updated docs at: Concurrency and Burgers.,fix flask.escape warning 📝 Fix highlight in docs for WSGI Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,1
7,":page_facing_up: Add license file, update version",0.6171957,"Update ""new issue"" templates. PR #749.",,0
8,⬆️ Bump mkdocs-material (#1789),0.5989474,⬆ Bump dawidd6/action-download-artifact from 2.24.2 to 2.24.3. PR #5842 by @dependabot[bot].,"✅ Refactor tests, for consistency and simplification",0
9,🌐 Initialize new language Polish for translations (#3170),0.9281947,🌐 Initialize new language Polish for translations. PR #3170 by @neternefer.,,1
10,:memo: Update Release Notes,0.5438694,Fix links in release notes. PR #1052 by @sattosan.,"✅ Refactor OpenAPI tests, move inline, prepare for Pydantic v2 tests ✅ Fix test module loading for conditional OpenAPI 🐛 Fix missing pytest marker ✅ Fix test for coverage",0
11,✏ Fix typo/bug in inline code example in docs/en/docs/tutorial/query-params-str-validations.md (#9273),0.9537362,✏ Fix typo/bug in inline code example in docs/en/docs/tutorial/query-params-str-validations.md. PR #9273 by @tim-habitat.,Co-authored-by: pre-commit-ci[bot] 66853113+pre-commit-ci[bot]@users.noreply.github.com Co-authored-by: Lemonyte 49930425+lemonyte@users.noreply.github.com Co-authored-by: xeust maxeust@gmail.com Co-authored-by: Sebastián Ramírez tiangolo@gmail.com,1
12,:memo: Fix broken link in docs (#949),0.7928978,Fix bad link in docs. PR #1603 by @molto0504.,,1
13,:rocket: Make Flit publish from CI (#170),0.8509238,Make Flit publish from CI. PR #170.,,1
