Index,Message,Description,Message Abstract,Description Abstract
1,Fix issue in getting current request through classmethod when served through a different ASGI server (#2760),,Fix issue in getting current request through classmethod when served through a different ASGI server (#2760),
2,Fix JSONResponse default content type (#2737),,Fix JSONResponse default content type (#2737),
3,Release 23.3 (#2723),,Release 23.3 (#2723),
4,v23.3 Deprecation Removal (#2717),,v23.3 Deprecation Removal (#2717),
5,Sync state tolerance (#2725),,Sync state tolerance (#2725),
6,Simpler CLI targets (#2700),Co-authored-by: L. Kärkkäinen 98187+Tronic@users.noreply.github.com,Simpler CLI targets (#2700),Co-authored-by: L. Kärkkäinen 98187+Tronic@users.noreply.github.com
7,Stricter charset handling and escaping of request URLs (#2710),Co-authored-by: L. Karkkainen tronic@users.noreply.github.com,Stricter charset handling and escaping of request URLs (#2710),Co-authored-by: L. Karkkainen tronic@users.noreply.github.com
8,Add convenience methods for cookie creation and deletion (#2706),"  Add convenience methods for cookie creation and deletion   Restore del   Backwards compat, forward thinking   Add delitem deprecation notice   Add get full deprecation notice   Add deprecation docstring   Better deprecation docstring   Add has_cookie   Same defaults   Better deprecation message   Accessor annotations   make pretty   parse cookies   Revert quote translator   make pretty   make pretty   Add unit tests   Make pretty   Fix unit tests   Directly include unquote   Add some more unit tests   Move modules into their own dir   make pretty   cleanup test imports   Add test for cookie accessor   Make test consistent   Remove file   Remove additional escaping   Add header style getattr for hyphens   Add test for cookie accessor with hyphens   Add new translator   Parametrize test_request_with_duplicate_cookie_key   make pretty   Add deprecation of direct cookie encoding   Speedup Cookie creation   Implement prefixes on delete_cookie   typing changes   Add passthru functions on response objects for setting cookies   Add test for passthru    Co-authored-by: L. Kärkkäinen 98187+Tronic@users.noreply.github.com",Add convenience methods for cookie creation and deletion (#2706),"Add convenience methods for cookie creation and deletion Restore del Backwards compat, forward thinking Add delitem deprecation notice Add get full deprecation notice Add deprecation docstring Better deprecation docstring Add has_cookie Same defaults Better deprecation message Accessor annotations make pretty parse cookies Revert quote translator make pretty make pretty Add unit tests Make pretty Fix unit tests Directly include unquote Add some more unit tests Move modules into their own dir make pretty cleanup test imports Add test for cookie accessor Make test consistent Remove file Remove additional escaping Add header style getattr for hyphens Add test for cookie accessor with hyphens Add new translator Parametrize test_request_with_duplicate_cookie_key make pretty Add deprecation of direct cookie encoding Speedup Cookie creation Implement prefixes on delete_cookie typing changes Add passthru functions on response objects for setting cookies Add test for passthru Co-authored-by: L. Kärkkäinen 98187+Tronic@users.noreply.github.com"
9,Decode headers as UTF-8 also in ASGI (#2606),Co-authored-by: Adam Hopkins adam@amhopkins.com,Decode headers as UTF-8 also in ASGI (#2606),Co-authored-by: Adam Hopkins adam@amhopkins.com
10,Standardize init of exceptions (#2545),,Standardize init of exceptions (#2545),
11,Add CertLoader as application option (#2722),,Add CertLoader as application option (#2722),
12,Change logging format to %s (#2721),,Change logging format to %s (#2721),
13,Skip middleware on RequestCancelled (#2720),,Skip middleware on RequestCancelled (#2720),
14,Allow password to be passed to TLS context (#2719),,Allow password to be passed to TLS context (#2719),
15,Fix comparison from wrong formats with datetime objects (#2697),Co-authored-by: Adam Hopkins adam@amhopkins.com,Fix comparison from wrong formats with datetime objects (#2697),Co-authored-by: Adam Hopkins adam@amhopkins.com
16,Add convenience for dynamic changes to routing (#2704),,Add convenience for dynamic changes to routing (#2704),
17,Separate ASGI request and lifespan callables (#2646),,Separate ASGI request and lifespan callables (#2646),
18,scheme arg to create the redirect should be 'https' (#2712),,scheme arg to create the redirect should be 'https' (#2712),
19,Consume body on DELETE by default (#2711),,Consume body on DELETE by default (#2711),
20,API to define a number of workers (#2701),,API to define a number of workers (#2701),
21,Update rfc.yml,,Update rfc.yml,
22,Update rfc.yml,,Update rfc.yml,
23,Rename rfc to rfc.yml,,Rename rfc to rfc.yml,
24,Create rfc,,Create rfc,
25,Nicer traceback formatting (#2667),Co-authored-by: L. Kärkkäinen 98187+Tronic@users.noreply.github.com Co-authored-by: Adam Hopkins adam@amhopkins.com Co-authored-by: L. Karkkainen tronic@users.noreply.github.com Co-authored-by: SML smlbiobot@gmail.com,Nicer traceback formatting (#2667),Co-authored-by: L. Kärkkäinen 98187+Tronic@users.noreply.github.com Co-authored-by: Adam Hopkins adam@amhopkins.com Co-authored-by: L. Karkkainen tronic@users.noreply.github.com Co-authored-by: SML smlbiobot@gmail.com
26,Simplified parse_content_header escaping (#2707),,Simplified parse_content_header escaping (#2707),
27,Add header accessors (#2696),,Add header accessors (#2696),
28,Error page rendering format selection (#2668),Co-authored-by: Adam Hopkins adam@amhopkins.com Co-authored-by: L. Karkkainen tronic@users.noreply.github.com,Error page rendering format selection (#2668),Co-authored-by: Adam Hopkins adam@amhopkins.com Co-authored-by: L. Karkkainen tronic@users.noreply.github.com
29,Refresh Request.accept functionality (#2687),,Refresh Request.accept functionality (#2687),
30,check the status of socket before shutting down (#2680),  check the status of socket before shutting down   remove socket status checking & ignore OSError exception ,check the status of socket before shutting down (#2680),check the status of socket before shutting down remove socket status checking & ignore OSError exception
31,fix(websocket): ASGI websocket must pass thru bytes as is (#2651),,fix(websocket): ASGI websocket must pass thru bytes as is (#2651),
32,Use FALLBACK_ERROR_FORMAT for handlers that return empty() (#2659),Co-authored-by: L. Karkkainen tronic@users.noreply.github.com Co-authored-by: Adam Hopkins adam@amhopkins.com,Use FALLBACK_ERROR_FORMAT for handlers that return empty() (#2659),Co-authored-by: L. Karkkainen tronic@users.noreply.github.com Co-authored-by: Adam Hopkins adam@amhopkins.com
33,Establish basic file browser and index fallback (#2662),Co-authored-by: L. Kärkkäinen 98187+Tronic@users.noreply.github.com Co-authored-by: L. Karkkainen tronic@users.noreply.github.com,Establish basic file browser and index fallback (#2662),Co-authored-by: L. Kärkkäinen 98187+Tronic@users.noreply.github.com Co-authored-by: L. Karkkainen tronic@users.noreply.github.com
34,Remove deprecated property in blueprint (#2666),Fixes https://github.com/sanic-org/sanic/issues/2442,Remove deprecated property in blueprint (#2666),Fixes link
35,Version 22.12 release notes (#2637),,Version 22.12 release notes (#2637),
36,Add better inspector arg parsing (#2642),,Add better inspector arg parsing (#2642),
37,ASGI websocket recv text or bytes (#2640),,ASGI websocket recv text or bytes (#2640),
38,Pass unquote thru add_route (#2639),,Pass unquote thru add_route (#2639),
39,Add priority to register_middleware method (#2636),,Add priority to register_middleware method (#2636),
40,Fix Windows sock share (#2635),,Fix Windows sock share (#2635),
41,Fix double ctrl-c kill (#2634),,Fix double ctrl-c kill (#2634),
42,Implement restart ordering (#2632),,Implement restart ordering (#2632),
43,Reload interval on class variable (#2633),,Reload interval on class variable (#2633),
44,Move to HTTP Inspector (#2626),,Move to HTTP Inspector (#2626),
45,Test for 3.11 support (#2612),Co-authored-by: Zhiwei zhi.wei.liang@outlook.com,Test for 3.11 support (#2612),Co-authored-by: Zhiwei zhi.wei.liang@outlook.com
46,Method Signal Handler Test (#2630),,Method Signal Handler Test (#2630),
47,ASGI lifespan failure on exception (#2627),,ASGI lifespan failure on exception (#2627),
