Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Delete check-legacy-links-format.yml (#12471),0.45275772,command/hcl2_upgrade: Has been updated to persist all possible template,Remove the check-legacy-links-format.yml workflow. These checks are now included as part of our content conformance checks that run on PRs with documentation content changes.,0
docs: add a paragraph on fingerprint generation (#12464),0.58197165,     created. This does not impact workflows where the fingerprint was defined," docs: add a paragraph on fingerprint generation  Since version 1.9.0+ changed the way Packer generates fingerprints for HCP Packer, we add a small paragraph to explain how it used to be generated before, and how it changed in this version.  Apply suggestions from code review   Co-authored-by: Wilken Rivera wilken@hashicorp.com",0
[COMPLIANCE] Add Copyright and License Headers,0.36435252, publishing of metadata for any HCP Packer enabled configuration template.,,0
CHANGELOG: prepare for upcoming v1.9.2,0.6434756,oneandone@v1.0.1 - CHANGELOG,,0
CHANGELOG: fix latest release version,0.6175245,"         version = "">=1.1.1""",,0
CHANGELOG: add changelog for v1.9.1,0.61696345,    respective changelogs for details on plugin specific bug fixes and,,0
hcp: support HCP_PROJECT_ID environment variable,0.80294454,"    builds to with the HCP_PROJECT_ID environment variable. If no project ID is specified,","With HCP supporting multi-projects now, Packer needs to take it into account when picking a project from an organisation. This commit adds two cases:   multiple projects are defined, none is supplied through    HCP_PROJECT_ID: in this case we will default to the oldest project    defined for the organisation.   we supply HCP_PROJECT_ID: in this case, we pick the project with the    corresponding ID, and use it for publishing metadata. ",1
CHANGELOG: add advisory on multiproject support,0.5398198,"    incompatible with multi-project support on HCP, and builds will fail for HCP","On HCP, multiproject support was GA'd recently, but Packer does not support the feature yet. To avoid clients being surprised if they encounter an error with this feature enabled, we add an advisory related to this feature not being supported for now, but planned for later.",0
version: prepare for 1.10.0 releases,0.61803544,"         version = "">=1.1.1""",,0
changelog: update for release 1.9.0,0.5912008,digitalocean@v1.0.3 - CHANGELOG,,0
CHANGELOG: update for 1.9.0 release,0.5695297,digitalocean@v1.0.3 - CHANGELOG,,0
Update issues-opened.yml,0.43986505,yandex@v1.1.1 - CHANGELOG,Remove action to add issue to project. Board has been deprecated.,0
Remove invalid quote from ldflags,0.48401177,"Fix LDFLAGS for release pipelines: Between Packer 1.8.5 and Packer 1.8.7, changes",,0
build GHA: Address set-output deprecation warnings,0.5229885,     an HCL2 template will no longer warn during build execution. Warnings will,,0
auto-close-stale-issues: Bump action/stale to latest available release,0.4277423,Bump bundled plugins to latest available version.,,0
acceptance-test GHA: Address set-output deprecation warnings,0.40341973,     an HCL2 template will no longer warn during build execution. Warnings will,,0
jira GHA: Address set-output deprecation warnings,0.41283092,     an HCL2 template will no longer warn during build execution. Warnings will,Closes #12426,0
Remove community plugins from the vendored plugins list (#12436),0.65101445,The following community plugins won't be bundled with Packer anymore:,This step removes community plugins from the Packer binary release. These plugins are being maintained and released independently of Packer and have become out of date. To ensure users are using the latest version of the plugins they are being removed in favor of the external plugin installation processes.,0
docs: add missing end quote,0.27502975,     updated to display the proper filename and line number where the unknown,,0
Bump github.com/shirou/gopsutil to v3 (#12437),0.6826075,core: Bump Go module version to 1.20,This change updates gopsutil to the latest available version. Fixes: https://github.com/hashicorp/packer/issues/12430,0
Align Packer logo color,0.38433433,"    team, since Packer 1.7.7, has been removed from the Packer binary. Users are",,0
Update ldflags used to build release binaries,0.7166159,"Fix LDFLAGS for release pipelines: Between Packer 1.8.5 and Packer 1.8.7, changes",Prior to v1.8.6 a change to the release pipeline was introduced to automatically set and bump product version information. In that change the ldflags for striping debug symbols was removed resulting in binaries with full debug symbols. Thus resulting in larger binary deliverables. This change adds the missing ldflags back into the build pipeline. Results for Packer 1.8.5 ``` ~>  unzip ~/packer_1.8.5_linux_amd64.zip ~>  go tool nm -size packer| c++filt reading packer: no symbol section reading packer: no symbols ``` Results for Packer 1.8.6 ~>  unzip ~/packer_1.8.6_linux_amd64.zip ~>  go tool nm -size packer| c++filt | tail -n 10  8d97ac0       2816 D vendor/golang.org/x/text/unicode/norm.nfcSparseValues  8df2f60       6144 D vendor/golang.org/x/text/unicode/norm.nfcValues  8f96fc8          8 D vendor/golang.org/x/text/unicode/norm.nfkcData  8d985c0       2816 D vendor/golang.org/x/text/unicode/norm.nfkcIndex  8fa40a0         48 D vendor/golang.org/x/text/unicode/norm.nfkcSparse  8f4a3c0         24 D vendor/golang.org/x/text/unicode/norm.nfkcSparseOffset  8db5c00       3580 D vendor/golang.org/x/text/unicode/norm.nfkcSparseValues  8e48d60      12032 D vendor/golang.org/x/text/unicode/norm.nfkcValues  8f96fd0          8 D vendor/golang.org/x/text/unicode/norm.recompMap  8fe5bd0         12 D vendor/golang.org/x/text/unicode/norm.recompMapOnce Closes #12392,1
Update CHANGELOG,0.6467136,    respective changelogs for details on plugin specific bug fixes and,,0
Merge pull request #12402 from hashicorp/nywilken/bump-go-version-1.20.4,0.64890885,Bump github.com/hashicorp/hcp-sdk-go from 0.33.0 to 0.34.0 ,.go-version: Bump version of Go to 1.20.4,0
.go-version: Bump version of Go to 1.20.4,0.88159275,core: Bump Go module version to 1.20,,1
Merge pull request #12400 from josiahsmythe-bah/patch-1,0.46996516,Bump github.com/hashicorp/hcp-sdk-go from 0.33.0 to 0.34.0 ,Fixed formatting issue,0
Fixed formatting issue,0.37079656,     updated to display the proper filename and line number where the unknown,,0
