Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
1,refactor(lib): use canonical join instead of literal slash symbol,0.9339515,refactor(lib): use canonical join instead of literal slash symbol (dd5962e6),,1
2,Merge pull request #509 from nestjs/renovate/angularcli-monorepo,0.9699574,Merge pull request #1008 from nestjs/renovate/angularcli-monorepo (59309d03),,1
3,fix missing dependency,0.6646597,fix(deps): update dependency inquirer to v7.0.2 (fa24121),fix(deps): update dependency webpack to v5.82.1,0
4,"fix(plugin): when updating import/export paths, clone original flags",0.92507905,"fix(plugin): when updating import/export paths, clone original flags (2db3b5be)",chore(deps): update node.js to v20.2,1
5,fix(deps): update dependency typescript to v4.5.5,0.9712472,fix(deps): update dependency typescript to v4.8.3 (b2741913),fix(deps): update angular-cli monorepo to v16 (major),1
6,chore(deps): update dependency @types/rimraf to v3,0.96382815,chore(deps): update dependency @types/rimraf to v3.0.1 (14680545),chore(deps): bump vm2 from 3.9.17 to 3.9.19,1
7,adapt the module updaters in generate asset process,0.5548643,* fix(): copy all assets on build (fee2571c),refactor: use native fs promise-based API instead of promisify & fix formatting,0
8,fix(deps): update dependency fork-ts-checker-webpack-plugin to v7.2.13,0.9892214,fix(deps): update dependency fork-ts-checker-webpack-plugin to v7.2.13 (3b97a012),feat: allow disabling manual restart for ts watchmode,1
9,1.3.0,0.59983593,chore(deps): update dependency prettier to v2.3.0 (a06638f1),Bumps vm2 from 3.9.17 to 3.9.19. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: vm2   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com,0
10,chore(): publish 6.6.4 release,0.9123692,chore(): publish 6.13.0 release (a7167e3),,1
11,chore(deps): update dependency @types/jest to v24.0.18,0.9847342,chore(deps): update dependency @types/jest to v24.0.24 (b2991dc),,1
12,refactor(new) : integrate refactored schematic lib,0.6287192,refactor: replace angular/dasherize with custom implementation (70bc0c65),,0
13,chore(deps): update dependency typescript to v3.7.2,0.8832936,chore(deps): update dependency @types/jest to v27.0.3 (67d90139),,1
14,chore(deps): update dependency jest to v26.2.1,0.9717568,chore(deps): update dependency jest to v26.2.2 (28848208),,1
15,Merge pull request #401 from theghostyced/patch-3,0.8147782,Merge pull request #2068 from cesarkohl/patch-1 (4aa52688),,1
16,chore(): release v7.0.2,0.82959616,chore(): publish 6.13.0 release (a7167e3),Remove duplicated type,1
17,chore(deps): update dependency @types/node to v16.18.1,0.98712605,chore(deps): update dependency @types/node to v18.16.2 (a1728be8),,1
18,Make schematic runner more robust. Now working on Windows and with local nest-cli installations. (npx),0.57490194,refactor(cli): Schematic runner should use node require mechanism (66e54674),,0
19,chore(deps): update dependency ts-jest to v26.1.0,0.9845913,chore(deps): update dependency ts-jest to v26.5.2 (21925211),,1
20,remove double-space in package manager question,0.4991424,chore: remove whitespace (2f057c2c),,0
21,review project structure,0.52161485,refactor: apply review feedback (ef62c538),,0
22,update module processor to build asset depending on which module the new module asset is relative to,0.47900045,* Update lib/compiler/plugins-loader.ts (6b4bf6e2),,0
23,chore(deps): update dependency @commitlint/cli to v17.0.1,0.98391736,chore(deps): update dependency @commitlint/cli to v17.5.0 (05c7db1f),,1
24,Merge pull request #2068 from cesarkohl/patch-1,0.98531926,Merge pull request #2068 from cesarkohl/patch-1 (4aa52688),,1
25,update build badge to point to the develop branch,0.610033,fix(doc): rename Developement to Development (eeb32157),Hey there :) There is this small thing I noticed.,0
26,chore(deps): update dependency @types/jest to v26.0.22,0.98550916,chore(deps): update dependency @types/jest to v26.0.22 (4d11de87),,1
27,Merge pull request #5 from ThomRick/master,0.7892798,Merge pull request #1285 from FredericEspiau/master (c03e7354),,1
28,Merge pull request #1879 from zanminkian/zmj-fix,0.9823756,Merge pull request #1879 from zanminkian/zmj-fix (3821f6c2),,1
29,chore(): release v9.1.1,0.8223382,chore(): publish 6.14.1 release (892b96d),,1
30,Merge pull request #435 from nestjs/renovate/node-12.x,0.9745661,Merge pull request #503 from nestjs/renovate/node-12.x (3a96841),,1
31,chore(deps): update dependency ts-node to v8.7.0,0.97563136,chore(deps): update dependency ts-node to v8.7.0 (6d659d6),,1
