Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
1,Fix tests,0.41002658,Fix PHP 8.1 issues (#567)﻿,,0
2,Merge pull request #18 from GrahamCampbell/cs,0.50773275,Add ability to override access token request headers by @JasonTolliver in https://github.com/laravel/socialite/pull/603,,0
3,Merge pull request #167 from lucasmichot/feature/2.0/assertions,0.48356682,Add ability to override access token request headers by @JasonTolliver in https://github.com/laravel/socialite/pull/603,,0
4,Added OpenID scope,0.45696297,Add support for OAuth 2.0 PKCE extension (#518)﻿,,0
5,make enablePKCE public (#550),0.9995158,Make enablePKCE public (#550)﻿,,1
6,Use modern phpunit TestCase namesapce.,0.3420946,Use proper localized name (#329),,0
7,Drop old Laravel versions,0.7748497,Drop Laravel 5.7 support (0bd64ae),,1
8,Update Facebook Graph API version to v2.4,0.8339581,Change default Facebook graph version to 3.3 (#408),,1
9,Merge pull request #20 from mikedugan/master,0.46102083,Fix containter call (#450),  Update composer.json   Update tests.yml ,0
10,Merge pull request #261 from kamui545/facebook_30,0.5175558,Revert Facebook picture access token changes (#504)﻿,,0
11,Merge pull request #254 from paulofreitas/documentation-cleanup,0.46415344,Remove guzzlehttp/guzzle ~5.0 workaround (#448),,0
12,working on formatting,0.28546378,Fix containter call (#450),,0
13,Change IoC bindings.,0.41833282,Add reset methods for Octane (07840c0)﻿,,0
14,Merge pull request #207 from lucasmichot/feature/master/no-fqn,0.47924852,Fix containter call (#450),,0
15,Merge pull request #154 from GrahamForks/patch-1,0.49679828,Remove guzzlehttp/guzzle ~5.0 workaround (#448),,0
16,Fix return type.,0.5284597,Fix User return types by @antoinelame in https://github.com/laravel/socialite/pull/614,,0
17,just use name,0.45832112,Use proper localized name (#329),,0
18,Update Graph version to v2.5,0.6413287,Change default Facebook graph version to 3.3 (#408),,0
19,Ensure the state is set,0.41440973,Security,  Test on PHP 8.2   wip   Update AbstractUser.php   Co-authored-by: Taylor Otwell taylor@laravel.com,0
20,loosen guzzle constraints.,0.47064722,Remove guzzlehttp/guzzle ~5.0 workaround (#448),,0
