Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Update history to reflect merge of #719 [ci skip],0.42441905,Reintroduce removed social includes for backwards compatibility (#217),,0
Highlight that the base branch is v3 (#719),0.3422807,Look for site.github.url if it exists (#25),Merge pull request 719,0
Update history to reflect merge of #714 [ci skip],0.42021832,Reintroduce removed social includes for backwards compatibility (#217),,0
Trigger demo-site build manually (#714),0.39025438,Update Example to resemble Default site (#24),Merge pull request 714,0
Update history to reflect merge of #713 [ci skip],0.41618547,Reintroduce removed social includes for backwards compatibility (#217),,0
Fix reference to base layout in 404.html (#713),0.47391912,replace example/index.html with example/index.md (#58),Merge pull request 713,0
Update history to reflect merge of #690 [ci skip],0.3946708,Reintroduce removed social includes for backwards compatibility (#217),,0
Rename default layout to base (#690),0.46081048,Move contents of the index.html page to the 'home' layout (#48),Merge pull request 690,0
Update history to reflect merge of #703 [ci skip],0.41319126,Reintroduce removed social includes for backwards compatibility (#217),,0
Improve readability of config file (#703),0.63175154,Update config description comment (#203),Merge pull request 703,0
Update history to reflect merge of #700 [ci skip],0.38528067,Reintroduce removed social includes for backwards compatibility (#217),,0
Fix deprecation warnings (#700),0.5243348,Reintroduce removed social includes for backwards compatibility (#217),Merge pull request 700,0
Update history to reflect merge of #698 [ci skip],0.42308563,Reintroduce removed social includes for backwards compatibility (#217),,0
"Improve ""Subscribe"" link in footer (#698)",0.43461853,Add more social links (#141),Merge pull request 698,0
Update history to reflect merge of #686 [ci skip],0.4161233,Reintroduce removed social includes for backwards compatibility (#217),,0
Generate social iconsheet during build (#686),0.5540038,social icons should resolve baseurl properly (#201),Merge pull request 686,0
Update history to reflect merge of #677 [ci skip],0.41808295,Reintroduce removed social includes for backwards compatibility (#217),,0
Fix responsiveness of social SVG sprites (#677),0.44683802,social icons should resolve baseurl properly (#201),Merge pull request 677,0
Update history to reflect merge of #636 [ci skip],0.42232752,Reintroduce removed social includes for backwards compatibility (#217),,0
Build and deploy demo site via GH Action workflow (#636),0.37681165,Update Example to resemble Default site (#24),Merge pull request 636,0
Update history to reflect merge of #673 [ci skip],0.41463804,Reintroduce removed social includes for backwards compatibility (#217),,0
Add google scholar. (#673),0.21049178,Improve thw wording in index.md (#175),Merge pull request 673,0
Update history to reflect merge of #634 [ci skip],0.42020196,Reintroduce removed social includes for backwards compatibility (#217),,0
Add auto skin which honors the prefers-color-scheme media query (#634),0.39038122,More easily customizable CSS (#117),Merge pull request 634,0
Update history to reflect merge of #538 [ci skip],0.3842033,Reintroduce removed social includes for backwards compatibility (#217),,0
Reduce spacing in the three largest headers (#538),0.4337077,Scale headings relative to base-font-size (#78),Merge pull request 538,0
Update history to reflect merge of #594 [ci skip],0.40753666,Reintroduce removed social includes for backwards compatibility (#217),,0
Add adaptive skin: solarized (#594),0.4157199,Add better system fonts (#205),Merge pull request 594,0
Update history to reflect merge of #657 [ci skip],0.41896164,Reintroduce removed social includes for backwards compatibility (#217),,0
Update README.md (#657),0.59061885,Update README with theme content description (#91),Merge pull request 657,0
Update history to reflect merge of #654 [ci skip],0.42026997,Reintroduce removed social includes for backwards compatibility (#217),,0
change base-font-family sequence (#654),0.49560863,Add better system fonts (#205),Merge pull request 654,0
Update history to reflect merge of #633 [ci skip],0.41680837,Reintroduce removed social includes for backwards compatibility (#217),,0
Migrate from TravisCI to GitHub Actions (#633),0.30433804,Test build with Ruby 2.4 on CI (#184),Merge pull request 633,0
Update history to reflect merge of #627 [ci skip],0.42545086,Reintroduce removed social includes for backwards compatibility (#217),,0
Change the remainder of setting the url field (#627),0.67497456,Update default local URL (#120),Merge pull request 627,0
Open social links in new tabs (#625),0.66336066,Add more social links (#141),"Added target=""_blank"" to all social links to avoid taking visitors away from the client's website. Signed-off-by: Matt Rogers codemattr@gmail.com Co-authored-by: Yaroslav Shmarov yshmarov@gmail.com",0
Update history to reflect merge of #610 [ci skip],0.41137552,Reintroduce removed social includes for backwards compatibility (#217),,0
Fix custom-styles.scss name in README (#610),0.5131231,"If you have overridden the _sass/minima.css file, add the following variable before the @import directive:",Merge pull request 610,0
Update history to reflect merge of #596 [ci skip],0.41060603,Reintroduce removed social includes for backwards compatibility (#217),,0
update google-analytics (#596),0.68993556,Google analytics support (#26),Merge pull request 596,0
Update history to reflect merge of #609 [ci skip],0.4144127,Reintroduce removed social includes for backwards compatibility (#217),,0
Improve CI workflow configuration (#609),0.33133093,Test build with Ruby 2.4 on CI (#184),Merge pull request 609,0
Merge pull request #608 from jekyll/actions-for-ci,0.513705,Allow use and testing with Jekyll 4.x (#398),Add a basic workflow file for building minima,0
Add a basic workflow file for building minima,0.4347462,Demo minima on GitHub Pages (#76),This will replace the travis CI configuration,0
Merge pull request #607 from vedranmiletic/patch-1,0.34055185,Update README with theme content description (#91),Added system-ui as a cross-platform default font,0
Added system-ui as a cross-platform default font,0.6144072,Add better system fonts (#205),,0
Fix theme gemspec (#559),0.6124579,Fix gemspec regex (#31),,0
Update history to reflect merge of #535 [ci skip],0.38350293,Reintroduce removed social includes for backwards compatibility (#217),,0
Conditionally load GFM-parser gem in CI builds (#535),0.49285573,Use upstream gemspec file matcher (#9),Merge pull request 535,0
Update history to reflect merge of #510 [ci skip],0.3792699,Reintroduce removed social includes for backwards compatibility (#217),,0
chore(deps): bump Ruby version (#510),0.5414465,Test build with Ruby 2.4 on CI (#184),Merge pull request 510,0
Update history to reflect merge of #335 [ci skip],0.40193385,Reintroduce removed social includes for backwards compatibility (#217),,0
"Introduce ""Dark Minima"" skin (#335)",0.3891219,Demo minima on GitHub Pages (#76),Merge pull request 335,0
Update history to reflect merge of #452 [ci skip],0.39473534,Reintroduce removed social includes for backwards compatibility (#217),,0
Extract more color rules into skins (#452),0.37888193,More easily customizable CSS (#117),Merge pull request 452,0
Update history to reflect merge of #485 [ci skip],0.40566304,Reintroduce removed social includes for backwards compatibility (#217),,0
Specify the font size of the root element (#485),0.53922546,Scale headings relative to base-font-size (#78),Merge pull request 485,0
Update history to reflect merge of #481 [ci skip],0.39389926,Reintroduce removed social includes for backwards compatibility (#217),,0
Improve the readablility of blockquotes (#481),0.39146602,Add support to Disqus (#21),Merge pull request 481,0
Update history to reflect merge of #480 [ci skip],0.38300744,Reintroduce removed social includes for backwards compatibility (#217),,0
