Index,Message,Description,Message Abstract,Description Abstract
1,Update history to reflect merge of #719 [ci skip],,Update history to reflect merge of #719 [ci skip],
2,Highlight that the base branch is v3 (#719),Merge pull request 719,Highlight that the base branch is v3 (#719),Merge pull request 719
3,Update history to reflect merge of #714 [ci skip],,Update history to reflect merge of #714 [ci skip],
4,Trigger demo-site build manually (#714),Merge pull request 714,Trigger demo-site build manually (#714),Merge pull request 714
5,Update history to reflect merge of #713 [ci skip],,Update history to reflect merge of #713 [ci skip],
6,Fix reference to base layout in 404.html (#713),Merge pull request 713,Fix reference to base layout in 404.html (#713),Merge pull request 713
7,Update history to reflect merge of #690 [ci skip],,Update history to reflect merge of #690 [ci skip],
8,Rename default layout to base (#690),Merge pull request 690,Rename default layout to base (#690),Merge pull request 690
9,Update history to reflect merge of #703 [ci skip],,Update history to reflect merge of #703 [ci skip],
10,Improve readability of config file (#703),Merge pull request 703,Improve readability of config file (#703),Merge pull request 703
11,Update history to reflect merge of #700 [ci skip],,Update history to reflect merge of #700 [ci skip],
12,Fix deprecation warnings (#700),Merge pull request 700,Fix deprecation warnings (#700),Merge pull request 700
13,Update history to reflect merge of #698 [ci skip],,Update history to reflect merge of #698 [ci skip],
14,"Improve ""Subscribe"" link in footer (#698)",Merge pull request 698,"Improve ""Subscribe"" link in footer (#698)",Merge pull request 698
15,Update history to reflect merge of #686 [ci skip],,Update history to reflect merge of #686 [ci skip],
16,Generate social iconsheet during build (#686),Merge pull request 686,Generate social iconsheet during build (#686),Merge pull request 686
17,Update history to reflect merge of #677 [ci skip],,Update history to reflect merge of #677 [ci skip],
18,Fix responsiveness of social SVG sprites (#677),Merge pull request 677,Fix responsiveness of social SVG sprites (#677),Merge pull request 677
19,Update history to reflect merge of #636 [ci skip],,Update history to reflect merge of #636 [ci skip],
20,Build and deploy demo site via GH Action workflow (#636),Merge pull request 636,Build and deploy demo site via GH Action workflow (#636),Merge pull request 636
21,Update history to reflect merge of #673 [ci skip],,Update history to reflect merge of #673 [ci skip],
22,Add google scholar. (#673),Merge pull request 673,Add google scholar. (#673),Merge pull request 673
23,Update history to reflect merge of #634 [ci skip],,Update history to reflect merge of #634 [ci skip],
24,Add auto skin which honors the prefers-color-scheme media query (#634),Merge pull request 634,Add auto skin which honors the prefers-color-scheme media query (#634),Merge pull request 634
25,Update history to reflect merge of #538 [ci skip],,Update history to reflect merge of #538 [ci skip],
26,Reduce spacing in the three largest headers (#538),Merge pull request 538,Reduce spacing in the three largest headers (#538),Merge pull request 538
27,Update history to reflect merge of #594 [ci skip],,Update history to reflect merge of #594 [ci skip],
28,Add adaptive skin: solarized (#594),Merge pull request 594,Add adaptive skin: solarized (#594),Merge pull request 594
29,Update history to reflect merge of #657 [ci skip],,Update history to reflect merge of #657 [ci skip],
