Index,Message,Description,Message Abstract,Description Abstract
1,Merge pull request #11636 from nestjs/dependabot/npm_and_yarn/tslib-2.5.1,chore(deps): bump tslib from 2.5.0 to 2.5.1,Merge pull request #11636 from nestjs/dependabot/npm_and_yarn/tslib-2.5.1,chore(deps): bump tslib from 2.5.0 to 2.5.1
2,Merge pull request #11637 from nestjs/dependabot/npm_and_yarn/types/node-20.2.0,chore(deps-dev): bump @types/node from 20.1.7 to 20.2.0,Merge pull request #11637 from nestjs/dependabot/npm_and_yarn/types/node-20.2.0,chore(deps-dev): bump @types/node from 20.1.7 to 20.2.0
3,chore(deps-dev): bump @types/node from 20.1.7 to 20.2.0,"Bumps @types/node from 20.1.7 to 20.2.0. - Release notes - Commits  updated-dependencies: - dependency-name: ""@types/node""   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com",chore(deps-dev): bump @types/node from 20.1.7 to 20.2.0,"Bumps @types/node from 20.1.7 to 20.2.0. - Release notes - Commits updated-dependencies: - dependency-name: ""@types/node""   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com"
4,chore(deps): bump tslib from 2.5.0 to 2.5.1,Bumps tslib from 2.5.0 to 2.5.1. - Release notes - Commits  updated-dependencies: - dependency-name: tslib   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,chore(deps): bump tslib from 2.5.0 to 2.5.1,Bumps tslib from 2.5.0 to 2.5.1. - Release notes - Commits updated-dependencies: - dependency-name: tslib   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com
5,Merge pull request #11631 from nestjs/dependabot/npm_and_yarn/types/node-20.1.7,chore(deps-dev): bump @types/node from 20.1.5 to 20.1.7,Merge pull request #11631 from nestjs/dependabot/npm_and_yarn/types/node-20.1.7,chore(deps-dev): bump @types/node from 20.1.5 to 20.1.7
6,chore(deps-dev): bump @types/node from 20.1.5 to 20.1.7,"Bumps @types/node from 20.1.5 to 20.1.7. - Release notes - Commits  updated-dependencies: - dependency-name: ""@types/node""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com",chore(deps-dev): bump @types/node from 20.1.5 to 20.1.7,"Bumps @types/node from 20.1.5 to 20.1.7. - Release notes - Commits updated-dependencies: - dependency-name: ""@types/node""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com"
7,chore: update readme,,chore: update readme,
8,chore(@nestjs) publish v9.4.1 release,,chore(@nestjs) publish v9.4.1 release,
9,Merge pull request #11600 from matt1097/issue-11586,fix(core): Only update module distance if greater,Merge pull request #11600 from matt1097/issue-11586,fix(core): Only update module distance if greater
10,Merge pull request #11622 from nestjs/dependabot/npm_and_yarn/commitlint/config-angular-17.6.3,chore(deps-dev): bump @commitlint/config-angular from 17.6.1 to 17.6.3,Merge pull request #11622 from nestjs/dependabot/npm_and_yarn/commitlint/config-angular-17.6.3,chore(deps-dev): bump @commitlint/config-angular from 17.6.1 to 17.6.3
11,Merge pull request #11541 from kuronijin/master,feat(microservices): Add isGlobal option to the ClientsModule,Merge pull request #11541 from kuronijin/master,feat(microservices): Add isGlobal option to the ClientsModule
12,Merge pull request #11549 from dammy001/patch-1,chore(validation): add ability to pass custom message in file size validator,Merge pull request #11549 from dammy001/patch-1,chore(validation): add ability to pass custom message in file size validator
13,Merge pull request #11621 from nestjs/dependabot/npm_and_yarn/types/sinon-10.0.15,chore(deps-dev): bump @types/sinon from 10.0.14 to 10.0.15,Merge pull request #11621 from nestjs/dependabot/npm_and_yarn/types/sinon-10.0.15,chore(deps-dev): bump @types/sinon from 10.0.14 to 10.0.15
14,chore(deps-dev): bump @types/sinon from 10.0.14 to 10.0.15,"Bumps @types/sinon from 10.0.14 to 10.0.15. - Release notes - Commits  updated-dependencies: - dependency-name: ""@types/sinon""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com",chore(deps-dev): bump @types/sinon from 10.0.14 to 10.0.15,"Bumps @types/sinon from 10.0.14 to 10.0.15. - Release notes - Commits updated-dependencies: - dependency-name: ""@types/sinon""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com"
15,chore(deps-dev): bump @commitlint/config-angular from 17.6.1 to 17.6.3,"Bumps @commitlint/config-angular from 17.6.1 to 17.6.3. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: ""@commitlint/config-angular""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com",chore(deps-dev): bump @commitlint/config-angular from 17.6.1 to 17.6.3,"Bumps @commitlint/config-angular from 17.6.1 to 17.6.3. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: ""@commitlint/config-angular""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com"
16,Merge pull request #11623 from nestjs/dependabot/npm_and_yarn/typeorm-0.3.16,chore(deps-dev): bump typeorm from 0.3.15 to 0.3.16,Merge pull request #11623 from nestjs/dependabot/npm_and_yarn/typeorm-0.3.16,chore(deps-dev): bump typeorm from 0.3.15 to 0.3.16
17,Merge pull request #11625 from nestjs/dependabot/npm_and_yarn/fastify/middie-8.3.0,chore(deps): bump @fastify/middie from 8.1.0 to 8.3.0,Merge pull request #11625 from nestjs/dependabot/npm_and_yarn/fastify/middie-8.3.0,chore(deps): bump @fastify/middie from 8.1.0 to 8.3.0
18,Merge pull request #11626 from nestjs/dependabot/npm_and_yarn/types/node-20.1.5,chore(deps-dev): bump @types/node from 20.1.4 to 20.1.5,Merge pull request #11626 from nestjs/dependabot/npm_and_yarn/types/node-20.1.5,chore(deps-dev): bump @types/node from 20.1.4 to 20.1.5
19,Merge pull request #11627 from nestjs/dependabot/npm_and_yarn/mysql2-3.3.1,chore(deps-dev): bump mysql2 from 3.2.4 to 3.3.1,Merge pull request #11627 from nestjs/dependabot/npm_and_yarn/mysql2-3.3.1,chore(deps-dev): bump mysql2 from 3.2.4 to 3.3.1
20,Merge pull request #11628 from nestjs/dependabot/npm_and_yarn/commitlint/cli-17.6.3,chore(deps-dev): bump @commitlint/cli from 17.6.1 to 17.6.3,Merge pull request #11628 from nestjs/dependabot/npm_and_yarn/commitlint/cli-17.6.3,chore(deps-dev): bump @commitlint/cli from 17.6.1 to 17.6.3
21,Merge pull request #11629 from nestjs/dependabot/npm_and_yarn/core-js-3.30.2,chore(deps-dev): bump core-js from 3.30.1 to 3.30.2,Merge pull request #11629 from nestjs/dependabot/npm_and_yarn/core-js-3.30.2,chore(deps-dev): bump core-js from 3.30.1 to 3.30.2
22,Merge pull request #11571 from TP-O/fix-error-log,fix(common): ConsoleLogger doesn't log stacktrace,Merge pull request #11571 from TP-O/fix-error-log,fix(common): ConsoleLogger doesn't log stacktrace
23,chore(deps-dev): bump core-js from 3.30.1 to 3.30.2,Bumps core-js from 3.30.1 to 3.30.2. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: core-js   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,chore(deps-dev): bump core-js from 3.30.1 to 3.30.2,Bumps core-js from 3.30.1 to 3.30.2. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: core-js   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com
24,chore(deps-dev): bump @commitlint/cli from 17.6.1 to 17.6.3,"Bumps @commitlint/cli from 17.6.1 to 17.6.3. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: ""@commitlint/cli""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com",chore(deps-dev): bump @commitlint/cli from 17.6.1 to 17.6.3,"Bumps @commitlint/cli from 17.6.1 to 17.6.3. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: ""@commitlint/cli""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com"
25,chore(deps-dev): bump mysql2 from 3.2.4 to 3.3.1,Bumps mysql2 from 3.2.4 to 3.3.1. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: mysql2   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com,chore(deps-dev): bump mysql2 from 3.2.4 to 3.3.1,Bumps mysql2 from 3.2.4 to 3.3.1. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: mysql2   dependency-type: direct:development   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com
26,chore(deps-dev): bump @types/node from 20.1.4 to 20.1.5,"Bumps @types/node from 20.1.4 to 20.1.5. - Release notes - Commits  updated-dependencies: - dependency-name: ""@types/node""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com",chore(deps-dev): bump @types/node from 20.1.4 to 20.1.5,"Bumps @types/node from 20.1.4 to 20.1.5. - Release notes - Commits updated-dependencies: - dependency-name: ""@types/node""   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com"
27,chore(deps): bump @fastify/middie from 8.1.0 to 8.3.0,"Bumps @fastify/middie from 8.1.0 to 8.3.0. - Release notes - Commits  updated-dependencies: - dependency-name: ""@fastify/middie""   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com",chore(deps): bump @fastify/middie from 8.1.0 to 8.3.0,"Bumps @fastify/middie from 8.1.0 to 8.3.0. - Release notes - Commits updated-dependencies: - dependency-name: ""@fastify/middie""   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com"
28,chore(deps-dev): bump typeorm from 0.3.15 to 0.3.16,Bumps typeorm from 0.3.15 to 0.3.16. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: typeorm   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,chore(deps-dev): bump typeorm from 0.3.15 to 0.3.16,Bumps typeorm from 0.3.15 to 0.3.16. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: typeorm   dependency-type: direct:development   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com
29,Merge pull request #11620 from nestjs/dependabot/npm_and_yarn/set-value-and-union-value-2.0.1,chore(deps): bump set-value and union-value,Merge pull request #11620 from nestjs/dependabot/npm_and_yarn/set-value-and-union-value-2.0.1,chore(deps): bump set-value and union-value
30,Merge pull request #11568 from nestjs/dependabot/npm_and_yarn/lint-staged-13.2.2,chore(deps-dev): bump lint-staged from 13.2.1 to 13.2.2,Merge pull request #11568 from nestjs/dependabot/npm_and_yarn/lint-staged-13.2.2,chore(deps-dev): bump lint-staged from 13.2.1 to 13.2.2
31,Merge pull request #11570 from nestjs/dependabot/npm_and_yarn/rxjs-7.8.1,chore(deps): bump rxjs from 7.8.0 to 7.8.1,Merge pull request #11570 from nestjs/dependabot/npm_and_yarn/rxjs-7.8.1,chore(deps): bump rxjs from 7.8.0 to 7.8.1
32,chore(deps): bump set-value and union-value,Bumps set-value and union-value. These dependencies needed to be updated together. Updates set-value from 0.4.3 to 2.0.1 - Commits Updates union-value from 1.0.0 to 1.0.1 - Release notes - Commits  updated-dependencies: - dependency-name: set-value   dependency-type: indirect - dependency-name: union-value   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com,chore(deps): bump set-value and union-value,Bumps set-value and union-value. These dependencies needed to be updated together. Updates set-value from 0.4.3 to 2.0.1 - Commits Updates union-value from 1.0.0 to 1.0.1 - Release notes - Commits updated-dependencies: - dependency-name: set-value   dependency-type: indirect - dependency-name: union-value   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com
33,Merge pull request #11575 from nestjs/dependabot/npm_and_yarn/fastify-4.17.0,chore(deps): bump fastify from 4.16.0 to 4.17.0,Merge pull request #11575 from nestjs/dependabot/npm_and_yarn/fastify-4.17.0,chore(deps): bump fastify from 4.16.0 to 4.17.0
34,Merge pull request #11576 from nestjs/dependabot/npm_and_yarn/redis-4.6.6,chore(deps-dev): bump redis from 4.6.5 to 4.6.6,Merge pull request #11576 from nestjs/dependabot/npm_and_yarn/redis-4.6.6,chore(deps-dev): bump redis from 4.6.5 to 4.6.6
35,Merge pull request #11583 from nestjs/dependabot/npm_and_yarn/types/chai-4.3.5,chore(deps-dev): bump @types/chai from 4.3.4 to 4.3.5,Merge pull request #11583 from nestjs/dependabot/npm_and_yarn/types/chai-4.3.5,chore(deps-dev): bump @types/chai from 4.3.4 to 4.3.5
36,Merge pull request #11588 from nestjs/dependabot/npm_and_yarn/apollo/server-4.7.1,chore(deps-dev): bump @apollo/server from 4.7.0 to 4.7.1,Merge pull request #11588 from nestjs/dependabot/npm_and_yarn/apollo/server-4.7.1,chore(deps-dev): bump @apollo/server from 4.7.0 to 4.7.1
