Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Add missing shortcut in documentation,0.57485443,New shortcuts,MOD+Backspace also triggers BACK.,0
Document installation via winget on Windows,0.2795977," - Fix ""push file"" with spaces on Windows (#288)",PR #4005 link Refs #1444 link Refs #3932 link Signed-off-by: Romain Vimont rom@rom1v.com,0
Clarify API versions that support Audio Forwarding,0.60392034," - Add Audio forwarding (#14, #3757)",Reword the supported API versions for audio forwarding sentence to clarify that it supports API >= 30 PR #3949 link Signed-off-by: Romain Vimont rom@rom1v.com,0
Specify in README that OTG does not require adb,0.5176879,OTG mode,,0
Fix documentation link in FAQ,0.28960478,Hotfix for v1.15:,,0
Fix typo in FAQ,0.3518123,Bugfixes,,0
Mention necessary reboot,0.38662952, - Keep the console open on error on Windows (#261),"After setting ""USB debugging (security settings)"", a reboot is necessary.",0
Reference FAQ from HID/OTG documentation,0.6699921,HID/OTG on all platforms,"Reference the FAQ section about ""HID/OTG issues on Windows"" from the HID/OTG documentation.",0
"Replace ""bit-rate"" with ""bit rate""",0.50199854,A bug introduced in v1.12 could prevent to set a custom bit-rate (scrcpy -b 12m).,,0
Fix typo in doc/audio.md,0.43073553," - Fix mp4 headers produced by recording (#351, #416)","The documentation is about audio bit rate, not video bit rate. PR #3839 link Signed-off-by: Romain Vimont rom@rom1v.com",0
Clarify V4L2 feature in README,0.567531,"It also simplifies V4L2 usage, which does not support video dimension changes.",The previous formulation could suggest that the device camera could be used as a webcam. This is not the case (yet?).,0
Document missing Opus encoder error,0.4602548, - Retry on spurious encoder error (#3693),And how to solve it.,0
Update Gentoo instructions,0.33207336,Some popular webpages seem to point to this (very) old version. Use the latest version instead.,"scrcpy is available directly in the distro, drop link to the overlay (which only contains older versions). PR #3816 link Signed-off-by: Romain Vimont rom@rom1v.com",0
Update broken link in documentation,0.42341253,Some popular webpages seem to point to this (very) old version. Use the latest version instead.,The Android documentation has been updated.,0
Replace link to enable USB debugging in README,0.4839861,DEBUG:           (usb)  fedcba09                        device  GM1913,Link to a more relevant page in the official documentation to enable USB debugging.,0
Add references to prerequisites,0.29290774, - Add manpage,"Users sometimes only read the OS-specific instructions, they must be aware of the prerequisites.",0
Add blogpost link about scrcpy 2.0,0.7013148,scrcpy v1.5,,1
Fix v4l2 sink,0.4411571,scrcpy --v4l2-buffer=500    # add 500 ms buffering for v4l2 sink,"The codec id to write as codec parameters is the one from the v4l2 encoder, not from the decoder. Regression introduced by be985b8242e0626288674b84c5039725170f8f0c. Fixes #3795 link",0
Fix build issue on FFmpeg < 5.1,0.70806, - Upgrade FFmpeg to 5.0.1 in Windows 64-bit releases,An include was missing. Fixes #3783 link,1
Fix comparison warning,0.5241256, - Improve some error messages,An int was compared with an unsigned: ../app/src/audio_player.c:290:27: warning: comparison of integers of different signs: 'int' and 'unsigned int' [-Wsign-compare]             if (abs(diff) < ap->sample_rate / 1000) {                 ~~~~~~~~~ ^ ~~~~~~~~~~~~~~~~~~~~~~,0
"Fix an ""expected expression"" error",0.3777961, - Improve some error messages,"In C, a label can only be followed by a statement, not a declaration. An error in app/src/screen.c violated this, and led to a build error with an error message similar to the one below: ../app/src/screen.c:821:13: error: expected expression             bool ok = sc_screen_init_size(screen);             ^ /Applications/Xcode.app/Contents/Developer/Toolchains/XcodeDefault.xctoolchain/usr/lib/clang/13.0.0/include/stdbool.h:15:14: note: expanded from macro 'bool' define bool _Bool module ../app/src/screen.c:822:18: error: use of undeclared identifier 'ok'             if (!ok) {                  ^ 2 errors generated. This could be fixed by introducing a new block (or compound statement; as is already being done in the next case). That is a statement. Fixes #3785 link PR #3787 link Signed-off-by: Ruoyu Zhong zhongruoyu@outlook.com Signed-off-by: Romain Vimont rom@rom1v.com",0
Fix broken link in Windows download page,0.35515803, - Workaround Windows issue with non-ASCII path (#2619),,0
Fix broken link in shortcuts documentation,0.46581477, - Make shortcut modifiers customizable (#1598),,0
Update links to v2.0,0.42946458,Some popular webpages seem to point to this (very) old version. Use the latest version instead.,,0
Bump version to 2.0,0.4536338, - Upgrade SDL to 2.0.22 in Windows releases,,0
Merge branch 'master' into dev,0.28119382,This might sometimes be more appropriate than GitHub issues when it's not to report a bug.,,0
Rework README and documentation,0.43074337, - Various technical refactors and fixes,The README.md page is HUGE. Split it up. Also document audio forwarding and improve installation instructions for each platform and user documentation. PR #3774 link,0
Happy new year 2023!,0.2806421,   (#224),,0
Document audio player,0.3615569," - Add Audio forwarding (#14, #3757)",Add some high-level documentation on the audio player implementation.,0
Apply new compensation only if it changed,0.2841827, - Apply workarounds only on error (#994),"If the compensation is the same (typically when it is 0), do not reapply it.",0
Disable clock drift compensation for tiny values,0.3707797,High-precision scrolling,"For less than 1ms, the estimated drift is just noise.",0
Fail on deprecated options,0.667643,Remove deprecated short options,Suggest the video and audio specific options instead.,0
Remove dead code about the deprecated -F option,0.6783865, - Remove deprecated short options -T and -c,The -F option was already removed.,0
Remove deprecated option --render-expired-frames,0.8795459, - Remove option --render-expired-frames (#2268),This option did nothing since it was deprecated. Totally remove it.,1
Upgrade platform-tools (34.0.1) for Windows,0.86982095, - Upgrade platform-tools to 34.0.1 (adb) in Windows releases,Include the latest version of adb in Windows releases.,1
Upgrade SDL (2.26.4) for Windows,0.9530482, - Upgrade SDL to 2.26.4 in Windows releases,Include the latest version of SDL in Windows releases.,1
Remove unused IOException,0.4071808, - Fix segfault on empty file recorded (#918),IOException may not be thrown from this method.,0
Compute buffering and compensation without lock,0.530627,Buffering,"Once underflow has been read with a lock, the buffering and compensation may be performed without shared variables.",0
Do not read avg_buffering from the player thread,0.44526923, - Implement (optional) buffering (#2464),"On buffer underflow, the average buffering must be updated, but it is intended to be accessed only from the receiver thread. Make the player and the receiver thread communicate the underflow via a new field (ap->underflow).",0
Simplify bytebuf naming,0.34600237," - Fix bit-rate parsing when ""long"" is 32 bits (#995)",Rename read_available to can_read and write_available to can_write. This is more readable.,0
Add audio sample ring-buffer,0.46894068," - Add Audio forwarding (#14, #3757)","Add a thin wrapper around bytebuf to handle samples instead of bytes. This simplifies the audio player, which mostly handles samples.",0
Define the audio output buffer in milliseconds,0.42446703, - Implement (optional) buffering (#2464),"In theory, this buffer must be dimensioned for a target duration, so its size in bytes should depend on the sample rate.",0
Pass video size as codec metadata,0.5972152, - Add --codec-options to pass MediaFormat options directly (#1325),"On initial connection, scrcpy sent some device metadata:  - the device name (to be used as window title)  - the initial video size (before any frame or even SPS/PPS) But it is better to provide the initial video size as part as the video stream, so that it can be demuxed and exposed via AVCodecContext to sinks. This avoids to pass an explicit ""initial frame size"" for the screen, the recorder and the v4l2 sink.",0
Report errors on screen event error,0.50021034," - Correctly handle mouse events outside device screen (#353, #357)",Make scrcpy fail if an important screen event (like frame update) fails.,0
Rename sendCodecId to sendCodecMeta,0.31836534," - Add --encoder option (#1810, #1827)",This will allow the codec header to contain more than the codec id.,0
Copy codec parameters from context,0.56273425,Advanced codec options,"Now that the recorder have access to the codec context, it may automatically initialize the stream codec parameters. The V4L2 sink could do the same.",0
Simplify recorder,0.5680212," - Add screen recording (#21, #292)","After the refactor performed by the previous commit, the functions to wait the video stream and the audio stream could be inlined.",0
Create recorder streams from packet sinks ops,0.47442442,Asynchronous recording,"Previously, the packet sink push() implementation just set the codec and notified a wait condition. Then the recorder thread read the codec and created the AVStream. But this was racy: an AVFrame could be pushed before the creation of the AVStream, causing its video_stream_index or audio_stream_index to be initialized to -1. Also, in the future, the AVStream initialization might need data provided by the packet sink open(), so initialize it there (with a mutex).",0
Pass AVCodecContext to packet sinks,0.45573753,"In this release, this part has been rewritten so that a frame is decoded as soon as it is received, by taking advantage of the knowledge of packet boundaries on the device side.","Create the codec context from the demuxer, so that it can fill context data for the decoder and recorder.",0
Enable log signaling buffering threshold exceeded,0.4710353, - Add --verbosity to configure log level at runtime,It is as important as underflow logs.,0
Stop and join sc_file_pusher only if initialized,0.39948177, - Refuse to push server if it points to a directory (#956),"The sc_file_pusher is lazy-initialized, but it was stopped and joined in all cases (accessing uninitialized values). Detected by poisoning the struct scrcpy instance with ASAN enabled.",0
Initialize interrupted field explicitly,0.3649814, - Fix quick interruption on Ctrl+c during server starting,The field sc_fps_counter.interrupted was never initialized explicitly. Signed-off-by: Romain Vimont rom@rom1v.com,0
Decrease recorder thread priority,0.75853544,"For maximum performance even when recording is enabled, the recorder now uses a dedicated thread.","Recording is background task, writing the packets to a file is not urgent.",1
Increase audio thread priority,0.5521475,"For maximum performance even when recording is enabled, the recorder now uses a dedicated thread.",The audio demuxer thread is the one filling the audio buffer read by the SDL audio thread. It is time critical to avoid buffer underflow.,0
Add thread priority API,0.38476816,"For maximum performance even when recording is enabled, the recorder now uses a dedicated thread.",Expose an API to change the priority of the current thread.,0
Print info logs to stdout,0.59280074, - Print help to stdout (instead of stderr),"All server logs were printed to stdout, while all client logs were printed to stderr. Instead, use stderr for warnings and errors, stdout for the others:  - stdout: verbose, debug, info  - stderr: warn, error",0
Print server logs and newline in one call,0.40450245, - Print correct error messages on Windows socket errors (#2624),"System.out.println() first prints the message, then the new line. Between these two calls, the client might print a message, breaking formatting. Instead, call System.out.print() with '\n' appended to the message.",0
Warn on ignored audio options,0.39935216," - Add Audio forwarding (#14, #3757)","For raw audio codec, some audio options are ignored. PR #3757 link",0
Add --audio-codec=raw option,0.71796095, - Add --codec-options to pass MediaFormat options directly (#1325),Add support for raw (PCM S16 LE) audio codec (a raw decoder is included in FFmpeg). PR #3757 link,1
Add raw audio recorder,0.5662098," - Add screen recording (#21, #292)",Add an alternative AudioRecorder to stream raw packets without encoding. PR #3757 link,0
Extract async processor interface,0.33389613, - Consider emulators as TCP/IP devices (-e) (#3137),"On the server side, several components are started, stopped and joined. Extract an interface to handle them generically. This will help to support both encoded and raw audio stream, because they will be two different concrete components, but implementing the same interface. PR #3757 link",0
Extract audio capture,0.43753994,Asynchronous recording,"The audio capture was implemented in AudioEncoder. In order to reuse it without encoding, extract it to a separate class. PR #3757 link",0
Stop on decoder frame push error,0.61954653, - Retry on spurious encoder error (#3693),"On push, frame sinks report downstream errors to stop upstream components. Do not ignore the error.",0
Add --audio-buffer,0.5898153," - Add Audio forwarding (#14, #3757)",Expose an option to add a buffering delay (in milliseconds) before playing audio. This is similar to the options --display-buffer and --v4l2-buffer for video frames. PR #3757 link,0
Add compat support for FFmpeg < 5.1,0.7495856, - Upgrade FFmpeg to 5.0.1 in Windows 64-bit releases,The new chlayout API has been introduced in FFmpeg 5.1. Use the old channel_layout API on older versions. PR #3757 link,1
