Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
1,update docs sidenav (#5810),0.5929588,ui: update DocLink component to use new host url: developer.hashicorp.com [GH-18374],,0
2,Audit backend -> device,0.6102014,core: Check audit device with a test message before adding it. [GH-10520],"Respond with cache size on config write Signed-off-by: Alexander Scheel alex.scheel@hashicorp.com Respond with key policy on write This includes creating a key, but also trimming or rotating an existing key. Signed-off-by: Alexander Scheel alex.scheel@hashicorp.com Add changelog entry Signed-off-by: Alexander Scheel alex.scheel@hashicorp.com Correctly handle locking around policy formatting Signed-off-by: Alexander Scheel alex.scheel@hashicorp.com Validate that responses are non-empty Signed-off-by: Alexander Scheel alex.scheel@hashicorp.com Signed-off-by: Alexander Scheel alex.scheel@hashicorp.com",0
3,Prep for 0.6.5 release,0.6686162,1.7.0,,0
4,Merge pull request #941 from hashicorp/armored-pgp-keys,0.61540973,secrets/mongodb-atlas: Fix a bug that did not allow WAL rollback to handle partial failures when creating API keys [GH-19111],pki: add subject key identifier to read key response This will be helpful for the Terraform Vault Provider to detect migration of pre-1.11 exported keys (from CA generation) into post-1.11 Vault. add changelog Update builtin/logical/pki/path_fetch_keys.go Co-authored-by: Alexander Scheel alex.scheel@hashicorp.com check for managed key first Validate the SKID matches on root CAs Signed-off-by: Alexander Scheel alex.scheel@hashicorp.com Validate SKID matches on int CAs Signed-off-by: Alexander Scheel alex.scheel@hashicorp.com Fix formatting of tests Signed-off-by: Alexander Scheel alex.scheel@hashicorp.com Signed-off-by: Alexander Scheel alex.scheel@hashicorp.com Co-authored-by: Alexander Scheel alex.scheel@hashicorp.com,0
5,auth/ldap: add configuration path for groups,0.63599247,auth/kerberos: add add_group_aliases config to include LDAP groups in Vault group aliases [GH-16890],Add root protected endpoint table Fix heading case,0
6,[Docs] Mark the 'policies' parameter as deprecated for tokens (#20238),0.6482751,ui: Fix Generated Token's Policies helpText to clarify that comma separated values are not accepted in this field. [GH-15046],,0
7,"Had to change what a wildcard value in a parameter mapped to, from a nil value to an empty struct",0.45359606,sdk/framework: The '+' wildcard is now supported for parameterizing unauthenticated paths. [GH-12668],Signed-off-by: Alexander Scheel alex.scheel@hashicorp.com,0
8,Bug Fix: Show Error messages on Auth Configuration page (#8500),0.7014015,auth/aws: Underlying error included in validation failure message. [GH-11638],report intermediate error messages during request forwarding CL,1
9,initial commit for adding audit file permission changes,0.54234576,"core: fixing excessive unix file permissions on dir, files and archive created by vault debug command [GH-14846]","default max page size for config Add changelog update test int to *int add testing defaults update default to -1, i.e. dont paginate update test Add error message for invalid search Make 0 the default cleanup Add to known issues doc Update website/content/docs/upgrading/upgrade-to-1.13.x.mdx Update website/content/docs/upgrading/upgrade-to-1.11.x.mdx Co-authored-by: Jason O'Donnell 2160810+jasonodonnell@users.noreply.github.com Update website/content/docs/upgrading/upgrade-to-1.13.x.mdx Co-authored-by: Jason O'Donnell 2160810+jasonodonnell@users.noreply.github.com Update website/content/docs/upgrading/upgrade-to-1.12.x.mdx Co-authored-by: Jason O'Donnell 2160810+jasonodonnell@users.noreply.github.com Add workaround to docs Update changelog/20453.txt Co-authored-by: Austin Gebauer 34121980+austingebauer@users.noreply.github.com Co-authored-by: Jason O'Donnell 2160810+jasonodonnell@users.noreply.github.com Co-authored-by: Austin Gebauer 34121980+austingebauer@users.noreply.github.com",0
10,Vault SSH: Review Rework,0.6299124,secrets/ssh: Evaluate ssh validprincipals user template before splitting [GH-16622],"Do not set use_csr_values when issuing ACME certs Signed-off-by: Alexander Scheel alex.scheel@hashicorp.com Ensure CSRs with Basic Constraints are rejected Signed-off-by: Alexander Scheel alex.scheel@hashicorp.com Add test to ensure CA certificates cannot be issued Signed-off-by: Alexander Scheel alex.scheel@hashicorp.com Update builtin/logical/pkiext/pkiext_binary/acme_test.go Co-authored-by: Steven Clark steven.clark@hashicorp.com Update builtin/logical/pkiext/pkiext_binary/acme_test.go Co-authored-by: Steven Clark steven.clark@hashicorp.com Update acme_test.go to include certutil Update acme_test.go - unused imports, reformat Update acme_test.go - hex really was used This is why I can't use the GH web editor. :-) Signed-off-by: Alexander Scheel alex.scheel@hashicorp.com Co-authored-by: Steven Clark steven.clark@hashicorp.com",0
11,Vault change doc main couchbase (#20314),0.60786355,Vault and Vault Enterprise and is fixed in 1.6.2 (CVE-2020-25594).,,0
12,Provide token ttl and issue time in the audit log. (#9091),0.62819076,agent: fix timestamp format in log messages from the templating engine [GH-11838],including path parameters into stub Paths for enterprise-only endpoints Set Required to true for path parameters in enterprise-only path stubs Co-authored-by: Anton Averchenkov 84287187+averche@users.noreply.github.com properly format go code re-adding initialization of Fields and Operations fields in the stubbed Path struct Co-authored-by: Anton Averchenkov 84287187+averche@users.noreply.github.com,0
13,VAULT-12564 Docs for token file auth method (#18783),0.67253435,auth/approle: Fix token_bound_cidrs validation when using /32 blocks for role and secret ID [GH-18145],,0
14,website: add link to certification on /community (#8942),0.60824776,auth/cert: Add configurable support for validating client certs with OCSP. [GH-17093],change testing password policy to be deterministic fix panic test password against rules improve error message make test password gen more random fix check on test password length,0
15,logical: remove unneeded error check in handleLogicalInternal (#7691),0.57982457,ui: Prevents requests to /sys/internal/ui/resultant-acl endpoint when unauthenticated [GH-17139],,0
