Index,Message,Description,Message Abstract,Description Abstract
1,Merge pull request #5008 from keystonejs/point-readme-to-ks6,Point keystone-classic readme to ks6,Merge pull request #5008 from keystonejs/point-readme-to-ks6,Point keystone-classic readme to ks6
2,don't dance around the wording,,don't dance around the wording,
3,Point keystone-classic readme to ks6,"Since there isn't a clear upgrade path, I've just said to use KS6 for new projects and leave off calls to upgrade for this one",Point keystone-classic readme to ks6,"Since there isn't a clear upgrade path, I've just said to use KS6 for new projects and leave off calls to upgrade for this one"
4,Update robots.txt,,Update robots.txt,
5,Add sitemap and robots.,,Add sitemap and robots.,
6,Update banner (#4993),,Update banner (#4993),
7,Fixes #4919: Saving a model before Relationship fields have fully loaded causes data loss (#4978),  Implements loading indicator for relationship field values   Suppresses loading indicator for items with relationship fields that have no values ,Fixes #4919: Saving a model before Relationship fields have fully loaded causes data loss (#4978),Implements loading indicator for relationship field values Suppresses loading indicator for items with relationship fields that have no values
8,Fix problem with filename ext (ticket: #4765) (#4960),,Fix problem with filename ext (ticket: #4765) (#4960),
9,Update Version5.js,,Update Version5.js,
10,Update README.md,,Update README.md,
11,Merge pull request #4974 from keystonejs/update-website-to-v4,Update doc banner,Merge pull request #4974 from keystonejs/update-website-to-v4,Update doc banner
12,Merge branch 'master' into update-website-to-v4,,Merge branch 'master' into update-website-to-v4,
13,fix banner for v5,,fix banner for v5,
14,Merge pull request #4972 from keystonejs/update-website-to-v4,Update website content,Merge pull request #4972 from keystonejs/update-website-to-v4,Update website content
15,Update website content,,Update website content,
16,Merge pull request #4968 from keystonejs/Add-KS5-link,Add note about KS 5,Merge pull request #4968 from keystonejs/Add-KS5-link,Add note about KS 5
17,Merge branch 'master' into Add-KS5-link,,Merge branch 'master' into Add-KS5-link,
18,Update README.md,,Update README.md,
19,Add note about KS 5,,Add note about KS 5,
20,Add a note about Keystone 5,,Add a note about Keystone 5,
21,v4.2.1,,v4.2.1,
22,Merge branch 'master' of github.com:keystonejs/keystone,,Merge branch 'master' of github.com:keystonejs/keystone,
23,v4.2.0,,v4.2.0,
24,Merge pull request #4895 from pixtron/feature/adminrouteshook,Add pre:adminroutes hook,Merge pull request #4895 from pixtron/feature/adminrouteshook,Add pre:adminroutes hook
25,Merge branch 'master' into feature/adminrouteshook,,Merge branch 'master' into feature/adminrouteshook,
26,Merge pull request #4940 from BarryThePenguin/fix/keystone-tinymce,update references to keystone-tinymce,Merge pull request #4940 from BarryThePenguin/fix/keystone-tinymce,update references to keystone-tinymce
27,Merge branch 'master' into feature/adminrouteshook,,Merge branch 'master' into feature/adminrouteshook,
28,Merge branch 'master' into fix/keystone-tinymce,,Merge branch 'master' into fix/keystone-tinymce,
29,Merge pull request #4937 from keystonejs/bugfix/url-field-noedit-value,fix value for noEdit InputForm in UrlField,Merge pull request #4937 from keystonejs/bugfix/url-field-noedit-value,fix value for noEdit InputForm in UrlField
30,update references to keystone-tinymce,,update references to keystone-tinymce,
31,fix value for noEdit InputForm in UrlField,,fix value for noEdit InputForm in UrlField,
32,v4.1.1,,v4.1.1,
33,Fix for the color field,,Fix for the color field,
34,Updating package-lock,,Updating package-lock,
35,Merge pull request #4930 from WenWu92/master,error correction for documentation,Merge pull request #4930 from WenWu92/master,error correction for documentation
36,Adding todo for #4927,,Adding todo for #4927,
37,Merge pull request #4927 from ttsirkia/patch-1,Fix incorrect behavior with default values,Merge pull request #4927 from ttsirkia/patch-1,Fix incorrect behavior with default values
38,Merge branch 'master' into patch-1,,Merge branch 'master' into patch-1,
39,Merge pull request #4932 from keystonejs/bugfix/bring-back-old-test-libs,bring back older versions of testing libs,Merge pull request #4932 from keystonejs/bugfix/bring-back-old-test-libs,bring back older versions of testing libs
40,adding unit tests to travis,,adding unit tests to travis,
