Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
mergify: no requested changes,0.2701631,Changed minimum Pytorch version to be 1.8 (#1263),,0
Fix bug in macro average for a number of classification metrics (#1821),0.7184594,AveragePrecision will now as default output the macro average for multilabel and multiclass problems (#477),Co-authored-by: Jirka Borovec 6035284+Borda@users.noreply.github.com Co-authored-by: Jirka jirka.borovec@seznam.cz,1
Fix compositional logging with lightning  (#1761),0.5842821,Native support for logging metrics in Lightning to reduce even more boilerplate.,  tests   tests   fix implementation   changelog    Co-authored-by: pre-commit-ci[bot] 66853113+pre-commit-ci[bot]@users.noreply.github.com Co-authored-by: Jirka Borovec 6035284+Borda@users.noreply.github.com,0
Fix confmat docs (#1844),0.45996636,Updated FBeta arguments (#111),fix docs,0
docs: bump sphinx ver. (#1840),0.36266994,Tweedie Deviance Score (#499),,0
"build(deps): update transformers requirement from <4.29.3,>4.4.0 to >4.4.0,<4.30.2 in /requirements (#1837)",0.35238087,"Removed deprecated LabelRankingAveragePrecision, LabelRankingLoss and CoverageError (#1251)",Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
Update CODEOWNERS,0.3043149,higher_is_better to rest of codebase (#584),,0
ci: drop numba RC (#1839),0.37311742,Allowed reduction None (#891),Co-authored-by: Nicki Skafte Detlefsen skaftenicki@gmail.com,0
build(deps): bump pytest from 7.3.1 to 7.3.2 in /requirements (#1836),0.46995497,Changed minimum Pytorch version to be 1.8 (#1263),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
build(deps): bump pytest-doctestplus from 0.12.1 to 0.13.0 in /requirements (#1838),0.44203472,Changed minimum Pytorch version to be 1.8 (#1263),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
"build(deps): update scienceplots requirement from <=2.0.1,>=2.0.0 to >=2.0.0,<=2.1.0 in /requirements (#1826)",0.43776655,"Removed deprecated LabelRankingAveragePrecision, LabelRankingLoss and CoverageError (#1251)",Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
ci: extends timeout,0.26435566,Improved testing speed (#820),very long setup on macOS :/,0
"build(deps): update regex requirement from <=2023.5.5,>=2021.9.24 to >=2021.9.24,<=2023.6.3 in /requirements (#1825)",0.42753148,MatchErrorRate (#619),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
build(deps): update huggingface-hub requirement from <0.15 to <0.16 in /requirements (#1824),0.42226255,Removed rouge-score as dependency for text package (#443),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
Fix docstring in MAP (#1828),0.41695315,Renamed text WER metric: (#714),,0
