Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
1,Add normalize arg to LPIPS metric (#1216),0.58102834,Renamed AverageMeter to MeanMetric (#506),Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com Co-authored-by: Jirka B j.borovec+github@gmail.com Co-authored-by: Jirka Borovec 6035284+Borda@users.noreply.github.com,0
2,Contributing (#36),0.70709,Contributors,Co-authored-by: Jirka Borovec 6035284+Borda@users.noreply.github.com,1
3,Bugfix: Removes buffers from state dict (#1728),0.47588336,"Removed deprecated functions, and warnings in Text (#773)",fix logic mistake changelog Co-authored-by: mergify[bot] 37929162+mergify[bot]@users.noreply.github.com Co-authored-by: Jirka Borovec 6035284+Borda@users.noreply.github.com,0
4,release 0.7.0,0.6696106,[0.7.0] - 2022-01-17,build(deps): update dython requirement in /requirements Updates the requirements on dython to permit the latest version. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: dython   dependency-type: direct:production ... Signed-off-by: dependabot[bot] support@github.com Drop ToDo Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com Co-authored-by: Jirka Borovec 6035284+Borda@users.noreply.github.com,0
5,Class reduction similar to sklearn (PL^3322),0.50755864,Removed deprecated KLDivergence and AUC (#1251),rouge_score: Fix lookup for punkt sources being downloaded chlog Co-authored-by: mergify[bot] 37929162+mergify[bot]@users.noreply.github.com,0
6,Fix cornercase for PearsonCorrCoef (#1587),0.61809945,PearsonCorrcoef -> PearsonCorrCoef,build(deps): update transformers requirement in /requirements Updates the requirements on transformers to permit the latest version. - Release notes - Commits updated-dependencies: - dependency-name: transformers   dependency-type: direct:production ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
7,implementation,0.55332947,More Functionality,Bumps mypy from 1.2.0 to 1.3.0. - Commits updated-dependencies: - dependency-name: mypy   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
8,enable more PL integrations (#739),0.7112321,"Cleaning remaining inconsistency and fix PL develop integration (#191, #192, #193, #194)",Co-authored-by: Nicki Skafte Detlefsen skaftenicki@gmail.com Co-authored-by: pre-commit-ci[bot] 66853113+pre-commit-ci[bot]@users.noreply.github.com,1
9,ci: guardian & pytorch 1.13.1 (#1534,0.6321991,Changed minimum Pytorch version to be 1.8 (#1263),,0
10,add typing for attributes (#314),0.56017876,"Extend typing (#330, #332, #333, #335, #314)",Co-authored-by: mergify[bot] 37929162+mergify[bot]@users.noreply.github.com,0
11,update chlog after 0.11.4,0.58141243,Changed minimum Pytorch version to be 1.8 (#1263),Co-authored-by: Justus Schock 12886177+justusschock@users.noreply.github.com Co-authored-by: pre-commit-ci[bot] 66853113+pre-commit-ci[bot]@users.noreply.github.com Co-authored-by: Jirka Borovec 6035284+Borda@users.noreply.github.com,0
12,Fixing typing (#1215),0.6054045,"Extend typing (#330, #332, #333, #335, #314)",docs tests changelog fix skipping doctests fix unittest Apply suggestions from code review Co-authored-by: Luca Antiga luca@lightning.ai Co-authored-by: Daniel Stancl 46073029+stancld@users.noreply.github.com fix unittests add common runners Co-authored-by: Jirka Borovec 6035284+Borda@users.noreply.github.com Co-authored-by: mergify[bot] 37929162+mergify[bot]@users.noreply.github.com Co-authored-by: Luca Antiga luca@lightning.ai Co-authored-by: Daniel Stancl 46073029+stancld@users.noreply.github.com,0
13,Metric aggregation (PL^3321),0.6615666,MAE metric (#1210),fix + tests changelog refactor test fix fix Co-authored-by: Jirka Borovec 6035284+Borda@users.noreply.github.com Co-authored-by: mergify[bot] 37929162+mergify[bot]@users.noreply.github.com,0
14,Implement Explained Variance Metric + metric fix (PL^4013),0.69308937,Using Module metrics,Co-authored-by: Jirka Borovec 6035284+Borda@users.noreply.github.com,0
