Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Class
1,Allow ttl_seconds_after_finished = 0 in kubernetes_job resource (#849),0.99343956,* Allow 'ttl_seconds_after_finished = 0' in kubernetes_job resource (#849),  remove defaultSecret warning message   add changelog=entry ,1
2,[TK-1382] Upgrade SDKs (#1798),0.6435778,* Add upgrade test for daemonset (#1064),,0
3,Corrections to pod affinity docs,0.6344721,Add validations to container PodSpec (#1275),,0
4,Merge pull request #103 from sl1pm4t/secret-binary-data,0.57802755,* Add binary_data field to kubernetes_secret (#1228),,0
5,Consolidate network policy expanders (#537),0.61806273,  - kubernetes_network_policy_v1,Co-authored-by: John Houston jhouston@hashicorp.com,0
6,Merge pull request #731 from andrein/data_source_kubernetes_service_account,0.68892395,  - kubernetes_service_account,Co-authored-by: John Houston jhouston@hashicorp.com,0
7,Escape '/' in JSON Patch path correctly,0.43199474,Remove self_link from metadata (#1294),,0
8,add support for setting the persistent volume claimRef (#1020),0.99458337,* Add support for setting the persistent volume claimRef (#1020),,1
9,Delete outdated ROADMAP.md (#1924),0.5290506,Fix type-morphing of Map into Map (#1521),,0
10,Merge pull request #33 from ashishth09/master,0.5167035,Update Pull Request Lifecycle docs (#1032),,0
11,Add ignore_annotations and ignore_labels to provider block (#1687),0.8029661,Attribute ignore_labels of provider (#746),"Generate unknown value of the type required by schema, when backfilling unset values during planning.",1
12,go mod tidy & go mod vendor,0.42968524,ENHANCEMENT:,Use actual type of input value in morpher diagnostic.,0
13,Add data_source_kubernetes_service_account tests,0.7027162,  - kubernetes_service_account,  initial schema   add structures with flatteners and headers   Implement Create and Delete   add serviceAccount attribute   final updated schema   set uid attribute and expiration default value   set empty boundObjectRef to nil   add changelog-entry   add docs   update docs and tests   format fix   add copyright headers   fix tf config format   push requested changes   fix small bugs in test   Refactor changes   add spec flatten and switch spec to optional   update name in tfconfig tokenrequest docs   make attributes in tokenspecfields computed   make spec computed   add forcedNew to spec attributes ,1
14,provider/kubernetes: Provide more details about why PVC failed to bind,0.6099273,Allow in-place update of PVC's storage request (#957),,0
15,Transfer Kubernetes provider,0.6289159,* Document that kubernetes_manifest must be enabled in the provider block.,,0
16,Add support for stand-alone debug mode (launch with -debug argument) (#1277),0.53282166,Enable HTTP requests/responses tracing in debug mode (PR #630),,0
17,Add missing labels (#1295),0.7433214,* Add missing annotations (#1289),,1
18,Merge pull request #68 from terraform-providers/b-fix-faulty-env-detection,0.59090364,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
19,Implement Update for cron_job resources.,0.55579084,* Fix kubernetes_cron_job ForceNew when modifying job_template (#1212),  wip   WIP   WIP   Add new config for aks test   Added copyright header and moved variables into their own file ,0
20,"Fix timeouts for StatefulSet, Deployment, and DaemonSet (#1902)",0.8496822,"Fix an issue with timeouts for StatefulSet, Deployment, and DaemonSet resources when in some cases changes of Update or Create timeout doesn't affect related actions. [GH-1902]",  Add scheduler_name attribute with docs and test   add changelog-entry ,1
21,add missing automount_service_account_token to the pod spec,0.75783867,* Fix perpetual diff when using Pod resource with automount_service_account_token=true (#1085),  Created a field for generate_name in secret data source   Add changelog file ,1
22,select default_secret for service account if there is more than one (#281),0.64083385,Allow 3s age gap between service account and secret (issue),Co-authored-by: hashicorp-copywrite[bot] 110428419+hashicorp-copywrite[bot]@users.noreply.github.com,0
23,Fix issue when the change of seLinuxOptions.Type doesn't update the state file (#1650),0.93414485,Fix issue when in some circumstances changes of seLinuxOptions.Type doesn't reflect in the state file (#1650),,1
24,v1.3.0,0.6436491,"2.6.0 (October 19, 2021)",Bumps golang.org/x/net from 0.4.0 to 0.7.0. - Release notes - Commits  updated-dependencies: - dependency-name: golang.org/x/net   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
25,tests: Ignore internal k8s annotations+labels,0.66600066,Fix annotation diffs on affinity tests (#993),"  Fix logic to only cut internal keys from objects, not templates   Add changelog-entry   removed unnecessary prefix check   Add logic for annotations to be ignored in object and not in templates/jobTemplates   Add annotation check in config_basic test   fix test fortmat ",0
26,Add immutable to configmaps (#1849),0.6329803,new attribute: Add immutable attribute to resource_config_map [GH-1849],  Add missing doc info   Add label_selector example with output block ,0
27,Re-vendor after go mod tidy (#337),0.48916566,Update all go modules (#1240),  Remove unnecessary Computed Bool   Add changelog-entry ,0
28,vendor: google.golang.org/api/cloudresourcemanager/v2beta1@6d17a978,0.5337348,  - kubernetes_api_service_v1,,0
29,Merge pull request #15019 from hashicorp/f-k8s-pvc-unbound-reason,0.5560897,resource/kubernetes_persistent_volume_claim_v1: Fix an issue when the delete operation may not be idempotent. [GH-1999],,0
30,kubernetes: Make generatable name optional in metadataSchema,0.67589426,  - kubernetes_namespace,,0
31,Test infra GKE: auto-detect available cluster versions (#370),0.61782765,* Skip tests for CSIDriver if cluster version is less than 1.16,,0
32,Enable links check and fix 2 links (#1259),1.0,Enable links check and fix 2 links (#1259),,1
33,Pod security policies (#861),0.8529027,* Add resource for Pod Security Policies (#861),,1
34,"Add data source kubernetes_nodes, resource kubernetes_node_taint (#1921)",0.85861456,New resource: resource/kubernetes_node_taint. [GH-1921],,1
35,Merge pull request #448 from shcallaway/tolerations,0.51793456,resource/kubernetes_persistent_volume_claim_v1: Fix an issue when the delete operation may not be idempotent. [GH-1999],,0
36,Bump the Terraform SDK v0.12.0,0.82751226,* Update Terraform SDK to v2 (#1027) ,,1
37,Improve readme and associated documentation (#857),0.65605295,Documentation fixes, Update FAQ.md  Add Sheneska to FAQ.md  Update FAQ.md,0
38,Changes per code review,0.5301428,IMPROVEMENTS:, Add 'timezone' to 'kubernetes_cron_job_v1'   Co-authored-by: Aleksandr Rybolovlev sacha.rybolovlev@hashicorp.com,0
39,Fix api_group requirement in cluster_role_binding and role_binding (#1024),0.99999994,Fix api_group requirement in cluster_role_binding and role_binding (#1024),,1
40,Update module gogo/protobuf to v1.3.0 (#628),0.81811404,Update all go modules (#1240),,1
41,Merge pull request #516 from kvendingoldo/master,0.50268227,Update Pull Request Lifecycle docs (#1032),,0
42,Implement env_from reverse mapping,0.44787118,* Support 'optional' on env valueFrom for secret key/configmap key (#824),Co-authored-by: John Houston jhouston@hashicorp.com,0
43,Merge pull request #129 from terraform-providers/vendor-aws-provider,0.49677396,Update terraform-plugin-go and terraform-plugin-sdk (#1551), Add new data source kubernetes_nodes Add new resource kubernetes_node_taint   Co-authored-by: Alex Somesan alex.somesan@gmail.com,0
44,Update changelog files (#1995),0.7436673,Generating changelog for release-v2.19.0 from v2.18.1...,,1
45,Merge pull request #6 from e-max/fix_gcp_auth_provider_error,0.5483517,* Add specific error message when failing to load provider config (#780),,0
46,Merge pull request #504 from terraform-providers/renovate/github.com-hashicorp-terraform-0.x,0.6597655,Update terraform-plugin-go and terraform-plugin-sdk (#1551),  fix src   add tests   Co-authored-by: Mauricio Alvarez Leon 65101411+BBBmau@users.noreply.github.com,0
47,Cleanup after v1.6.2 release,0.5530263,"2.6.0 (October 19, 2021)",,0
