Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
1,Bump version to: 7.13.0 [skip ci],0.7054193,Bump version to: 0.0.12 #3 (@kylesuss),,1
2,Merge pull request #382 from storybookjs/add-os-icons,0.63267493,fix: icon story accessibility #28 (@jsomsanith),,0
3,Merge pull request #279 from storybookjs/redraw-menu,0.5524776,Redraw menu #279 (@domyen),Adds countColor prop to Cardinal,0
4,Merge pull request #195 from storybookjs/codesnippet-refinement,0.5909476,Update org name to storybookjs from storybooks #4 (@kylesuss),,0
5,Allow classname in TOC component,0.854799,Allow classname in TOC component #182 (@kylesuss),,1
6,convert badge,0.5842776,Update Badge with more states  (@domyen),,0
7,Bump version to: 7.3.5 [skip ci],0.7044624,Bump version to: 0.0.12 #3 (@kylesuss),Upgrade Storybook and Emotion dependencies,1
8,Merge pull request #364 from storybookjs/update/all-icons,0.6090885,fix: icon story accessibility #28 (@jsomsanith),,0
9,Improve stories so they look nicer in SB Docs,0.88922447,Improve stories so they look nicer in SB Docs #75 (@domyen),,1
10,Args for stories,0.46958545,Use latest Storybook 7 RC (@ghengeveld),,0
11,Merge pull request #20 from storybookjs/jsomsanith/fix/input_a11y_invalid_attribute,0.7187462,fix: invalid input with aria-invalid attribute #20 (@jsomsanith),,1
12,Fix 2 stories,0.5805874,🐛  Bug Fix,,0
13,Merge pull request #291 from storybookjs/tooltip-portal-container,0.5770124,Support external portalContainer in WithTooltip #291 (@kylesuss),,0
14,Merge pull request #234 from storybookjs/fix-toc-types,0.5524354,Update org name to storybookjs from storybooks #4 (@kylesuss),ButtonAction updates,0
15,Merge pull request #162 from oliviertassinari/remove-keycode,0.6888677,"Remove keycode, reduce bundle size #162 (@oliviertassinari)",,0
16,Bump version to: 7.1.0 [skip ci],0.7016355,Bump version to: 0.0.12 #3 (@kylesuss),,1
17,Load languages after setting global Prism. (#124),0.9309949,Load languages after setting global Prism. #124 (@ghengeveld),,1
18,Bump version to: 0.0.12,0.8705205,Bump version to: 0.0.12 #3 (@kylesuss),,1
19,Rename subLabel to description,0.48870942,Refactor tooltip ListItem for flexibility in to/href prop names #42 (@kylesuss),,0
20,Update trash icon,0.7995452,Update trash icon #370 (@MichaelArestad),,1
21,Merge pull request #98 from storybookjs/tech/upgrades,0.5734888,Update org name to storybookjs from storybooks #4 (@kylesuss),,0
22,Support external portalContainer in WithTooltip,0.9080032,Support external portalContainer in WithTooltip #291 (@kylesuss),,1
23,fix: Remove button jiggle,0.83667576,fix: Remove button jiggle #247 (@alii),,1
24,Fix spacing under ItemLink last item,0.53885084,Make tag items shorter (32px) #235 (@winkerVSbecks),,0
25,Bump version to: 7.3.7 [skip ci],0.6810266,Bump version to: 0.0.12 #3 (@kylesuss),,0
26,Memoize LinkWrapper in tooltip/ListItem for perf,0.91146433,Memoize LinkWrapper in tooltip/ListItem for perf #48 (@kylesuss),,1
27,Merge pull request #85 from storybookjs/fix-tooltip-hover,0.58520913,feat(WithTooltip): support Storybook 7 root element #394 (@yannbf),,0
28,Add delayHide prop to tooltip for better hover behavior,0.9221605,Add delayHide prop to tooltip for better hover behavior #85 (@kylesuss),,1
29,"aria-hidden on error to avoid reading it before the textarea, but is still associated to the textarea",0.6703849,Allow hiding error message on Textarea (@ghengeveld),,0
30,Merge branch 'master' of github.com:storybooks/design-system,0.9350145,Merge branch 'master' of github.com:storybookjs/design-system (@kylesuss),,1
31,Pull out TableOfContentsItems,0.56578696,Table of Contents component #180 (@kylesuss),,0
32,Merge pull request #39 from storybookjs/fix-export-spinner,0.57429,Add TagLink export #233 (@winkerVSbecks),,0
33,Upgrade version to 5.1.5,0.8336452,Upgrade version to 5.1.7  (@kylesuss),,1
34,fix: Spinner accessibility (#55),0.8908411,fix: Spinner accessibility #55 (@jsomsanith),,1
35,fix error state and update code styling from Chromatic,0.6118311,Update colors in the design system to match SB 7.0 #401 (@MichaelArestad),,0
36,Bump auto from 7.11.0 to 7.12.0,0.6750899,[Security] Bump handlebars from 4.4.3 to 4.7.6 #167 (@dependabot-preview[bot]),,0
37,Added TagItem and TagList components,0.82306397,TagItem and TagList components #212 (@winkerVSbecks),,1
38,Bump version to: 5.1.24 [skip ci],0.7543687,Bump version to: 0.0.12 #3 (@kylesuss),,1
39,Merge pull request #14 from storybookjs/jsomsanith/fix/avatar_list_a11y,0.65527356,Fix Loading AvatarList Not Showing in Stories #214 (@ahmadatallah @kylesuss),,0
40,Bump version to: 5.1.27 [skip ci],0.7459804,Bump version to: 0.0.12 #3 (@kylesuss),,1
41,Merge pull request #310 from storybookjs/amber/ch-738-pull-addonsheading-from-frontpage-into,0.5865731,Pulled in AddonItem component from frontpage #320 (@smithambera),,0
42,Merge pull request #18 from storybookjs/jsomsanith/fix/input_a11y,0.63479424,fix: input accessibility #18 (@jsomsanith),,0
43,Add intro 'docs-only' story WIP,0.5588797,Storybook 5.2.0-alpha.13 && build-docs on publish  (@michael@lab80.co),,0
44,type the size prop for Cardinal.defaultProps,0.8692863,type the size prop for Cardinal.defaultProps #395 (@winkerVSbecks),,1
45,Fix LinkWrapper proptypes so it can accept an object,0.66114354,Apply link styles to LinkWrapper #6 (@kylesuss),,0
46,Merge pull request #283 from storybookjs/tooltip-z-index,0.5642856,Support z index for WithTooltip & Tooltip #283 (@kylesuss),,0
47,Fix stories that set placeholder incorrectly,0.4329281,"Revert ""Ignore stories in compiled output."" #68 (@domyen)",,0
48,Associate subtext,0.43186763,Pull AddonsSubheading from frontpage into the DS #311 (@smithambera),,0
49,Slightly less hacky - using margin instead of a nonbreaking space,0.5717603,Tighter spacing for top level flat list #238 (@winkerVSbecks),Upgrade to Storybook 7,0
50,pulled in verified badge,0.53766865,Update Badge with more states  (@domyen),,0
51,Bump version to: 6.0.0 [skip ci],0.7545345,Bump version to: 0.0.12 #3 (@kylesuss),,1
52,Merge pull request #178 from storybookjs/refactor-link-button,0.6253402,fix: link stories accessibility #34 (@jsomsanith @domyen),,0
53,Merge pull request #379 from storybookjs/tabs-padding,0.56723976,adjust link tabs padding #379 (@winkerVSbecks),,0
54,Add missing semicolon to Select styles,0.5757229,Add typography styles and a couple of missing colors to shared styles #362 (@winkerVSbecks),,0
55,Update version to 5.1.1,0.832042,Upgrade version to 5.1.7  (@kylesuss),,1
