Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Class
1,generate website,0.5871459,Introduce executing Trigger URL configurations via HTTP. Users can,Remove CircleCI,0
2,Merge pull request #4497 from hashicorp/b-target-group-destroyment,0.5927017,plugin/aws-alb: Fix issue destroying when Target Group still in use [GH-1648],Revert output path for bin make target,0
3,update package.json and README for ui dev set up,0.5631971,config: jsonnetfile and jsonnetdir functions for processing Jsonnet files,,0
4,website: architecture,0.5253389,"Workspace and Label-scoped Configuration: Build, registry, deploy, and",api: fix gateway UI paths,0
5,"ui: fix query param behavior, redirect to default",0.46101916,ui: fixed issue with focus jumping back to the skip link on automatic refresh [GH-3019],,0
6,Update registry plugin to include info about remote runners,0.7140341,Allow runner profiles to target specific remote runners. [GH-2862],,1
7,Null plugin,0.61926645,plugin/nomad: destroy works [GH-571],"  Adding workflow .github/actions/md5uilib/action.yml .github/actions/notify_main_failure/action.yml .github/workflows/frontend.yml .github/workflows/go-tests.yml .github/workflows/integration-hcl.yml .github/workflows/integration.yml .github/workflows/json-docs.yml .github/workflows/website-mdx.yml   SHA-pin all 3rd-party actions   Restrict workflow permissions   Add actionslint   Add dependabot   Replace deprecated references   Correct dependabot integration   Our automated tooling replaced the existing config instead of adding to it. This re-adds it and while we are here, enables gomod updates.   Update actionlint limit to workflow changes   Migrate frontend workflow to GHA   Signed-off-by: Scott Macfarlane smacfarlane@hashicorp.com  Migrate go-tests workflow to GHA  Signed-off-by: Scott Macfarlane smacfarlane@hashicorp.com   add a group to the start of the ci integration script   Remove slack notifications   Use actions-slack-status to send PR failure   build.yml: Remove spurious warnings by not trying to upload   Spike on e2e tests   Signed-off-by: Scott Macfarlane smacfarlane@hashicorp.com   Remove e2e from integration.yml   Remove duplicate lint jobs   Delete oss metadata handling    Signed-off-by: Scott Macfarlane smacfarlane@hashicorp.com Co-authored-by: Daniel Kimsey daniel.kimsey@hashicorp.com Co-authored-by: Scott Macfarlane smacfarlane@hashicorp.com",0
8,Updating release/deployment URL to waypoint.run,0.6004932,Use server upgrade to upgrade the Waypoint server for the,wait for events to roll in,0
9,resolve merge conflict,0.3647697,DEPRECATIONS:,,0
10,docs: Scoped config sources.,0.55718386,"Application config syncing with Kubernetes (ConfigMaps), Vault, Consul, and AWS SSM;",-nomad-service-address  populates group{service{address=}}  for each of the waypoint-server services  https://developer.hashicorp.com/nomad/docs/job-specification/service#address -nomad-network-mode  populates group{network{mode=}}  https://developer.hashicorp.com/nomad/docs/job-specification/network#network-modes  and fills in task{config{network_mode=}}  as appropriate,0
