Index,Message,Description,Message Abstract,Description Abstract
1,Merge pull request #4647 from hashicorp/add_getLatestDeployment,Add get latest deployment,Merge pull request #4647 from hashicorp/add_getLatestDeployment,Add get latest deployment
2,Merge pull request #4806 from hashicorp/config-sourcer-tests,More config sourcer state tests,Merge pull request #4806 from hashicorp/config-sourcer-tests,More config sourcer state tests
3,Merge pull request #4804 from hashicorp/b-install-nomad-network,install/nomad: Add host network config option.,Merge pull request #4804 from hashicorp/b-install-nomad-network,install/nomad: Add host network config option.
4,PR comments,,PR comments,
5,test: Add config sourcer state tests.,,test: Add config sourcer state tests.,
6,add GetLatestDeployment,,add GetLatestDeployment,
7,install/nomad: Add host network config option,"This enables users to configure the networking of the Waypoint server Nomad job to use a host network other than one named ""default"", for the gRPC and HTTP (UI) server ports.",install/nomad: Add host network config option,"This enables users to configure the networking of the Waypoint server Nomad job to use a host network other than one named ""default"", for the gRPC and HTTP (UI) server ports."
8,Merge pull request #4666 from hashicorp/dependabot/go_modules/google.golang.org/grpc/cmd/protoc-gen-go-grpc-1.3.0,chore(deps): bump google.golang.org/grpc/cmd/protoc-gen-go-grpc from 1.2.0 to 1.3.0,Merge pull request #4666 from hashicorp/dependabot/go_modules/google.golang.org/grpc/cmd/protoc-gen-go-grpc-1.3.0,chore(deps): bump google.golang.org/grpc/cmd/protoc-gen-go-grpc from 1.2.0 to 1.3.0
9,chore(deps): bump google.golang.org/grpc/cmd/protoc-gen-go-grpc,Bumps google.golang.org/grpc/cmd/protoc-gen-go-grpc from 1.2.0 to 1.3.0. - Release notes - Commits  updated-dependencies: - dependency-name: google.golang.org/grpc/cmd/protoc-gen-go-grpc   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com,chore(deps): bump google.golang.org/grpc/cmd/protoc-gen-go-grpc,Bumps google.golang.org/grpc/cmd/protoc-gen-go-grpc from 1.2.0 to 1.3.0. - Release notes - Commits updated-dependencies: - dependency-name: google.golang.org/grpc/cmd/protoc-gen-go-grpc   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com
10,Merge pull request #4772 from hashicorp/dependabot/github_actions/actions/labeler-4.1.0,chore(deps): bump actions/labeler from 4.0.4 to 4.1.0,Merge pull request #4772 from hashicorp/dependabot/github_actions/actions/labeler-4.1.0,chore(deps): bump actions/labeler from 4.0.4 to 4.1.0
11,Merge pull request #4791 from hashicorp/dependabot/github_actions/docker/login-action-2.2.0,chore(deps): bump docker/login-action from 2.1.0 to 2.2.0,Merge pull request #4791 from hashicorp/dependabot/github_actions/docker/login-action-2.2.0,chore(deps): bump docker/login-action from 2.1.0 to 2.2.0
12,Merge pull request #4795 from hashicorp/dependabot/github_actions/actions/checkout-3.5.3,build(deps): bump actions/checkout from 3.5.2 to 3.5.3,Merge pull request #4795 from hashicorp/dependabot/github_actions/actions/checkout-3.5.3,build(deps): bump actions/checkout from 3.5.2 to 3.5.3
13,Merge pull request #4802 from hashicorp/compliance/add-headers,[COMPLIANCE] Add Copyright and License Headers,Merge pull request #4802 from hashicorp/compliance/add-headers,[COMPLIANCE] Add Copyright and License Headers
14,[COMPLIANCE] Add Copyright and License Headers,,[COMPLIANCE] Add Copyright and License Headers,
15,Merge pull request #4798 from hashicorp/b-nomad-runner-install-resource-cli-flags,Nomad runner install CPU and memory flags,Merge pull request #4798 from hashicorp/b-nomad-runner-install-resource-cli-flags,Nomad runner install CPU and memory flags
16,Add sorting to serverstate.PipelineRunList (#4797),  Add sorting to serverstate.PipelineRunList   Prefer empty sorting request to nil   Co-authored-by: Brian Cain bcain@hashicorp.com,Add sorting to serverstate.PipelineRunList (#4797),Add sorting to serverstate.PipelineRunList Prefer empty sorting request to nil Co-authored-by: Brian Cain bcain@hashicorp.com
17,Merge pull request #4792 from hashicorp/b-ecs-runner-uninstall-file-system,AWS ECS Runner Uninstall Fix,Merge pull request #4792 from hashicorp/b-ecs-runner-uninstall-file-system,AWS ECS Runner Uninstall Fix
18,cli: Add flags for Nomad runner install CPU and memory.,,cli: Add flags for Nomad runner install CPU and memory.,
19,"fix: Return err on DescribeMountTargets failure, during ECS runner uninstall.",,"fix: Return err on DescribeMountTargets failure, during ECS runner uninstall.",
20,build(deps): bump actions/checkout from 3.5.2 to 3.5.3,Bumps actions/checkout from 3.5.2 to 3.5.3. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: actions/checkout   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com,build(deps): bump actions/checkout from 3.5.2 to 3.5.3,Bumps actions/checkout from 3.5.2 to 3.5.3. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: actions/checkout   dependency-type: direct:production   update-type: version-update:semver-patch ... Signed-off-by: dependabot[bot] support@github.com
21,Merge pull request #4733 from hashicorp/f-project-template-cli,core/cli: Add project template crud commands to cli,Merge pull request #4733 from hashicorp/f-project-template-cli,core/cli: Add project template crud commands to cli
22,imp: Use pagination func for searching EFS file systems.,Simplify runner uninstall func for ECS by removing an if. Add the copyright headers back in.,imp: Use pagination func for searching EFS file systems.,Simplify runner uninstall func for ECS by removing an if. Add the copyright headers back in.
23,fix: Delete the file system associated with a runner.,"The runner uninstall for AWS will now loop correctly through all file systems' paginated results using a marker. Some other updates are made in this commit to skip deleting the file system if certain conditions are met (if there are no file systems that exist, or none with the right tag). Step groups were also updated.",fix: Delete the file system associated with a runner.,"The runner uninstall for AWS will now loop correctly through all file systems' paginated results using a marker. Some other updates are made in this commit to skip deleting the file system if certain conditions are met (if there are no file systems that exist, or none with the right tag). Step groups were also updated."
24,Merge pull request #4762 from hashicorp/WAYP-1416,Return pipeline run bundle from UI_GetPipelineRun,Merge pull request #4762 from hashicorp/WAYP-1416,Return pipeline run bundle from UI_GetPipelineRun
25,chore(deps): bump docker/login-action from 2.1.0 to 2.2.0,Bumps docker/login-action from 2.1.0 to 2.2.0. - Release notes - Commits  updated-dependencies: - dependency-name: docker/login-action   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com,chore(deps): bump docker/login-action from 2.1.0 to 2.2.0,Bumps docker/login-action from 2.1.0 to 2.2.0. - Release notes - Commits updated-dependencies: - dependency-name: docker/login-action   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com
26,Return pipeline run bundle from UI_GetPipelineRun,This was an oversight on my part. We need the extra info for the UI,Return pipeline run bundle from UI_GetPipelineRun,This was an oversight on my part. We need the extra info for the UI
27,Merge pull request #4790 from hashicorp/go-fmt-installutil-helm,go fmt ./internal/installutil/helm/helm.go,Merge pull request #4790 from hashicorp/go-fmt-installutil-helm,go fmt ./internal/installutil/helm/helm.go
28,go fmt ./internal/installutil/helm/helm.go,,go fmt ./internal/installutil/helm/helm.go,
29,parse args properly in update,,parse args properly in update,
30,Merge pull request #4764 from hashicorp/wayp1165-1163-auth-validation,Validate CEB token context DeploymentID,Merge pull request #4764 from hashicorp/wayp1165-1163-auth-validation,Validate CEB token context DeploymentID
31,Merge pull request #4786 from hashicorp/fix-helm-plugin-typos,Fix #4737,Merge pull request #4786 from hashicorp/fix-helm-plugin-typos,Fix #4737
32,change update to debug log,,change update to debug log,
33,fix if statement typo,,fix if statement typo,
34,change log to update,,change log to update,
35,fix formatting,,fix formatting,
36,Fix name consistency with template update,,Fix name consistency with template update,
37,Check for not found error on template inspect,,Check for not found error on template inspect,
38,Catch template not found errors,Co-authored-by: Clint catsby@users.noreply.github.com,Catch template not found errors,Co-authored-by: Clint catsby@users.noreply.github.com
39,consistent output from PR feedback,Co-authored-by: Clint catsby@users.noreply.github.com,consistent output from PR feedback,Co-authored-by: Clint catsby@users.noreply.github.com
40,Allow templates to be updated by id,,Allow templates to be updated by id,
41,Remove redundant name flags,,Remove redundant name flags,
42,Add more legible error cases for tfcnocodemodule flags,,Add more legible error cases for tfcnocodemodule flags,
43,Add consistent file error handling,,Add consistent file error handling,
44,Merge pull request #4737 from kmcgovern-apixio/helm-ns-fixup,plugin/helm: use proper namespaces,Merge pull request #4737 from kmcgovern-apixio/helm-ns-fixup,plugin/helm: use proper namespaces
45,Merge pull request #4777 from hashicorp/docs-fix,ECS plugin doc fix,Merge pull request #4777 from hashicorp/docs-fix,ECS plugin doc fix
46,website: ECS plugin doc fix.,,website: ECS plugin doc fix.,
47,Merge pull request #4729 from codeconfab/ecs-optional-lb-arn,Make ecs platform alb.load_balancer_arn optional,Merge pull request #4729 from codeconfab/ecs-optional-lb-arn,Make ecs platform alb.load_balancer_arn optional
48,Merge pull request #4774 from hashicorp/config-sourcer-state-tests,Fix workspace-scoped global config source get requests,Merge pull request #4774 from hashicorp/config-sourcer-state-tests,Fix workspace-scoped global config source get requests
49,test: Add workspace scope config source test for project scope.,,test: Add workspace scope config source test for project scope.,
50,fix: Filter global config sources based on workspace scope.,"Prior to this commit, global config source get requests were receiving all config sources at the global scope, even if a workspace was specified. The state function was skipping over the filtering out of config sources which were not for the specified workspace. This commit fixes that, and now global config source requests will filter out config sources which are not in the specified workspace.",fix: Filter global config sources based on workspace scope.,"Prior to this commit, global config source get requests were receiving all config sources at the global scope, even if a workspace was specified. The state function was skipping over the filtering out of config sources which were not for the specified workspace. This commit fixes that, and now global config source requests will filter out config sources which are not in the specified workspace."
51,Merge pull request #4770 from hashicorp/i-config-workspace-scope-flag,Remove -workspace-scope flag on config set and config delete,Merge pull request #4770 from hashicorp/i-config-workspace-scope-flag,Remove -workspace-scope flag on config set and config delete
52,docs: Fix ecs plugin docs.,,docs: Fix ecs plugin docs.,
53,chore(deps): bump actions/labeler from 4.0.4 to 4.1.0,Bumps actions/labeler from 4.0.4 to 4.1.0. - Release notes - Commits  updated-dependencies: - dependency-name: actions/labeler   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com,chore(deps): bump actions/labeler from 4.0.4 to 4.1.0,Bumps actions/labeler from 4.0.4 to 4.1.0. - Release notes - Commits updated-dependencies: - dependency-name: actions/labeler   dependency-type: direct:production   update-type: version-update:semver-minor ... Signed-off-by: dependabot[bot] support@github.com
54,test: Scoped config source state test.,,test: Scoped config source state test.,
55,"cli: Use -w flag for workspace scoping on config set and config delete, instead of workspace-scope.",,"cli: Use -w flag for workspace scoping on config set and config delete, instead of workspace-scope.",
56,Merge pull request #4767 from hashicorp/b-ecs-health-check-defaults,Set reasonable defaults for ECS plugin health check timeout,Merge pull request #4767 from hashicorp/b-ecs-health-check-defaults,Set reasonable defaults for ECS plugin health check timeout
57,plugin/ecs: Error if the health check interval < timeout.,,plugin/ecs: Error if the health check interval < timeout.,
58,plugin/ecs: Set reasonable defaults for ECS health check timeout.,"Prior to this commit, depending on the type of health check configured, the default timeout could have been set to be longer than the default interval, which is not a valid setting in AWS. This commit sets the default timeout to be lower than the interval.",plugin/ecs: Set reasonable defaults for ECS health check timeout.,"Prior to this commit, depending on the type of health check configured, the default timeout could have been set to be longer than the default interval, which is not a valid setting in AWS. This commit sets the default timeout to be lower than the interval."
59,Merge pull request #4763 from hashicorp/2589-azure-auth,Azure Plugin auth fix,Merge pull request #4763 from hashicorp/2589-azure-auth,Azure Plugin auth fix
60,"plugin/azure-aci: Don't error on environment auth failure, attempt CLI auth before error.",,"plugin/azure-aci: Don't error on environment auth failure, attempt CLI auth before error.",
61,writer close error handling undo,,writer close error handling undo,
62,changelog,,changelog,
63,rm tests,,rm tests,
64,add test,,add test,
65,move ceb token id check,,move ceb token id check,
66,catch nil entrypoint,,catch nil entrypoint,
67,rm todo,,rm todo,
68,validate ceb deployment ID,,validate ceb deployment ID,
69,catch close err,,catch close err,
70,changelog,,changelog,
71,rm tests,,rm tests,
72,Remove redundant else clause,Co-authored-by: Clint catsby@users.noreply.github.com,Remove redundant else clause,Co-authored-by: Clint catsby@users.noreply.github.com
73,add test,,add test,
74,move ceb token id check,,move ceb token id check,
75,catch nil entrypoint,,catch nil entrypoint,
76,rm todo,,rm todo,
77,validate ceb deployment ID,,validate ceb deployment ID,
78,catch close err,,catch close err,
79,Merge pull request #4761 from hashicorp/WAYP-1522,api: fix duplicate gateway.yml paths,Merge pull request #4761 from hashicorp/WAYP-1522,api: fix duplicate gateway.yml paths
