Index,Message,Description
1,Client tls policy (#7807) (#14443),"  Configuration for traffic director Mesh resource.   Add more tests for Mesh resource   Use new provider for test   Configuration for service binding.   Add hand written test for service binding.   Revert ""Add hand written test for service binding.""   This reverts commit 367449af370e7e09509cba20d24ed2c152251072.   Update service binding yaml.   reduce timeouts.   Update mmv1/products/networkservices/ServiceBinding.yaml   Service binding update test.   Fix compile error.   Mark the Service Binding resource immutable.   Add configuration for client tls policy.   Remove extra files.   Add more tests.   Address PR comments.   Revert ""Remove extra files.""   This reverts commit bf65cf3e37fc94f0d1bad1bfb00768b846420522.   Address comments.   Address comments.    Signed-off-by: Modular Magician magic-modules@google.com Co-authored-by: Madhura Phadnis madhurap@google.com Co-authored-by: Sam Levenick slevenick@google.com"
2,user guides for project creation (#7715) (#14441),Signed-off-by: Modular Magician magic-modules@google.com Co-authored-by: Riley Karson rileykarson@google.com
3,Update launchStage field description in cloud run v2 resources (#7832) (#14438),  remove beta   description change   more files   Signed-off-by: Modular Magician magic-modules@google.com
4,update email in the vm doc (#7839) (#14437),Signed-off-by: Modular Magician magic-modules@google.com Co-authored-by: Edward Sun sunedward@google.com
5,Added support for Postgres in google_sql_source_representation_instance (#7840) (#14436),  Updated validation for DatabaseVersion field of Source Representation Instance   Added tests for creating source representation instance with postgres   Signed-off-by: Modular Magician magic-modules@google.com
6,Added missing fields in the google_data_loss_prevention_deidentify_template resource (#7816) (#14434),  added missing attributes to deIdentify template   minor updates   minor change to newline   spacing changed   item_type added and version description changed   minor changes   tests and example modified   removed replaceWithInfoTypeConfig from yaml and test   minor changes   exactlyOneOf removed and required added to infotypes   Signed-off-by: Modular Magician magic-modules@google.com
7,Added missing fields in the google_data_loss_prevention_inspect_template resource (#7814) (#14433),  Added missing fields in the google_data_loss_prevention_inspect_template resource   Added newline at the end of example file   removed create_time and update_time output-only fields   Signed-off-by: Modular Magician magic-modules@google.com
8,Updated changelog for 4.63.1,
9,Update certificate manager certificate to deal with locations (#7825) (#14432),Signed-off-by: Modular Magician magic-modules@google.com
10,Added support for Persistent Disk Asynchronous Replication (part 1) (#7635) (#14431),Signed-off-by: Modular Magician magic-modules@google.com
11,fix: check if Bigtable cluster zones are affected by partial unavailability (#7834) (#14430),  fix: check if Bigtable cluster zones are affected by zone unavailability   refactor: getUnavailableClusterZones   Signed-off-by: Modular Magician magic-modules@google.com
12,Added support for CMEK in alloydb cluster and automated backup (#7781) (#14426),"  Added validation for ""type"" in cloud_sql_user_resource for preventing user from setting ""password"" or ""host"" for CLOUD_IAM_USER and CLOUD_IAM_SERVICE_ACCOUNT user types.   Removed validation and added documentation to prevent setting of host or password field for CLOUD_IAM_USER and CLOUD_IAM_SERVICE_ACCOUNT   Added support for CMEK in alloydb cluster and automated backup.   Signed-off-by: Modular Magician magic-modules@google.com"
