Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
1,Merge pull request #21 from jekyll/reuse,0.577759,Use existing instance of Jekyll::Configuration #539,,0
2,delete props,0.54418707,Remove file contents from all indexes (#138),,0
3,renaming stuff,0.50890195,Rename normalize.css to normalize.scss,,0
4,fix undefined collection,0.56507444,Deprecated collections/collection/documents/endpoint (#214),,0
5,Merge pull request #411 from jekyll/release,0.5840333,Use existing instance of Jekyll::Configuration #539,,0
6,show title instead of filename,0.6652106,Autogenerate filenames from title if not given #224 ,Artifact gets deleted after 15 days,0
7,release 0.7.0,0.6095543,Initial pre-release version.,Artifact gets deleted after 15 days,0
8,add comments for initialize method,0.49000445,Add support for editing drafts via admin interface #367  ,To allow using newer versions of Sinatra libraries. Additionally add gem rack-test as development dependency.,0
9,Merge pull request #109 from jekyll/fix-data-files-again,0.6101867,Load static files directly from Jekyll server (#147),Bump Ruby version Switch Node version after installing Ruby deps Install 64Bit NodeJS,0
10,add development and API docs,0.6439142,API,Set up Continuous Integration via GH Actions Disable closing of opened pipes on GitHub Actions Delete TravisCI configuration,0
11,clean up monkey patching,0.5662503,Monkeypatch start_up_webrick instead of process #228,Bump versions Add release to package.json scripts,0
12,adapt actions to api,0.64129466,API,Add option to change homepage Fix typo Add other routes for homepage as well,0
13,Merge pull request #267 from ashmaroli/brace-theme,0.5284576,Refactor MetaButtons #549,,0
14,update comment,0.5539947,Support for posts in the future (#117),,0
15,update styles,0.75801206,A few style fixes,,1
16,Add StaticMetaFields component (#548),0.8873464,Add StaticMetaFields component to render default front matter #548,Bumps elliptic from 6.5.2 to 6.5.3. - Release notes - Commits Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,1
17,fix deleting page from state,0.5558229,Filter away virtual pages that output to HTML file #520,,0
18,Add default branch for case statement,0.51605064,Build only commits to default branch #395 ,,0
19,redirect after creation,0.6670493,Redirect when the filename changes (#198),"This allows a user to see the default fields for a new or existing document, choose to ""override"" the defaults, and revert back to the default at any time.",0
20,remove duplicative 404,0.47901157,Remove unused action #559,Bump versions Update snapshots,0
21,Merge pull request #192 from ashmaroli/win-package,0.51881284,Use fetch wrapper for DELETE requests to dispatch #578,,0
22,add admin prefix to webpack publicPath,0.5834567,Import site metadata into admin interface #543,"Since directories do not have extname, when switched to index listing, FilePreview was throwing an error saying file.extname is undefined. Fixed it by checking file type before accessing extname.",0
23,trim trailing and leading whitespace from metafield keys,0.7961695,Preserve front matter types and trim extra whitespaces from keys and values in metafields  #378 ,,1
24,up snapshot,0.5890109,Add snapshot tests #424,,0
25,fix script/bootstrap,0.49960643,Monkeypatch start_up_webrick instead of process #228,,0
26,Use single quotes in JS files (#375),0.45583904,Enforce unix-style line-endings for *.js files #571,,0
27,Merge pull request #286 from ashmaroli/docs-patch,0.5454076,Import site metadata into admin interface #543,,0
28,Merge in master,0.31614655,Add Accordion component #532,Add react-scripts & adjust scripts accordingly Remove config files already handled by react-scripts Update public resources Fix build script Rename fileMocks.js as setupTests.js which is a name react-scripts looks for Fix font awesome paths Fix tests Start api Add script for bundle analyzer Use env file Set CI to false Revert setting CI to false Fix eslint warnings Fix bundlesize build paths Increase maxSize for css.map files Use relative_path for alt Use config overrides Add public_url Remove node-sass from dependencies Fix array-callback-return warning Move build folder rather than changing its path Remove old build folder Disable bundle analyzer Fix header snapshots Add test:CI script Update yarn.lock Update react-scripts Clean build folder before build,0
29,get extension from file instead of API,0.4737298,API,,0
30,Merge pull request #358 from jekyll/replace-slug,0.5506382,Use existing instance of Jekyll::Configuration #539,"For collections, drafts and pages, return HTTP 404 if a resource being created or renamed into will overwrite an existing item. Additionally, log a warning in the terminal as to why the front-end dispatched an error-notification. Co-authored-by: Ashwin Maroli ashmaroli@users.noreply.github.com",0
31,Merge branch 'master' into html-only,0.44161922,- Support editing data files in sub-directories #349,,0
32,update static file API to expect base64 encoded files,0.5639627,Add directory support for static files #408,"Jekyll already computes front matter defaults by comparing against path and type for a given resource. However, the front-end port is still necessary for ""(**/)new"" routes, as the resource-path is undefined by default.",0
33,Clean up implementation of ducks (#572),1.0000002,Clean up implementation of ducks (#572) ,,1
34,Merge branch 'master' into fix-put,0.46526134,- Support editing data files in sub-directories #349,,0
35,run rubocop before npm,0.5731041,Remove redundant RuboCop configuration,create and delete tags create new tags by pressing comma or spacebar or enter keys delete the last tag by pressing backspace key delete a tag by clicking on the x prevent creating duplicate tags render suggestions based on tags already in use in another post in the Site,0
36,Merge branch 'master' of link into data-dir-patch,0.5248319,- Support editing data files in sub-directories #349,,0
37,Merge pull request #452 from jekyll/version,0.615703,Use existing instance of Jekyll::Configuration #539,,0
38,Filter away virtual pages that output to HTML file (#520),0.9949528,Filter away virtual pages that output to HTML file #520,Utilize DropdownList component from react-widgets package to allow selecting layout for a page from a list of available layouts for the site.,1
39,better message,0.5361526,Modernize styling of notification messages #506,,0
40,update documentation,0.7014264,Remake documentation site #271 ,This allows for overriding defaults. For example: ./script/test-server --host 127.0.0.1 --port 4000 Signed-off-by: alzeih alzeih@users.noreply.github.com,1
41,Merge pull request #342 from gkal19/master,0.51529896,Bundle kramdown-parser-gfm gem when necessary,,0
42,update yarn.lock,0.61845374,Use Yarn to manage dependencies #576,"The template for children of  is the same for DraftEdit, DocumentEdit, PageEdit, and CreateMarkdownPage. So DRY those repeated logic with a new component.",0
43,Compute data file's extname just once (#511),0.9924948,Compute data file's extname just once #511,Bumps the major-version of the package. momentLocalizer is now in a separate package — react-widgets-moment CSS bundled in the package has changed selectors and attributes as well. Therefore overrides at our end has been altered to maintain existing aesthetics.,1
44,show current view title in browser tab,0.89430535,Show current page title in browser tabs #401 ,,1
45,Merge branch 'race' of link into race,0.29035556,Add Accordion component #532,"This adds a new button to the MarkdownEditor (with icon paperclip). Clicking the button triggers the staticfilepicker modal. On selecting a file the editor gets updated depending on the file extension, If an image file was selected, Markdown image tag is inserted else a Markdown link tag is inserted. Irrespective of the file-type selected, the injected Markdown includes the static-file's relative_path enclosed in a Liquid object with Jekyll's relative_url filter. For example, if static-file assets/logo.png is selected, then the inserted Markdown will be:",0
46,remove fixture gemfile,0.5942599,Fix for compiled site not being distributed with the Gem ,"To allow selecting existing categories, layouts and tags via the interface. The idea is to fetch the data related to above every time a page / draft / document is created / edited so that the Metafields component always reflects the latest status (i.e. a category added to one post will be available for the next post being edited).",0
