Index,Message,Description,Message Abstract,Description Abstract
1,Update CI status badge (#682),,Update CI status badge (#682),
2,Process site only if not in watch mode (#700),,Process site only if not in watch mode (#700),
3,Bump :gem: version,,Bump :gem: version,
4,Processes site when writing files (#629),,Processes site when writing files (#629),
5,Delete misplaced workflow config file,,Delete misplaced workflow config file,
6,Add workflow to build gem and store as artifact,Artifact gets deleted after 15 days,Add workflow to build gem and store as artifact,Artifact gets deleted after 15 days
7,Add workflow to build gem and store as artifact,Artifact gets deleted after 15 days,Add workflow to build gem and store as artifact,Artifact gets deleted after 15 days
8,Relax version constraints on Sinatra libraries (#680),To allow using newer versions of Sinatra libraries. Additionally add gem rack-test as development dependency.,Relax version constraints on Sinatra libraries (#680),To allow using newer versions of Sinatra libraries. Additionally add gem rack-test as development dependency.
9,Improve testing experience on AppVeyor (#679), Bump Ruby version Switch Node version after installing Ruby deps Install 64Bit NodeJS,Improve testing experience on AppVeyor (#679),Bump Ruby version Switch Node version after installing Ruby deps Install 64Bit NodeJS
10,Set up Continuous Integration via GH Actions (#678), Set up Continuous Integration via GH Actions Disable closing of opened pipes on GitHub Actions Delete TravisCI configuration,Set up Continuous Integration via GH Actions (#678),Set up Continuous Integration via GH Actions Disable closing of opened pipes on GitHub Actions Delete TravisCI configuration
11,Release v0.11.0 (#618),  Bump versions   Add release to package.json scripts ,Release v0.11.0 (#618),Bump versions Add release to package.json scripts
12,Add option to change homepage (#617),  Add option to change homepage   Fix typo   Add other routes for homepage as well ,Add option to change homepage (#617),Add option to change homepage Fix typo Add other routes for homepage as well
13,Fix vulnerabilities via npm audit (#612),,Fix vulnerabilities via npm audit (#612),
14,Clean up implementation of ducks (#572),,Clean up implementation of ducks (#572),
15,Bundle kramdown-parser-gfm gem when necessary,,Bundle kramdown-parser-gfm gem when necessary,
16,Bump elliptic from 6.5.2 to 6.5.3 (#604),Bumps elliptic from 6.5.2 to 6.5.3. - Release notes - Commits Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,Bump elliptic from 6.5.2 to 6.5.3 (#604),Bumps elliptic from 6.5.2 to 6.5.3. - Release notes - Commits Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
17,Reduce Ruby 2.7 deprecation warnings (#603),,Reduce Ruby 2.7 deprecation warnings (#603),
18,Release :gem: v0.10.2,,Release :gem: v0.10.2,
