Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
1,Retry automatic key rotation on failure,0.66917646,"Reconnect with a new key when WireGuard key is rotated automatically, previously the tunnel would",,0
2,Derive IntoJava for KeygenEvent,0.4167373,Start key rotation when WireGuard key is first created.,,0
3,Merge branch 'listen-for-tunnel-states-on-android',0.58484745,"Add split-tunnelling, allowing apps to be configured to be excluded from the tunnel.",,0
4,Stringify non-string values in logger,0.5127664,  markers between every character of the log message.,,0
5,Update docs for the relay selector,0.8368791,  relay list updater.,,1
6,Add prefersHeaderBarHidden to RootContainment protocol,0.53466666,Use SCNetworkReachability to help determine connectivity of host. Helps bring the app online,,0
7,Add separate tidy config for /values,0.53330225,Reorganize settings into more logical categories.,,0
8,Merge branch 'update-splittunneling-translations' into master,0.4353606,Updated translations for new strings in the app,,0
9,Listen for relay list events in JniEventListener,0.6039471,  the relay list before connecting.,,0
10,Remove error-chain from mullvad-ipc-client,0.7115066,Remove mullvad and mullvad-problem-report symlinks from /usr/local/bin on uninstall.,,1
11,Update action key,0.56281686,Copy WireGuard key when clicking on it.,,0
12,Make TunnelState parcelable,0.7221434,Add toggle for split tunneling state.,,1
13,Show warning when new version is available,0.8285099,Warn in the Settings screen if a new version is available.,,1
14,Test newline collapsing for android::StringValue,0.47129658,Updated translations for new strings in the app,,0
15,Move settings related code to it's own class,0.53472406,Add ability to change the desktop GUI language from within Settings.,"Add scroll during test to make last item of lazy list visible. This can be use for all the tests whom need to be scroll, click, pinch and etc .",0
16,Promise: add doNotPropagateCancellation(),0.4099328,Improve the confirmation dialog when submitting a bug report without an email specified.,,0
17,Remove obsolete AppVersionInfo.isOutdated field,0.5959785,Fix missing in app notification about unsupported version.,,0
18,Merge branch 'update-win32-deps',0.45297563,Fix Debian package not upgrading properly due to a bug in the post-remove script.,,0
19,Add custom endpoint handling in syncRelaySettings,0.57835907,Place Mssfix setting inside scrollable area.,,0
20,Update jnix to 0.5,0.58283746,Upgrade OpenVPN from 2.5.0 to 2.5.1.,,0
21,Don't overwrite pseudo-v3 DNS settings,0.7312528,Properly restore DNS settings on network interfaces. Fixes issue #352.,,1
22,"Revert ""Set custom dns toggle in onStart""",0.738735,Fix some issues with setting system DNS by using SetInterfaceDnsSettings when it's available (on,,1
23,Add Changelog path and mock changelog path to the gradle file,0.5355861,"Add the Mullvad CLI frontend and problem report CLI tool to the PATH, so it can be",,0
24,Merge branch 'replace-electron-log',0.4787029,Fix RPM package containing unecessary files causing conflicts with other electron-builder based,Use a Text keyboard rather than a Number keyboard in order to support IPv6 addresses.,0
25,Merge branch 'downgrade-styled-components',0.4941759,Fully uninstall the old app when performing a downgrade. This solves the problem of downgrades,,0
26,Update windows-security to 0.0.2 which ships prebuilt binaries,0.54870737,Upgrade wireguard-go to 20220703234212 (Windows: v0.5.3)., Add dimensions that can be accessed directly in compose Add text styles that can be accessed directly in compose Modify List to no longer user xml resources and hardcoded values,0
27,Change RPC logging to trace level,0.64916986,"Make the log, cache, settings and RPC address directories configurable via the following",,0
28,Add view state to history location state,0.65539145,Automatically scroll to selected country/city in locations view.,,0
29,Simplify routing code on Linux,0.831035,Improve stability on Linux by simplifying route management code.,,1
30,Merge branch 'cleanup-unused-create-account-string-in-android',0.5324876,Fix bug causing desktop app to log in if account number field was filled when removing account,,0
31,Save DNS server address on Enter key,0.6657553,Set DNS search domain when using the systemd-resolved. Makes it work on Ubuntu 18.10.,Fix the issue that the header bar in ConnectFragment shows disconnected state very briefly when coming back from switch location and settings views Move all states connected to ServiceConnectionManager to the viewModel to preserve them independently of the view lifecycle. Also merge all service connection states to a single ui state using flow combine.,0
32,Throttle retry attempts to fetch geo. IP location,0.65812016,Don't make a GeoIP lookup by default in CLI status command. Add --location flag for enabling it.,Do not replace default routes on Android,0
33,Merge branch 'fix-endpoint-update',0.4583726,Fix version update notifications not appearing.,"Keep default routes as-is on Android, just as they are kept as-is for Linux. This allows Android 11+ to recognize Mullvad as an isolated VPN, properly preventing remote-initiated traffic from other interfaces.",0
34,Use CLI instead of mullvad-setup to clear wg keys,0.62381524,Replace CLI command mullvad custom-dns with the new command mullvad dns.,,0
35,Remove check that rustc matches a given version on production builds,0.48802164,Fix check for update versions and check for support for current version.,,0
36,Promise: add some(or: Failure) extension,0.43742,"Check and adjust relay and bridge constraints when they are updated, so no incompatible",,0
37,Add ability to log in using the newly created account token,0.76744723,Add possibility to create account from the login screen.,,1
38,Merge branch 'change-custom-dns-placeholder',0.39846388,Improved compatiblitiy with newer versions of systemd-resolved.,,0
39,Stub RouteManager for Android,0.61304736,Fix route parsing bug in route monitor by ignoring loopback routes.,,0
40,Expand restored selected relay item,0.65600455,Only download a new relay list if it has been modified.,,0
41,Remove ui interaction restriction,0.55537134,  interface.,,0
42,Update to node 16.9.1,0.5652716,Update Electron from 16.0.4 to 18.0.3.,,0
43,Fix quit button in pinned mode on Windows,0.74924916,Fix desktop app not quitting properly after switching from unpinned to pinned window., New setting in advanced settings for obfuscation Add info dialog about obfuscation Send obfuscation setting to daemon Reflect udp2tcp state in the ui,1
44,Change to flex layout for ErrorView footer,0.6643312,Fix navigation resetting to main view when toggling the unpinned window setting.,,0
45,Merge branch 'backoff',0.2991296,  fragmentation.,Co-authored-by: Albin albin@mullvad.net Co-authored-by: David Lönnhager david.l@mullvad.net Co-authored-by: Odd Stranne odd@mullvad.net,0
46,Merge branch 'confirm-no-email-dialog',0.48219773,Improve the confirmation dialog when submitting a bug report without an email specified.,,0
47,Expose the locale via route props,0.59018207,  mullvad relay list locations.,,0
48,Merge branch 'add-a-dedicated-account-button-on-the-ios-94',0.5800822,"The ""Buy more credit"" button is changed to open a dedicated account login page instead of one",,0
49,Merge branch 'eliminate-error-chain-cli',0.46716547,Resolve symbolic links and junctions for excluded apps.,Can be used to clean out old cruft no longer needed,0
50,Migrate to TransitionMatch,0.61332047,Fix old settings deserialization to allow migrating settings from versions older than 2019.6.,,0
51,Document DNT phrases and terms,0.4110195,  domain.,,0
52,Add safelet extension,0.44812602,"Add obfuscation settings under ""WireGuard settings"".",,0
53,Fix error handling in installer,0.8814645,  installation errors.,,1
54,Use the observable delegate in the controller,0.4103173,Allow users to specify net_cls controller mountpoint via TALPID_NET_CLS_MOUNT_DIR. The,,0
55,"Add new documentation files, so far just some headers",0.5062665,  paths and window captions etc.,Also change the text of the button to manage account instead,0
56,Merge branch 'delay-startup-reqs',0.39335072,Fix reconnect on app resume. Don't reconnect the tunnel every time the app is opened.,,0
57,Move my and Andrei's forks over to the Mullvad organization,0.48657322,"Rename tunnel interface to ""Mullvad"".",The github CI code broke due to a code injection vulnerability being fixed in a quick-and-dirty way. The dirty solution is here cleaned up and works better than previously.,0
58,Improve error notification when in the non-blocking error state,0.6977244,Show better message when the app failed to block all connections after an error.,,0
59,Adjust SelectLocation component to support RelayLocation,0.6506301,Respect localization when sorting the relay locations list.,,0
60,Remove unnecessary PartialEq/Eq implementations,0.44520846,Remove ⌘Q shortcut.,,0
61,Move devices proxy to own module,0.5621619,Add option to filter relays by ownership in the desktop apps.,,0
62,Fix linter problems caused by @typescript-eslint/no-empty-interface,0.56142604,Fix bug that could lead to Javascript error dialog to appear upon the desktop app termination.,,0
63,Implement device concept,0.5862107,Add device management to the Android app. This simplifies knowing which device is which and adds ,,0
64,Implement talpid sender for futures sender,0.54262054,  struct sent from the daemon.,,0
65,Xcode: upgrade project with Xcode 14,0.44903767,Fix missing app window icon in Xfce.,,0
66,Implement navigation button behavior,0.5932249,Fix incorrectly positioned navigation bar title when navigating back to a scrolled down view.,,0
67,Convert Settings to use Img component,0.44854617,Fix erroneous styles in the settings view.,,0
68,Add exponential backoff with jitter,0.5199552,Add exponential backoff to relay list downloader.,,0
69,Remove auto-connect on start,0.7635154,  configures the GUI to automatically connect when it starts and so that it will only auto-connect,,1
70,Merge branch 'upgrade-udp-over-tcp-nodelay',0.5915181,  by updating udp-over-tcp to 0.2.,,0
71,Create ServiceInstance type,0.62087876,  service:,,0
72,Merge branch 'split-tunnel-win-update',0.5655577,Fix split tunneling not being correctly configured after restarting the app. ,,0
