Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Class
1,Implements faces/people management in Shotwell. Closes #3894. Many THANKS to our GSoC student Valentin Barros!,0.36549246,Redesign a large number of dialogs,Currently translated at 51.4% (400 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ka/,0
2,Fixes #2906.,0.4193881,The list of issues closed by this release can be found here.,Bumps flatpak/flatpak-github-actions from 5 to 6. - Release notes - Commits  updated-dependencies: - dependency-name: flatpak/flatpak-github-actions   dependency-type: direct:production   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
3,Various pre-release fixes.,0.55549884,The list of issues closed by this release can be found here.,Currently translated at 100.0% (47 of 47 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ja/,0
4,Change button from Gtk.stock to Gtk.Button.with_label,0.4966624,* Use Gtk.FileChooserNative throughout,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ja/,0
5,Updated French translation; added translator's name to THANKS file.,0.69377565,* Updated translations,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ru/,0
6,Fix empty Open with context submenus (#723),0.508913,Add Open In menu to the photo viewer,,0
7,Minor fixes to the init/terminate logic.,0.3640696,Fix pasting in comment box,Co-authored-by: Danielle Foré danielle@elementary.io,0
8,Changed all gettext invocations in strings with embedded numbers to ngettext calls to support proper plural form handling for non-Western languages.,0.39715692,Translation updates,Bumps bilelmoussaoui/flatpak-github-actions from 3 to 5. - Release notes - Commits  updated-dependencies: - dependency-name: bilelmoussaoui/flatpak-github-actions   dependency-type: direct:production   update-type: version-update:semver-major ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,0
9,1327 Extended Properties text selected when window opened,0.384004,Add Open In menu to the photo viewer,,0
10,Dialogs: made the Preferences dialog regain focus if the user chooses 'Edit -> Preferences' a second time (trac #3001),0.6258851,Redesign a large number of dialogs,Currently translated at 29.8% (232 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ka/,0
11,Moves copy and paste color adjustments out of main menu and into context menu,0.6271404,Move Toggle Sidebar and Toggle Photo Info actions to the main menubutton,Currently translated at 27.6% (13 of 47 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/ka/,0
12,3664 documented saved searches,0.27674705,The list of issues closed by this release can be found here.,Currently translated at 85.1% (40 of 47 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/de/,0
13,Implemented StraightenCommand.  Closes #4475.,0.50945294,The list of issues closed by this release can be found here.,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ja/,0
14,3166: Debian dependencies updated.,0.36751804,The list of issues closed by this release can be found here.,,0
15,374: Auto-import files added to library directory.,0.4355473,Avoid a crash when importing videos,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/en_GB/,0
16,"Implemented basic event rename, using a dialog.",0.58754873,Redesign a large number of dialogs,Currently translated at 97.4% (758 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/nb/,0
17,Fixed up the About dialog a little bit.  Still more work to be done on it.,0.60327584,Redesign a large number of dialogs,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/nl/,0
18,Dialogs.vala: Remove unused dialogs (#441),0.5590579,Redesign a large number of dialogs,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/nl/,0
19,Prevents the background-task progress bar from appearing if there are too few tasks pending to justify it; fixes #2512.,0.36465228,Move Toggle Sidebar and Toggle Photo Info actions to the main menubutton,,0
20,Fixes #3413.,0.41580907,The list of issues closed by this release can be found here.,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ru/,0
21,Fixes bug reported by Милош Поповић.  Assertion was incorrect; it's possible for files to be removed from DirectoryMonitor during discovery.  This catches it and marks the photo as offline.,0.4501995,"Replace all instances of ""Shotwell"" with ""Photos""",,0
22,"2528: libraw-config tries to find thread-safe version of libraw package file (.pc), which is called libraw_r.pc on Gentoo, before falling back to libraw.pc (which is what I expect other packages to use when this is widespread), then going to the manual step.",0.3436428,* Fix building against latest gexiv2,Currently translated at 48.9% (23 of 47 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/hu/,0
23,Small code tidiness issue.,0.36066365,Redesign a large number of dialogs,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ru/,0
24,Move all Pages to Views folder (#440),0.4508475,"Replace all instances of ""Shotwell"" with ""Photos""","Updated by ""Update LINGUAS file"" hook in Weblate. Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/",0
25,update copyright header,0.40767762,New actions to copy image or metadata to clipboard,"Updated by ""Update LINGUAS file"" hook in Weblate. Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/",0
26,Corrects an issue where pressing [Enter] in certain text entry dialogs did not activate the default response; fixes #5086.,0.57581127,Fix keyboard activation in tool windows,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/",0
27,Make StraightenTool Class gobject-style constructed (#684),0.43664825,Add checkerboard behind semi-transparent photos in grid view,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/",0
28,Closes #4172.,0.46360332,The list of issues closed by this release can be found here.,,0
29,Completes implementation of feature #199 (Crop aspect ratios).,0.3637435,Add checkerboard behind semi-transparent photos in grid view,,0
30,2276: Fixed to work with Vala 0.9.3.,0.4320117,* Fix building against latest gexiv2,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ja/,0
31,Three new help pages.,0.40608883,* Updated translations,Currently translated at 100.0% (49 of 49 strings) Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/pt/,0
32,Update README,0.4728375,Translation updates,Currently translated at 100.0% (778 of 778 strings) Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/ru/,0
33,2770: YouTube and PicasaWeb connectors remember user name if auth token expires.,0.34158903,Redesigned Photo Viewer icon,"Updated by ""Update LINGUAS file"" hook in Weblate. Translation: Photos/Photos Translate-URL: https://l10n.elementary.io/projects/photos/photos/",0
34,ExportDialog.vala:,0.5254971,Translation updates,"Updated by ""Update LINGUAS file"" hook in Weblate. Translation: Photos/Photos (Extra) Translate-URL: https://l10n.elementary.io/projects/photos/extra/",0
