Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Bump Build Number to 35 (#1322),0.6291386,Bump Build Number to 34 by @github-actions in link,bump build number to 35 Co-authored-by: GitHub Action action@github.com,0
Bump Build Number to 34 (#1321),0.6674418,Bump Build Number to 34 by @github-actions in link,bump build number to 34 Co-authored-by: GitHub Action action@github.com,0
Remove upgrade alert (#1320),0.51860833,d0c29f3: [fix]: Update Mechanism (#939) (Lukas Pistrol) #939,Update AppDelegate.swift,0
Bump Build Number to 34 (#1319),0.6688791,Bump Build Number to 34 by @github-actions in link,bump build number to 34 Co-authored-by: GitHub Action action@github.com,0
rename bundle identifier to app.codeedit.CodeEdit (#1287),0.91443175,rename bundle identifier to app.codeedit.CodeEdit by @Wouter01 in link,rename bundle identifier to com.codeedit.CodeEdit Signed-off-by: Wouter01 wouterhennen@gmail.com pre-release config update Signed-off-by: Wouter01 wouterhennen@gmail.com Changed com.codeedit.CodeEdit to app.codeedit.CodeEdit Signed-off-by: Wouter01 wouterhennen@gmail.com Co-authored-by: Austin Condiff austin.condiff@gmail.com,1
Update Sparkle Path for CI (#1318),0.8855957,Update Sparkle Path for CI by @bombardier200 in link,Update Sparkle Path,1
Update pre-release.yml to fix CI (#1317),0.93645144,Update pre-release.yml to fix CI by @bombardier200 in link,Update pre-release.yml,1
Bump Build Number to 33 (#1316),0.6925159,Bump Build Number to 33 by @github-actions in link,bump build number to 33 Co-authored-by: GitHub Action action@github.com,0
added upgrade alert (#1297),0.54495245,d0c29f3: [fix]: Update Mechanism (#939) (Lukas Pistrol) #939,,0
docs: add dscyrescotti as a contributor for code (#1315),0.76448065,docs: add dscyrescotti as a contributor for code by @allcontributors in link,docs: update README.md [skip ci] docs: update .all-contributorsrc [skip ci] Co-authored-by: allcontributors[bot] 46447321+allcontributors[bot]@users.noreply.github.com,1
Sync file selection state between tab group and outline view (#1296),0.92607516,Sync file selection state between tab group and outline view by @dscyrescotti in link,feat: exclude file extension when renaming filename feat: add background layer while editing fix: sync file highlight in outline view with active tab group feat: select active file when expanding folder feat: remove duplicate events from publisher feat: use item from from collection chore: remove debug print feat: restore file selection if folder is expanded chore: update selection after reloading outline datasource chore: move array extension under util extension folder Update CodeEdit/Features/NavigatorSidebar/ProjectNavigator/OutlineView/ProjectNavigatorOutlineView.swift Update CodeEdit/Features/NavigatorSidebar/ProjectNavigator/OutlineView/ProjectNavigatorOutlineView.swift Update CodeEdit/Features/NavigatorSidebar/ProjectNavigator/OutlineView/ProjectNavigatorOutlineView.swift Co-authored-by: Austin Condiff austin.condiff@gmail.com,1
docs: add Cubik65536 as a contributor for code (#1314),0.74921644,docs: add Cubik65536 as a contributor for code by @allcontributors in link,docs: update README.md [skip ci] docs: update .all-contributorsrc [skip ci] Co-authored-by: allcontributors[bot] 46447321+allcontributors[bot]@users.noreply.github.com,1
feat: Use terminal title as the terminal tab title (#1298) (#1302),0.9662687,feat: Use terminal title as the terminal tab title (#1298) by @Cubik65536 in link,,1
Using grouped form design in the file inspector (#1313),0.91086125,Using grouped form design in the file inspector by @austincondiff in link,,1
Enhancement: #218 Fuzzy search for QuickOpen (#1307),0.9133724,Enhancement: #218 Fuzzy search for QuickOpen by @Wouter01 in link,"Added a fuzzy search for QuickOpen searching; Every search result gets a score based on how many queryTokes are found in the file url, the proximity Score, the modifying date and the Levenshtein-Distance. Added better documentation for some of the FuzzySearch functions; Fixed the levenshteinDistance function; Resolved merge conflicts Removed line width warnings; Removed redundant else statement Removed redundant else statement Replaced deprecated methods Delete Icon Removed unnecessary documentation; Resolved the bug, where random files weren't displayed; Spelling mistake corrected; Search Results ignore .git files; Search Results show .git files again; Shortened return statement; Found and fixed the missing files error The problem was the the calculateDateScore function, returned a score of 0.0 for files that were never created or modified by the user(downloaded files for example). The date score got multiplied with the file score, and something times 0.0 equals 0 and consequently the items weren't displayed in the list🤦🏻‍♂️. I simply added score + 0.01 which assigns a default score of 0.01 to each date score. However, there is a disadvantage: the search results are worse... Revert ""Merge branch 'main' of link into FuzzySearch"" This reverts commit 42d5440c63962bc70a277ce8a3406700032ee171, reversing changes made to e67ff21972e61813ed01a5cc6242ac0445348ae2. Revert ""Revert ""Merge branch 'main' of link into FuzzySearch"""" This reverts commit a2108dbcf75dfe527f66ac4c151e2416ff9a7d57. Signed-off-by: Wouter01 wouterhennen@gmail.com Fix Xcode issues Signed-off-by: Wouter01 wouterhennen@gmail.com Signed-off-by: Wouter01 wouterhennen@gmail.com Co-authored-by: Tom Ludwig 83090745+activcoding@users.noreply.github.com",1
[chore]: Update CodeEditTextView to 0.6.4 (#1300),0.9450438,[chore]: Update CodeEditTextView to 0.6.1 by @lukepistrol in link,,1
Debug area tabs (#1261),0.85958195,Debug area tabs by @bombardier200 in link,,1
Improve textfield behavior in Project Navigator (#1291),0.87905324,Improve textfield behavior in Project Navigator by @dscyrescotti in link,feat: exclude file extension when renaming filename feat: add background layer while editing,1
refactor: Refactor font changes codes in ViewCommands (#1285),0.9450751,refactor: Refactor font changes codes in ViewCommands by @Cubik65536 in link,"refactor: Add command to change terminal font size Signed-off-by: Qian Qian ""Cubik""‎ cubik65536@cubik65536.top refactor(ViewCommands): Use more specific @AppSettings Signed-off-by: Qian Qian ""Cubik""‎ cubik65536@cubik65536.top feat: Disable font size adjustment if no opened workspace Signed-off-by: Qian Qian ""Cubik""‎ cubik65536@cubik65536.top fix: Prevent font size to go over max value (288) Signed-off-by: Qian Qian ""Cubik""‎ cubik65536@cubik65536.top refactor(ViewCommands): Remove unused CodeEditDocumentController Signed-off-by: Qian Qian ""Cubik""‎ cubik65536@cubik65536.top Signed-off-by: Qian Qian ""Cubik""‎ cubik65536@cubik65536.top",1
update codeeditkit dependency (#1286),0.8299742,update codeeditkit dependency by @Wouter01 in link,Signed-off-by: Wouter01 wouterhennen@gmail.com,1
Extensions Base (#1274),0.6966039,Extensions Base by @Wouter01 in link,Add local CodeEditKit package Signed-off-by: Wouter01 wouterhennen@gmail.com moved foldermonitor and created extensions window Signed-off-by: Wouter01 wouterhennen@gmail.com Readded various extension structs Signed-off-by: Wouter01 wouterhennen@gmail.com Fixed inspector extensions Signed-off-by: Wouter01 wouterhennen@gmail.com fixed regression Signed-off-by: Wouter01 wouterhennen@gmail.com update packages Signed-off-by: Wouter01 wouterhennen@gmail.com added processidentifier to extension Signed-off-by: Wouter01 wouterhennen@gmail.com fixed inspector Signed-off-by: Wouter01 wouterhennen@gmail.com added logs to codeedit console Signed-off-by: Wouter01 wouterhennen@gmail.com added separate tabs for each extension Signed-off-by: Wouter01 wouterhennen@gmail.com small fixes Signed-off-by: Wouter01 wouterhennen@gmail.com add hot reloading Signed-off-by: Wouter01 wouterhennen@gmail.com Fixed navigator extensions Signed-off-by: Wouter01 wouterhennen@gmail.com fir warnings Signed-off-by: Wouter01 wouterhennen@gmail.com add CodeEditKit as remote package Signed-off-by: Wouter01 wouterhennen@gmail.com fix build issue Signed-off-by: Wouter01 wouterhennen@gmail.com config fixes Signed-off-by: Wouter01 wouterhennen@gmail.com fix swiftlint Signed-off-by: Wouter01 wouterhennen@gmail.com warning fixes Signed-off-by: Wouter01 wouterhennen@gmail.com swiftlint fix Signed-off-by: Wouter01 wouterhennen@gmail.com test fix Signed-off-by: Wouter01 wouterhennen@gmail.com remove swiftlint:disable in Commands+ForEach Signed-off-by: Wouter01 wouterhennen@gmail.com improvements for other comments Signed-off-by: Wouter01 wouterhennen@gmail.com resolve comments Signed-off-by: Wouter01 wouterhennen@gmail.com swiftlint fix Signed-off-by: Wouter01 wouterhennen@gmail.com Signed-off-by: Wouter01 wouterhennen@gmail.com,0
Fix: #1035 finding in project bug (#1268),0.89890456,Fix: #1035 finding in project bug by @RayZhao1998 in link,fix: #1035 finding in project bug No results display when finding Found results count,1
Fix Settings color picker (#1277),0.8004743,Fix Settings color picker by @adisve in link,"Add local state and onChange to SettingsColorPicker, to handle theme changes separately. Simplify Color extension on hexString Re-implement old hex conversion Add back comment",1
Fix for non-updating font size (#1283),0.76447266,Fix for non-updating font size by @Wouter01 in link,fix for non-updating font size Signed-off-by: Wouter01 wouterhennen@gmail.com Remove combine import Signed-off-by: Wouter01 wouterhennen@gmail.com Signed-off-by: Wouter01 wouterhennen@gmail.com,1
Add Missing Text View Settings (#1271),0.7530862,Add Missing Text View Settings by @thecoolwinter in link,"Merge upstream indent settings, update CETV Fix initial setting bugs Co-authored-by: Austin Condiff austin.condiff@gmail.com",1
Remove Unused UI (#1272),0.7475988,Remove Unused UI by @austincondiff in link,,1
Add setting for letter spacing (#1269),0.6995472,Add setting for letter spacing by @luah5 in link,Add setting for letter spacing fix comment change range,0
Quicklook Previews in Open Quickly overlay (#1266),0.8914063,Quicklook Previews in Open Quickly overlay by @luah5 in link,add support for quicklook previews in open quickly overlay (using OtherFileView) fix logic respond to review by adding new supported file formats respond to @austincondiff's review respond to second review,1
Add holding priority view modifier (#1265),0.8148291,Add holding priority view modifier by @Wouter01 in link,Signed-off-by: Wouter01 wouterhennen@gmail.com,1
feat: Notify the user when an error is encountered when adding new accounts (#1252) (#1253),0.93109596,feat: Notify the user when an error is encountered when adding new accounts (#1252) by @Cubik65536 in link,"refactor: Replace all GitURL with url in SourceControlAccount Signed-off-by: Qian Qian ""Cubik""‎ cubik65536@cubik65536.top style: Remove Trailing Whitespace refactor(AccountsSettingsSigninView): Move duplicate account check before sign in Signed-off-by: Qian Qian ""Cubik""‎ cubik65536@cubik65536.top feat(AccountsSettingsSigninView): Add Alert when adding duplicate account Signed-off-by: Qian Qian ""Cubik""‎ cubik65536@cubik65536.top feat: Alert the user when error occurs during account sign-in Signed-off-by: Qian Qian ""Cubik""‎ cubik65536@cubik65536.top fix: Fix possible nil url for BitBucketTokenConfiguration style: Remove Trailing Whitespace Signed-off-by: Qian Qian ""Cubik""‎ cubik65536@cubik65536.top",1
Sidebar tab bar position setting (#1257),0.83404714,Sidebar tab bar position setting by @austincondiff in link,Added setting to change the sidebars tab bar position. Added the ability to change the tab bar position to inspector sidebar. Fixed SwiftLint errors Fixed SwiftLint errors Corrected label in settings,1
Account Setting SSH Keys Picker (#1249),0.8300977,Account Setting SSH Keys Picker by @austincondiff in link,Finding ssh keys in ~/.ssh and adding them to the ssh key dropdown in account settings Added jump actions to the SSH Keys Picker menu (Chose... and Create a new ssh key...). Added the non-working view for create a new ssh key. urlProtocol/cloneUsing is now a new enum called URLProtocol. SSH Key now using account.sshKey instead of settings.accounts.sshKey Update AccountsSettingsDetailsView.swift Fixed state initial value Fixed binding issue where value changes wouldn't update view Cleaned up code Fixed delete account error Using the ssh key file path instead of the file content as the tag Made Account window title update live,1
Refactored WorkspaceClient and sidebar (#1243),0.85510373,Refactored WorkspaceClient and sidebar by @matthijseikelenboom in link,🧹 Refactor of the WorkspaceClient (#1157) Transfer project navigator (#1208) Transfer project navigator bottom Transfer TableViewCell abstractions Transfer over project manager outline view Get proj navigator sidebar working again Rename OutlineView -> ProjectNavigatorOutlineView for clarity Remove debug statements Fix incorrect comment headers Change old AE assets to new CE assets Add vscode-style toolbar Disable vertical sidebar by default Make deletion messages more descriptive Fix table view cell alignments Swiftlint fixes and code clean up Test fixes Co-authored-by: KaiTheRedNinja 88234730+KaiTheRedNinja@users.noreply.github.com,1
Fixing Theme not updating on click (#1255),0.8455434,Fixing Theme not updating on click by @bombardier200 in link,Updating themModel to be @StateObject,1
Update CodeEditTextView to 0.6.2 (#1251),0.91879046,Update CodeEditTextView to 0.6.2 by @austincondiff in link,Updated CodeEditTextView to 0.6.2 Removed the now unused Preferences package Fixed tests Fixed tests by removing reference to Preferences package,1
Performance improvements for settings (#1250),0.822015,Performance improvements for settings by @Wouter01 in link,"Added fix, partially applied it Signed-off-by: Wouter01 wouterhennen@gmail.com Further conversion Signed-off-by: Wouter01 wouterhennen@gmail.com Further conversion Signed-off-by: Wouter01 wouterhennen@gmail.com Further conversion Signed-off-by: Wouter01 wouterhennen@gmail.com Fixed warning Signed-off-by: Wouter01 wouterhennen@gmail.com Added throttling to json saver Signed-off-by: Wouter01 wouterhennen@gmail.com Signed-off-by: Wouter01 wouterhennen@gmail.com",1
fix(AccountsSettingsDetailsView): Fix Delete Account button (#1245) (#1248),0.95700026,fix(AccountsSettingsDetailsView): Fix Delete Account button (#1245) by @Cubik65536 in link,"refactor(AccountsSettingsDetailsView): Replace Deprecated Alert Signed-off-by: Qian Qian ""Cubik""‎ cubik65536@cubik65536.top fix(AccountsSettingsDetailsView): Handle properly account delete feat(AccountsSettingsDetailsView): Redirects user back to the accounts list after account delete refactor(AccountsSettingsDetailsView): Use dismiss instead of deprecated PresentationMode Signed-off-by: Qian Qian ""Cubik""‎ cubik65536@cubik65536.top Signed-off-by: Qian Qian ""Cubik""‎ cubik65536@cubik65536.top",1
fix: Fix issues when adding/displaying GitHub/GitLab accounts (#1244),0.8834839,fix: Fix issues when adding/displaying GitHub/GitLab accounts by @Cubik65536 in link,fix: Fix error when adding new GitHub/GitLab account fix: Prevent user from adding the same account multiple times Use providerLink instead of server that can be null,1
