Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Merge pull request #1647 from Wadeck/Wadeck-patch-1,0.36412728,Update to Jenkins 2.164.3 (changelog) ,Add more details to the security policy,0
Merge pull request #1653 from gounthar/fixes-alpine-version,0.39415857,Bump almalinux from 8.7 to 8.8 in /11/almalinux/almalinux8/hotspot (#1644),feat(alpine): Pin Alpine version to 3.18.0,0
"chore(dependencies): Fixes Java 11, 17 and Alpine versions.",0.4945861,Skip dependabot pull requests for Java major versions (#1635),,0
Bump debian in /11/debian/bullseye/hotspot (#1650),0.99558055,Bump debian in /11/debian/bullseye/hotspot (#1638),,1
Bump debian in /17/debian/bullseye/hotspot (#1651),0.9964429,Bump debian in /17/debian/bullseye/hotspot (#1639),,1
Bump debian in /17/debian/bullseye-slim/hotspot (#1652),0.99818194,Bump debian in /17/debian/bullseye-slim/hotspot (#1640),,1
Bump debian in /11/debian/bullseye-slim/hotspot (#1649),0.99684906,Bump debian in /11/debian/bullseye-slim/hotspot (#1641),,1
Merge pull request #1648 from MarkEWaite/download-from-mirrors,0.47610474,Skip dependabot pull requests for Java major versions (#1635),"Download from mirrors, not repo.jenkins-ci.org",0
Provide RELEASE_LINE in all Windows test paths,0.39692008,Improve release drafter configuration (#1646),,0
Add RELEASE_LINE always in make.ps1,0.44753802,Improve release drafter configuration (#1646),,0
Set RELEASE_LINE in Windows make.ps1,0.4082972,Improve release drafter configuration (#1646),,0
Limit RELEASE_LINE to use at build time,0.5163714,Improve release drafter configuration (#1646),Remove references to RELEASE_LINE that are not needed,0
Calculate RELEASE_LINE inside docker-bake.hcl,0.48574716,"686 - Add experimental packaging scripts for multi-architecture Docker images (#750, #806) @jmreicha  @imdurgadas",Use a regular expression in the docker-bake.hcl to calculate the RELEASE_LINE so that the Dockerfile does not need to become more complicated and so that the caller does not need to provide a release line.  Calculate the release line based on the Jenkins version.,0
Export the RELEASE_LINE just like others,0.4461038,Improve release drafter configuration (#1646),,0
Identify release line based on Jenkins version,0.60429513,Update to Jenkins 2.409 (changelog),"I previously made the mistake of attempting to reuse the logic that was deciding whether this is the latest weekly or the latest LTS. Reusing that logic fails to determine the correct release line for a non-latest release. If Jenkins 2.500 has already released but we need to build 2.499, then LATEST_WEEKLY will be false and RELEASE_LINE should be ""war"". If Jenkins 2.500.2 has already released but we need to build 2.500.1, then LATEST_LTS will be false and RELEASE_LINE should be ""war-stable"". The RELEASE_LINE calculation needs to be independent of the calculation of latest releases, since they have different conditions.",0
Use RELEASE_LINE instead of DOWNLOAD_DIR,0.43661618,Improve release drafter configuration (#1646),,0
Include DOWNLOAD_DIR in build scripts,0.42506006,"709, #861 - Make the REF_DIR configurable in plugin installation scripts (#866) @slide",,0
Download war file from Jenkins mirrors,0.6829715,"Download from mirrors, not repo.jenkins-ci.org (#1648) @MarkEWaite",Reduce bandwidth demands on artifactory Faster downloads,0
Add more details to the security policy,0.26342776,Create a CODEOWNERS file (#911) @oleg-nenashev,,0
Improve release drafter configuration definition (#1646),0.941836,Improve release drafter configuration (#1646),"Use weekly release format as the default for the releases.  LTS releases will need edits to provide them.  If we decide to create a separate branch for LTS releases, then the release drafter configuration on that branch could be adjusted to propose LTS version numbers.",1
Enable release drafter (#1645),0.76526713,Improve release drafter configuration (#1646),Enable release drafter so that changelogs contain pull requests by default,1
Bump almalinux from 8.7 to 8.8 in /11/almalinux/almalinux8/hotspot (#1644),0.9999999,Bump almalinux from 8.7 to 8.8 in /11/almalinux/almalinux8/hotspot (#1644),,1
Bump debian in /11/debian/bullseye-slim/hotspot (#1641),1.0,Bump debian in /11/debian/bullseye-slim/hotspot (#1641),,1
Bump debian in /11/debian/bullseye/hotspot (#1638),1.0000002,Bump debian in /11/debian/bullseye/hotspot (#1638),,1
Bump debian in /17/debian/bullseye/hotspot (#1639),1.0000001,Bump debian in /17/debian/bullseye/hotspot (#1639),,1
Bump debian in /17/debian/bullseye-slim/hotspot (#1640),0.9999998,Bump debian in /17/debian/bullseye-slim/hotspot (#1640),,1
Block dependabot proposals to update to Alma Linux 9 (#1634),1.0000001,Block dependabot proposals to update to Alma Linux 9 (#1634),https://github.blog/changelog/2021-05-21-dependabot-version-updates-can-now-ignore-major-minor-patch-releases/ shows the technique to allow minor version pull requests but to not propose major version pull requests. Avoid pull requests like:  https://github.com/jenkinsci/docker/pull/1627 https://github.com/MarkEWaite/docker-lfs/pull/148,1
