Index,Message,Description,Message Abstract,Description Abstract
1,fix: potentially fix quick actions ? (#1016),,fix: potentially fix quick actions ? (#1016),
2,fix: links not opening (#1017),  chore: remove unused data   fix: stop using launchUrlString ,fix: links not opening (#1017),chore: remove unused data fix: stop using launchUrlString
3,fix: overflowing text in hint panel (#1014),,fix: overflowing text in hint panel (#1014),
4,fix: bookmarked tutorials not viewable (#1013),,fix: bookmarked tutorials not viewable (#1013),
5,fix: dismissible dialogs (#1005),  feat: cancel button in button dialog   feat: dismiss dialog on outside click ,fix: dismissible dialogs (#1005),feat: cancel button in button dialog feat: dismiss dialog on outside click
6,chore(deps): update dependency flutter_launcher_icons to ^0.13.0 (#994),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,chore(deps): update dependency flutter_launcher_icons to ^0.13.0 (#994),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
7,feat: add background color podcast tile (#997),,feat: add background color podcast tile (#997),
8,fix(deps): update dependency mongoose to v6.11.2,,fix(deps): update dependency mongoose to v6.11.2,
9,fix: freeCodeCamp info in drawer by adding a SafeArea (#996),,fix: freeCodeCamp info in drawer by adding a SafeArea (#996),
10,fix: scroll physicis cosnole (#995),  fix: scroll physicis cosnole   fix: podlock file ,fix: scroll physicis cosnole (#995),fix: scroll physicis cosnole fix: podlock file
11,fix(deps): update kotlin monorepo to v1.8.22 (#1004),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,fix(deps): update kotlin monorepo to v1.8.22 (#1004),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
12,chore(deps): update typescript-eslint monorepo to v5.59.11 (#1001),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,chore(deps): update typescript-eslint monorepo to v5.59.11 (#1001),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
13,chore(deps): update dependency @types/node to v18.16.18 (#1003),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,chore(deps): update dependency @types/node to v18.16.18 (#1003),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
14,chore(deps): update actions/checkout digest to c85c95e (#999),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com,chore(deps): update actions/checkout digest to c85c95e (#999),Co-authored-by: renovate[bot] 29139614+renovate[bot]@users.noreply.github.com
