Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Update CHANGELOG,0.36736262,Updated,,0
Allow dusk attribute selectors to be chained (#1034),0.8068379,Allow dusk attribute selectors to be chained by @JayBizzle in https://github.com/laravel/dusk/pull/1034,  Allow dusk attribute selectors to be chained   Add test ,1
Update 1_Bug_report.yml,0.36907625,Update Symfony dependencies to latest version (788e79c),,0
Apply fixes from StyleCI,0.32007158,Automatically fit content on failures (#704),,0
Update and rename 1_Bug_report.md to 1_Bug_report.yml,0.3211522,Rename php-webdriver package (#720),,0
[7.x] Adds type checking (#1028),0.5050973,Add assert attribute methods (#751),  Adds type checking   Update .gitattributes   Update static-analysis.yml ,0
use --headless=new (#1027),0.3906079,Use --headless=new by @SjorsO in https://github.com/laravel/dusk/pull/1027,,0
Test PHPUnit 10 (#1026),0.7423172,Support PHPUnit 8 (788e79c),,1
Update 1_Bug_report.md,0.4208222,Updated,,0
Update tests.yml,0.3435861,Fix assertValue for select elements (#942),,0
[7.x] Fix tests (#1024),0.54904544,Fix assertVueContains and assertVueDoesNotContain (#638),  Use PHP 8.2 in stub tests   Use PHPUnit v10 xml for Laravel v10   Update src/Console/DuskCommand.php   Co-authored-by: Mior Muhammad Zaki crynobone@gmail.com  Update src/Console/DuskCommand.php  Co-authored-by: Mior Muhammad Zaki crynobone@gmail.com  Co-authored-by: Mior Muhammad Zaki crynobone@gmail.com,0
Adds PHPUnit 10 support  (#1023),0.8602644,Support PHPUnit 8 (788e79c), PHPUnit 10 Supports  Signed-off-by: Mior Muhammad Zaki crynobone@gmail.com  wip  Signed-off-by: Mior Muhammad Zaki crynobone@gmail.com  wip  Signed-off-by: Mior Muhammad Zaki crynobone@gmail.com   wip   Re-use GHA job   wip    Signed-off-by: Mior Muhammad Zaki crynobone@gmail.com Co-authored-by: Dries Vints dries@vints.io,1
allow custom dusk selector,0.72689855,Allow custom dusk selector by @taylorotwell in https://github.com/laravel/dusk/commit/cf04717664f80204567ad3077ea7484a0be16497,,1
Fix tests (#1021),0.57542557,Fix with() and page assertions (#625),  Update tests.yml   Update tests.yml   Update tests.yml ,0
[7.x] Laravel v10 support (#1015),0.8236514,Laravel 9 Support (#956),  Update tests.yml   Update composer.json   Update tests.yml   Update tests.yml ,1
Adds types to stubs (#1004),0.40444875,Adds typeSlowly & appendSlowly (#748),,0
Added .env file existence check (#1014),0.47005552,"Add graceful handler for SIGINT for .env restoration (#682, f843b8a)",Co-authored-by: Kravets Vadim kravets@kazinsys.kz,0
"Revert ""feat: add alternative tag for element selection (#1012)"" (#1013)",0.6446246,"Revert ""feat: add alternative tag for element selection"" by @driesvints in https://github.com/laravel/dusk/pull/1013",This reverts commit eedf08c80106ac4983b77ec23197528bf90aaec2.,0
feat: add alternative tag for element selection (#1012),0.58384216,Add alternative tag for element selection by @pataar in https://github.com/laravel/dusk/pull/1012,  feat: add alternative tag for element selection   formatting   Co-authored-by: Taylor Otwell taylor@laravel.com,0
Use same chrome driver as system chrome (#1010),0.73256814,Add Chrome driver auto detection (#816)﻿,,1
Create issues.yml,0.3724788,Allow for Symfony 5 (#696),,0
Add Stub Test (#1009),0.5989964,Add assertNotPresent() assertion (#879)﻿, Add Stub Test  Signed-off-by: Mior Muhammad Zaki crynobone@gmail.com  wip  Signed-off-by: Mior Muhammad Zaki crynobone@gmail.com  wip  Signed-off-by: Mior Muhammad Zaki crynobone@gmail.com  wip  Signed-off-by: Mior Muhammad Zaki crynobone@gmail.com  wip  Signed-off-by: Mior Muhammad Zaki crynobone@gmail.com  wip  Signed-off-by: Mior Muhammad Zaki crynobone@gmail.com Signed-off-by: Mior Muhammad Zaki crynobone@gmail.com,0
"Revert ""Allow custom chromedriver install path (#1007)"" (#1008)",0.63417566,Pass ssl-no-verify option into latestVersion of ChromeDriver install (#794),This reverts commit b9857c7f8bb87250e5230fd098ee9e0700c9a269.,0
Allow custom chromedriver install path (#1007),0.6405918,Pass ssl-no-verify option into latestVersion of ChromeDriver install (#794),"  Adds config file dusk.php   Use configuration for install and exec path   Fix test   It seems PHPUnit\Framework\TestCase is not booting the Laravel app, so it doesn't find the config class. This solves it.   Fix directory separator   Create the chrome install directory if doesn't exists   Delete dusk.php   Update DuskServiceProvider.php   Update ChromeProcess.php   Update ChromeDriverCommand.php   Co-authored-by: Taylor Otwell taylor@laravel.com",0
Test on PHP 8.2 (#1003),0.65673697,PHP 8 Support (#833)  ﻿,,0
Merge branch '6.x' into 7.x,0.28781682,Update minimum Laravel version (fcb2226),,0
Fix updated Mac image name (#1001),0.6618993,Fix updated Mac image name by @driesvints in https://github.com/laravel/dusk/pull/1001,,0
Add pauseIf() / pauseUnless() (#999),0.5488515,Add pauseIf() / pauseUnless() by @u01jmg3 in https://github.com/laravel/dusk/pull/999,  Add pauseIf()   Add pauseUnless() ,0
Allow to click and wait [N] seconds for reload (#998),0.66956365,Allow to click and wait [N] seconds for reload by @fabio-ivona in https://github.com/laravel/dusk/pull/998,,0
Remove extra Directory Separator from ChromeProcess (#995),0.7383606,Remove extra Directory Separator from ChromeProcess by @GeoSot in https://github.com/laravel/dusk/pull/995,,1
Upgrade guide for 7.x (#994),0.29744834,Dropped support for PHP 7.1 (210e03e),  Upgrade guide for 7.x   Update UPGRADE.md   Co-authored-by: Taylor Otwell taylor@laravel.com,0
[7.x] Drop old PHP and Laravel versions (#993),0.76987565,Drop old PHP and Laravel versions by @driesvints in https://github.com/laravel/dusk/pull/993,  Drop old PHP and Laravel versions   wip ,1
wip,0.2855655,Updated,,0
Merge branch '6.x',0.29699713,Update minimum Laravel version (fcb2226),Conflicts: CHANGELOG.md,0
[6.x] Try clicking all elements before throwing ElementClickInterceptedException (#989),0.53532845,Try clicking all elements before throwing ElementClickInterceptedException by @SjorsO in https://github.com/laravel/dusk/pull/989,  attempt to click all elements before failing   remove unused import   Update InteractsWithMouse.php   Co-authored-by: Taylor Otwell taylor@laravel.com,0
