Index,Release Note,Release Note With Abstraction
1,"
Allow dusk attribute selectors to be chained by @JayBizzle in https://github.com/laravel/dusk/pull/1034
",Allow dusk attribute selectors to be chained by @JayBizzle in link
2,"
Use --headless=new by @SjorsO in https://github.com/laravel/dusk/pull/1027
",Use --headless=new by @SjorsO in link
3,"Fixed

Fix PHPUnit v10 stubs by @driesvints in https://github.com/laravel/dusk/pull/1024
","Fixed
Fix PHPUnit v10 stubs by @driesvints in link"
4,"Added

Adds PHPUnit 10 support  by @crynobone in https://github.com/laravel/dusk/pull/1023
","Added
Adds PHPUnit 10 support  by @crynobone in link"
5,"Added

Allow custom dusk selector by @taylorotwell in https://github.com/laravel/dusk/commit/cf04717664f80204567ad3077ea7484a0be16497
","Added
Allow custom dusk selector by @taylorotwell in link"
6,"Added

Laravel v10 support by @driesvints in https://github.com/laravel/dusk/pull/1015
","Added
Laravel v10 support by @driesvints in link"
7,"Changed

Added .env file existence check by @Kravets1996 in https://github.com/laravel/dusk/pull/1014
Uses PHP Native Type Declarations 🐘  by @nunomaduro in https://github.com/laravel/dusk/pull/1004
","Changed
Added .env file existence check by @Kravets1996 in link
Uses PHP Native Type Declarations 🐘  by @nunomaduro in link"
8,"Fixed

Revert ""feat: add alternative tag for element selection"" by @driesvints in https://github.com/laravel/dusk/pull/1013
","Fixed
Revert ""feat: add alternative tag for element selection"" by @driesvints in link"
9,"Added

Add alternative tag for element selection by @pataar in https://github.com/laravel/dusk/pull/1012
","Added
Add alternative tag for element selection by @pataar in link"
10,"Fixed

Fix updated Mac image name by @driesvints in https://github.com/laravel/dusk/pull/1001
","Fixed
Fix updated Mac image name by @driesvints in link"
11,"Fixed

Fix updated Mac image name by @driesvints in https://github.com/laravel/dusk/pull/1001
","Fixed
Fix updated Mac image name by @driesvints in link"
12,"Added

Add pauseIf() / pauseUnless() by @u01jmg3 in https://github.com/laravel/dusk/pull/999
","Added
Add pauseIf() / pauseUnless() by @u01jmg3 in link"
13,"Changed

Allow to click and wait [N] seconds for reload by @fabio-ivona in https://github.com/laravel/dusk/pull/998
","Changed
Allow to click and wait [N] seconds for reload by @fabio-ivona in link"
14,"Fixed

Remove extra Directory Separator from ChromeProcess by @GeoSot in https://github.com/laravel/dusk/pull/995
","Fixed
Remove extra Directory Separator from ChromeProcess by @GeoSot in link"
15,"Changed

Uses Pest if available by @nunomaduro in https://github.com/laravel/dusk/pull/771
Use selector to double click, and to click and hold by @rodrigopedra in https://github.com/laravel/dusk/pull/848
Bump dependencies by @driesvints in https://github.com/laravel/dusk/pull/874

Removed

Drop PHPUnit 7 by @driesvints in https://github.com/laravel/dusk/pull/762
Drop PHP 7.2 by @driesvints in https://github.com/laravel/dusk/pull/860
Drop Laravel v6 & v7 support by @driesvints in https://github.com/laravel/dusk/pull/862
Drop PHPUnit v8 by @driesvints in https://github.com/laravel/dusk/pull/861
Remove chrome binaries by @driesvints in https://github.com/laravel/dusk/pull/873
Drop old PHP and Laravel versions by @driesvints in https://github.com/laravel/dusk/pull/993
","Changed
Uses Pest if available by @nunomaduro in link
Use selector to double click, and to click and hold by @rodrigopedra in link
Bump dependencies by @driesvints in link
Removed
Drop PHPUnit 7 by @driesvints in link
Drop PHP 7.2 by @driesvints in link
Drop Laravel v6 & v7 support by @driesvints in link
Drop PHPUnit v8 by @driesvints in link
Remove chrome binaries by @driesvints in link
Drop old PHP and Laravel versions by @driesvints in link"
16,"Fixed

Try clicking all elements before throwing ElementClickInterceptedException by @SjorsO in https://github.com/laravel/dusk/pull/989
","Fixed
Try clicking all elements before throwing ElementClickInterceptedException by @SjorsO in link"
17,"Added

Added responsiveScreenShots method by @ps-sean in https://github.com/laravel/dusk/pull/984
Add assertIndeterminate assertion for checkbox. by @crynobone in https://github.com/laravel/dusk/pull/986
","Added
Added responsiveScreenShots method by @ps-sean in link
Add assertIndeterminate assertion for checkbox. by @crynobone in link"
18,"Added

Add hasStartMaximizedEnabled method by @roksprogar in https://github.com/laravel/dusk/pull/978
","Added
Add hasStartMaximizedEnabled method by @roksprogar in link"
19,"Fixed

Fix storing page source to disk when source assertions fail. by @calmdev in https://github.com/laravel/dusk/pull/976
","Fixed
Fix storing page source to disk when source assertions fail. by @calmdev in link"
20,"Added

Add waitForEvent() method by @michaelhue in https://github.com/laravel/dusk/pull/972
","Added
Add waitForEvent() method by @michaelhue in link"
21,"Fixed

Fixed vueAttribute for older Vue 2.x projects by @myMartek in https://github.com/laravel/dusk/pull/970
","Fixed
Fixed vueAttribute for older Vue 2.x projects by @myMartek in link"
22,"Changed

assertVue*() methods support Vue 3 composition API by @derekmd in https://github.com/laravel/dusk/pull/969
","Changed
assertVue*() methods support Vue 3 composition API by @derekmd in link"
