Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Update CHANGELOG,0.49165803,Implement new proration and pending updates (#949),,0
Update Cashier.php,0.60802716,Cashier v10 is a major new release. Please give the upgrade guide a thorough read to see what's new.,,0
Fix bug with customer_update in checkout (#1538),0.8732704,Fix bug with customer_update in checkout by @driesvints in link,,1
Update UPGRADE.md,0.4327029,Implement new proration and pending updates (#949),,0
[14.x] Handle automatic payment method updates (#1534),0.6965203,Payment page updates (#1120),Handle payment_method.automatically_updated webhook Remove whitespace Add payment_method.automatically_updated webhook Update upgrade guide formatting Co-authored-by: Taylor Otwell taylor@laravel.com,0
Fallback for empty pm_type object (#1531),0.7404749,Fallback for empty pm_type object on fillPaymentMethodDetails by @shatterproof in link,,1
"[14.x] Add ability to set a description on ""one-off"" charge checkouts (#1525)",0.8705288,"Add ability to set a description on ""one-off"" charge checkouts by @AmrAb-05 in link",Update PerformsCharges.php Update PerformsCharges.php Update PerformsCharges.php Co-authored-by: Dries Vints dries@vints.be,1
[14.x] Add ability to ignore incomplete payments (#1524),0.7214782,Add ability to ignore incomplete payments by @driesvints in link,Ignore incomplete payments Update HandlesPaymentFailures.php Co-authored-by: Taylor Otwell taylorotwell@gmail.com,1
Update 1_Bug_report.yml,0.41710815,"Subscription Update Webhook bugfix (#1085, 3184afc)﻿",,0
Rename 1_Bug_report.md to 1_Bug_report.yml,0.37669072,Rename some exceptions (#881),,0
Update 1_Bug_report.md,0.47564527,Fix trial ends at check (#1015)﻿,,0
Update HandlesPaymentFailures.php,0.61512256,Update payment page (#1094)﻿,,0
[14.x] Set payment confirm options (#1516),0.72604537,Set payment confirm options by @driesvints in link,Set payment confirm options wip wip formatting Co-authored-by: Taylor Otwell taylor@laravel.com,1
Apply fixes from StyleCI,0.33133084,Fix styles overwriting checkout button when class is set (#1070)﻿,,0
Typo (#1511),0.59102464,fix minor typo by @owainjones74 in link,,0
Fix deletion of subscription items in swap() (#1509),0.7973846,Fix deletion of subscription items in swap() by @glspdotnet in link,This commit fixes an issue in Subscription::swap() where subscription items created via price_data instead of an existing Stripe price are immediately deleted after creation.,1
[14.x] Provide findSetupIntent method (#1505),0.74961674,Provide findSetupIntent method by @andycowan in link,fix: Provide findSetupIntent method fix: style fixes Update ManagesPaymentMethods.php,1
[14.x] Adds type checking (#1506),0.5237274,Add array types (#1152),Adds type checking Update .gitattributes Update static-analysis.yml,0
[14.x] Fix invoice line items (#1503),0.7253316,Fix return type for invoice line items (#1053)﻿,Fix invoice line items Apply fixes from StyleCI Co-authored-by: StyleCI Bot bot@styleci.io,1
Update FeatureTestCase.php,0.3588366,Fix trial ends at check (#1015)﻿,,0
[14.x] Fix webhook command (#1499),0.8037355,Fix webhook command by @driesvints in link,Add events fallback to webhook command Re-use commands,1
Add SyncCustomerDetails job (#1498),0.8244839,Add SyncCustomerDetails job by @driesvints in link,Add SyncCustomerDetails job Apply fixes from StyleCI Co-authored-by: StyleCI Bot bot@styleci.io,1
Disable HTTP 2 in tests (#1497),0.4125906,Fix url checking for invalid urls (#984),,0
Return null if attribute isn't found (#1496),0.7883833,Return null if attribute isn't found by @driesvints in link,,1
Update CHANGELOG.md,0.43859953,Implement new proration and pending updates (#949),,0
[14.x] Fix wrong foreignKey on SubscriptionItem (#1494),0.83409864,Fix wrong foreignKey on SubscriptionItem by @zofe in link,fix wrong fk on SubscriptionItem fix wrong fk from SubscriptionItem to Subscription (needed on customized migrations) Update SubscriptionItem.php Co-authored-by: Dries Vints dries@vints.io,1
Fix test name,0.4988702,Rename some exceptions (#881),,0
[14.x] Laravel v10 Support (#1486),0.8756673,Laravel 9 support (#1302)﻿,Update composer.json Update tests.yml Update composer.json,1
Adds types to database migrations and factories (#1472),0.8613732,Adds types to database migrations and factories by @nunomaduro in link,,1
Update tests.yml,0.30109924,Fix issue with requires_action (#1226),,0
Cursor pagination for invoices (#1479),0.8658655,Cursor pagination for invoices by @driesvints in link,,1
version,0.35586625,Changed,,0
[14.x] Update Stripe API version and Stripe PHP SDK v10 support (#1478),0.9224275,Update Stripe API version and Stripe PHP SDK v10 support by @driesvints in link,Update Stripe API version Stripe PHP SDK v10 wip Update UPGRADE.md Co-authored-by: Taylor Otwell taylorotwell@gmail.com,1
Create issues.yml,0.375087,Symfony 5 support (#822),,0
"Revert ""Exception Attempt to read property ""percentage"" on string (#1475)"" (#1476)",0.46987224,Loosen exception throwing (#882),This reverts commit a4477c756f30c56330e54186091792df9bde36f6.,0
"Exception Attempt to read property ""percentage"" on string (#1475)",0.3682049,Fix createSetupIntent (#704),"Attempt to read property ""percentage"" on string Update InvoiceLineItem.php",0
Modernize migrations (#1471),0.77718294,Modernize migrations by @driesvints in link,,1
