Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
1,Some reviews from @driesvints,0.57968295,Discount improvements by @driesvints in https://github.com/laravel/cashier-stripe/pull/1354,,0
2,Merge pull request #26 from GrahamCampbell/fixes,0.553481,Fix add and remove plan (#926),,0
3,Remove unnecessary phpunit env variable,0.4506317,Remove unused $customer parameter on updateQuantity method (#729),,0
4,Add findPaymentMethod method,0.95493925,Add findPaymentMethod method (#801),  Handle payment_method.automatically_updated webhook   Remove whitespace   Add payment_method.automatically_updated webhook   Update upgrade guide   formatting    Co-authored-by: Taylor Otwell taylor@laravel.com,1
5,Test metadata on subscription creation,0.65926987,Prevent duplicate subscription creation (#1308)﻿,,0
6,Convert tabs to spaces,0.38166544,Add invoicePrice and tabPrice methods (#1213)﻿,,0
7,Merge pull request #427 from shukshin-ivan/patch-1,0.5202933,Fix rawDiscountFor method by @driesvints in https://github.com/laravel/cashier-stripe/pull/1325,,0
8,Add publishable key to Cashier,0.5120051,Add ability to ignore cashier routes (#763),,0
9,Fix download badge.,0.51573515,Able to update a Stripe customer (#634),,0
10,Fix phpdoc,0.6439581,Require PHP 7.2 (f0f8cd1),  Update PerformsCharges.php   Update PerformsCharges.php   Update PerformsCharges.php    Co-authored-by: Dries Vints dries@vints.be,0
11,Merge pull request #911 from laravel/upgrade-guide,0.5205444,Fix add and remove plan (#926),,0
12,Allow user to pass paramaters when fetching invoices,0.7739853,The invoiceFor method now accepts an $invoiceOptions param (#598),,1
13,Update PaymentController.php (#1174),0.7650505,Update payment page (#1094)﻿,  Ignore incomplete payments   Update HandlesPaymentFailures.php    Co-authored-by: Taylor Otwell taylorotwell@gmail.com,1
14,Merge pull request #125 from Benoth/patch-1,0.5422501,Fix rawDiscountFor method by @driesvints in https://github.com/laravel/cashier-stripe/pull/1325,,0
15,Merge pull request #868 from keithbrink/add_subscription_options,0.59828174,Make plans optional for newSubscription (#1066),,0
16,Merge pull request #153 from ellisthedev/stripe-2.0,0.5469365,Fix rawDiscountFor method by @driesvints in https://github.com/laravel/cashier-stripe/pull/1325,,0
17,Do not update card in createAsStripeCustomer method,0.7696362,Extract updateCard from createAsStripeCustomer method (#588),,1
18,adjust config,0.68613195,Refactor model config option (#1100),,0
19,Mark markAsCancelled as internal,0.47248057,Fix createSetupIntent (#704),,0
20,Merge pull request #667 from laravel/billing-sca,0.5218604,Fix rawDiscountFor method by @driesvints in https://github.com/laravel/cashier-stripe/pull/1325,  Set payment confirm options   wip   wip   formatting    Co-authored-by: Taylor Otwell taylor@laravel.com,0
21,Minor cleanup,0.46217203,Removed,,0
22,Merge pull request #76 from ChristopherJaoude/master,0.51230437,Add SyncCustomerDetails job by @driesvints in https://github.com/laravel/cashier-stripe/pull/1498,,0
23,Promotion codes with susbcription updates (#1230),0.75827646,Allow promo codes on subscription updates (#1230),,1
24,StyleCI fix,0.5021918,Fix styles overwriting checkout button when class is set (#1070)﻿,,0
25,allow retrieval of invoice file.,0.6763427,Return invoice object when applicable (#711),This commit fixes an issue in Subscription::swap() where subscription items created via price_data instead of an existing Stripe price are immediately deleted after creation.,0
26,Minimal support for ACH tokens,0.4562075,Throw payment exceptions on item swap (#1157),  fix: Provide findSetupIntent method   fix: style fixes   Update ManagesPaymentMethods.php ,0
27,Merge branch '5.0',0.36605892,Symfony 5 support (#822),  Adds type checking   Update .gitattributes   Update static-analysis.yml ,0
28,Use lower PHPUnit version to fix Failure exception,0.672835,Drop PHP 7.2 support (#1065),,0
29,Fix coupon being double applied,0.64376116,Fix coupon label on receipts (#1118)﻿,,0
30,Merge pull request #58 from bramdevries/master,0.49558276,Fix rawDiscountFor method by @driesvints in https://github.com/laravel/cashier-stripe/pull/1325,  Fix invoice line items   Apply fixes from StyleCI    Co-authored-by: StyleCI Bot bot@styleci.io,0
31,Update .editorconfig,0.570603,Implement new proration and pending updates (#949),,0
32,Do not allow changing prorating when extending trials,0.81684005,Support prorations while extending trials (#1151),,1
33,Cashier 3.0 is L5 only,0.517105,Add ability to ignore cashier routes (#763),,0
34,Merge pull request #424 from lucasmichot/feature/7.0/composer,0.49644652,Extract updateCard from createAsStripeCustomer method (#588),  Add events fallback to webhook command   Re-use commands ,0
35,Remove unnecessary else from formatAmount() method.,0.5896491,Add deletePaymentMethod (#1298),,0
36,Make dompdf an optional dependency (#1312),0.76675326,Make dompdf optional by @driesvints in https://github.com/laravel/cashier-stripe/pull/1312,,1
37,[14.x] Refactor dates property (#1462),0.7754062,Refactor dates property by @driesvints in https://github.com/laravel/cashier-stripe/pull/1462,  Add SyncCustomerDetails job   Apply fixes from StyleCI    Co-authored-by: StyleCI Bot bot@styleci.io,1
38,Handle card failure in plan swap,0.9535948,Handle card failure in plan swap (#641),,1
39,Update .gitattributes,0.5946645,Re-add support for Sources API by @driesvints in https://github.com/laravel/cashier-stripe/pull/1384,,0
40,Fix syncing of tax rates,0.9564028,Fix syncing of tax rates (0489030),,1
41,Update SubscriptionBuilder.php,0.56602764,PHP 8.1 compatibility (#1251),,0
42,Merge pull request #827 from laravel/php74,0.5731257,Drop PHP 7.3 support by @driesvints in https://github.com/laravel/cashier-stripe/pull/1186,,0
43,Merge pull request #765 from u01jmg3/patch-1,0.5527522,Fix rawDiscountFor method by @driesvints in https://github.com/laravel/cashier-stripe/pull/1325,,0
44,Merge pull request #763 from amranidev/ignore-routes,0.5152692,Implement server side Checkout redirect (#1218)﻿,,0
45,Skip tests without Stripe Secret (#1274),0.61915207,Test against latest Stripe API version (#603), fix wrong fk on SubscriptionItem  fix wrong fk from SubscriptionItem to Subscription (needed on customized migrations)  Update SubscriptionItem.php  Co-authored-by: Dries Vints dries@vints.io,0
46,[12.x] Stripe Customer Portal (#966),0.85613567,Add support for Stripe's Customer Portal (#966),,1
47,added updateCard method,0.76285803,Extract updateCard from createAsStripeCustomer method (#588),,1
48,fix docs,0.5758666,Fix createSetupIntent (#704),,0
49,Merge pull request #295 from kyranb/kyranb-set-email-on-new-stripe-customerpatch-1,0.52220666,Fix deletion of subscription items in swap() by @glspdotnet in https://github.com/laravel/cashier-stripe/pull/1509,  Update composer.json   Update tests.yml   Update composer.json ,0
50,working on 6.0,0.5220434,Remove old 5.9 version constraints (c7664fc),,0
51,Update RELEASE.md,0.5755844,Update stripe api version (#905),,0
52,Fix typo.,0.58284396,fix minor typo by @owainjones74 in https://github.com/laravel/cashier-stripe/pull/1450,,0
53,"Revert ""Return 200 response""",0.614222,Refactor webhook responses (#722),,0
54,[13.x] Remove legacy sources support (#1077),0.9686698,Remove legacy sources support (#1077)﻿,,1
55,Fix the foreign key for the different models,0.589284,Fix wrong foreignKey on SubscriptionItem by @zofe in https://github.com/laravel/cashier-stripe/pull/1494,,0
56,Revert namespace change,0.57183516,Changed,,0
57,Update CHANGELOG.md,0.6404136,Changed,,0
58,Update dependencies,0.5723518,Remove config repository dependency from webhook middleware (#793),  Update Stripe API version   Stripe PHP SDK v10   wip   Update UPGRADE.md   Co-authored-by: Taylor Otwell taylorotwell@gmail.com,0
59,Remove collation from migrations,0.93565184,Remove collation from migrations (#761),,1
60,Add latestPayment method on Subscription,0.9411571,Add latestPayment method on Subscription (#705),This reverts commit a4477c756f30c56330e54186091792df9bde36f6.,1
61,Typo (#1511),0.51446915,fix minor typo by @owainjones74 in https://github.com/laravel/cashier-stripe/pull/1450,"  Attempt to read property ""percentage"" on string   Update InvoiceLineItem.php ",0
62,Drop PHP 7.4 and Laravel v8 support (#1353),0.8971531,Drop PHP 7.4 and Laravel v8 support by @driesvints in https://github.com/laravel/cashier-stripe/pull/1353,,1
63,Drop PHP 7.2 support (#1065),0.9999999,Drop PHP 7.2 support (#1065),,1
64,Make email optional,0.57103175,Allow for custom email address attribute (#887),,0
65,Update gitignore,0.52824366,Re-add support for Sources API by @driesvints in https://github.com/laravel/cashier-stripe/pull/1384,,0
66,Check for subscription when looking at plan.,0.67048734,"Allow for subscription options (#868, #901)",,0
67,update symfony requirements',0.6875786,Symfony 5 support (#822),,0
68,Add SyncCustomerDetails job (#1498),0.82181084,Add SyncCustomerDetails job by @driesvints in https://github.com/laravel/cashier-stripe/pull/1498,,1
69,Protect against host mismatch (#930),0.9999999,Protect against host mismatch (#930),,1
70,Merge pull request #133 from cmgmyr/master,0.5060761,Fix deletion of subscription items in swap() by @glspdotnet in https://github.com/laravel/cashier-stripe/pull/1509,  Refactor dates property   wip ,0
71,Update testing instructions,0.5909917,Test against latest Stripe API version (#603),,0
72,Merge branch '3.0',0.41855305,Fix multiplan subscription swapping (#925),,0
73,Update migration.,0.6687686,Modernize migrations by @driesvints in https://github.com/laravel/cashier-stripe/pull/1471,,0
74,Fix payment methods,0.8023353,Fix double payment method (#987),  Add note about config file in the upgrade docs   Update UPGRADE.md   Co-authored-by: Taylor Otwell taylorotwell@gmail.com,1
75,Merge pull request #601 from vpratfr/patch-1,0.5451281,Fix deletion of subscription items in swap() by @glspdotnet in https://github.com/laravel/cashier-stripe/pull/1509,,0
76,Rename Integration test directory to Feature,0.40809378,Replace symfony/intl dependency (#1114),,0
77,"Method asStripeCustomerBalanceTransaction() should return the Stripe transaction, not the invoice",0.688107,Return invoice object when applicable (#711),  Fix undefined property id notice   Check for the value ,0
78,Merge pull request #729 from laravel/remove-param,0.54991496,Fix deletion of subscription items in swap() by @glspdotnet in https://github.com/laravel/cashier-stripe/pull/1509,,0
79,Do not test 7.0 anymore,0.5343739,Remove old 5.9 version constraints (c7664fc),,0
80,Merge pull request #878 from laravel/use-proper-invoice-number,0.5597216,Fix latest_invoice retrieval (#1115),,0
81,Apply fixes from StyleCI (#753),0.5323396,Fix createSetupIntent (#704),,0
82,Dates improved,0.5671346,Refactor dates property by @driesvints in https://github.com/laravel/cashier-stripe/pull/1462,,0
83,Obligatory cleanup,0.41872108,Removed,  wip   wip   wip   wip ,0
84,Move formatting to billable trait.,0.64781713,Split Billable trait into multiple concerns (#898),,0
85,Merge pull request #871 from laravel/create-customer-exception,0.4889452,Fix deletion of subscription items in swap() by @glspdotnet in https://github.com/laravel/cashier-stripe/pull/1509,,0
86,Addressing StyleCi issue,0.47403204,Fix styles overwriting checkout button when class is set (#1070)﻿,  Improve guest Checkout flow   Apply fixes from StyleCI   wip   Co-authored-by: StyleCI Bot bot@styleci.io,0
87,Test for updating a stripe customer,0.78150296,Able to update a Stripe customer (#634),"  feat(anonymous-checkout): allow owner of checkout to be nullable, add check if owner is null   feat(anonymous-checkout): allow owner of checkout to be nullable, add check if owner is null   feat(anonymous-checkout): add anonymous static function to improve DX   feat(anonymous-checkout): add anonymous static function to improve DX   feat(anonymous-checkout): add anonymous static function to improve DX   remove .idea   feat(anonymous-checkout): add test   feat(anonymous-checkout): add test   feat(anonymous-checkout): add test   Rename to guest and simplify   wip   Co-authored-by: Alexander Gaal alexander.gaal@live.at Co-authored-by: Dries Vints dries@vints.io",1
88,Merge pull request #727 from laravel/notifications,0.48800012,Fix undefined property id notice by @Lyrisbee in https://github.com/laravel/cashier-stripe/pull/1448,,0
89,Merge pull request #738 from laravel/clarify-notifications,0.4869107,Remove collation from migrations (#761),  add generic trial scopes to billable   removed unused import   fix styling   Update ManagesSubscriptions.php   Co-authored-by: Taylor Otwell taylor@laravel.com,0
90,Make plans optional for newSubscription (#1066),1.0000001,Make plans optional for newSubscription (#1066),,1
91,Fix coupon label on receipts (#1118),0.9999998,Fix coupon label on receipts (#1118)﻿,  Configurable Webhook Enabled Events   Update cashier.php   Update WebhookCommand.php   Co-authored-by: Taylor Otwell taylor@laravel.com,1
92,feat: added support for webhook handled event,0.7935321,Webhook events (#810),,1
93,Merge pull request #598 from laravel/fix-invoice-taxes,0.64867413,Fix invoice line items by @driesvints in https://github.com/laravel/cashier-stripe/pull/1503,,0
