Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Add CHANGELOG for 2.2.1 (#8287) (#8289),0.71996295,[#7241]: Docs: Add changelog to docs,,1
limit stencil to inner instructions (#8276),0.63333684,[#8283]: backport (#8276): Limit stencil to inner instructions on Image widget,,0
Increase timeout of httpbin tests to reduce risk of failures on CI runs (#8263),0.8703103,[#8288]: backport (#8263): Increase timeout of httpbin tests to reduce risk of failures on CI runs,,1
Ensures that jQuery is always installed (on newer sphinx versions is not the default) (#8251),0.6183222,[#7766]: Add support for older Sphinx versions,,0
Update version for development (#8253),0.6760751,[#8231]: Bump version to 2.2.0rc1,,0
Release 2.2.0 (#8249),0.7144746,[#7837]: Bump to 2.2.0.dev0,,1
Update changelog for 2.2.0 (#8245),0.69563806,[#7837]: Bump to 2.2.0.dev0,,0
Docs review for RPi installation and build instructions (#8234),0.9611479,[#8234]: Docs review  for RPi installation and build instructions,,1
Bump version to 2.2.0rc1 (#8231),0.9410454,[#8231]: Bump version to 2.2.0rc1,,1
"Sphinx 7.0.0 is incompatible, use <=6.2.1 for now",0.97952664,"[#8229]: Sphinx 7.0.0 is incompatible, use <=6.2.1 for now",,1
Perform RPi builds on balenalib/raspberrypi3-* images and skip DISPMANX API usage if can't be used (#8223),0.8397115,[#8223]: Perform RPi builds on balenalib/raspberrypi3-* images and skip DISPMANX API usage if can't be used [build wheel armv7l],,1
Fix VKeyboard missing with custom keyboard class (#7846),0.97523475,[#7846]: Fix VKeyboard missing with custom keyboard class,,1
Build python 3.9 wheels for RPi + fixes the build for RPi wheels (#7852),0.888038,[#7852]: Build python 3.9 wheels for RPi,  Build python 3.9 for rpi as well [build wheel armv7l].   Add missing autoreconf for debian build. [build wheel armv7l]   Add missing libtool for debian build. [build wheel armv7l]   Use the newer cmake based script to build dependencies [build wheel armv7l]    Co-authored-by: Mirko Galimberti me@mirkogalimberti.com,1
XCode 14.3 fails to build SDL if MACOSX_DEPLOYMENT_TARGET < 10.13 (#8191),0.9850106,[#8191]: XCode 14.3 fails to build SDL if MACOSX_DEPLOYMENT_TARGET < 10.13,,1
Generate-sdist needs packaging as a dependency (#8217),0.84945124,[#8217]: Generate-sdist needs packaging as a dependency [build wheel win],,1
Migrate from autotools to cmake for SDL2 linux dependencies (#8203),0.9851837,[#8203]: Migrate from autotools to cmake for SDL2 linux dependencies,  Migrate from autotools to cmake for SDL2 linux dependencies   Update Linux install docs ,1
"Label: allow different values of left, top, right and bottom for padding. (#8162)",0.96942323,"[#8162]: Label: allow different values of left, top, right and bottom for padding.","  Allow left, top, right, and bottom padding values   Keep support for deprecated properties   handle deprecated properties   remove duplicate import   update doc and method name   add class name to logger message   Co-authored-by: Mirko Galimberti me@mirkogalimberti.com   fixes and minor refactoring   fix padding   fix valign center   fix halign center   fix valign   fix halign center with markup=True    Co-authored-by: Mirko Galimberti me@mirkogalimberti.com",1
Migrate allow_stretch and keep_ratio in widgets/examples by corresponding fit_mode (#8202),0.9861549,[#8202]: Migrate allow_stretch and keep_ratio in widgets/examples by corresponding fit_mode,  remove deprecated properties   add comma ,1
Config unicode support on Windows (#7942),0.9755285,[#7942]: Config unicode support on Windows, Update config.py  On Windows platform without this it cannot write correctly unicode characters  Update config.py  fix unicode read for Windows platform  Update config.py,1
"Qwerty VKeyboard button fix( z, Q and W and ] )  (#7925)",0.9108527,"[#7925]: Qwerty VKeyboard button fix( z, Q and W and ] ) on Linux(Ubuntu Focal Fossa)","  Qwerty VKeyboard button fix(z,Q and W and ]) on Linux   Update kivy/data/keyboards/qwerty.json    Co-authored-by: Mirko Galimberti me@mirkogalimberti.com",1
New Feature: Allows to hide the taskbar icon (SDL2 window provider)  (#8142),0.82478416,[#8142]: New Feature: Allows to hide the taskbar icon,  allow hide taskbar icon   flake8   require config migration   move logic into setup_window   fix typo ,1
