Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Update eslint to version 8.42.0,0.5609472,Update esbuild to v17 (#10368),,0
Update sass to version 1.63.4,0.41164982,"If you were using the @tailwindcss/postcss7-compat package because you are stuck on PostCSS 7, you'll need to upgrade to PostCSS 8 before you can upgrade to Tailwind CSS v3.0.0-alpha.1.",,0
Simplify browserslist setup by relying on defaults (#11412),0.50984716,"Fix bug where target: 'browserslist' didn't work, only target: ['browserslist', {...}] did (https://github.com/tailwindcss/tailwindcss/commit/f5c0e301a55a189f642699ecaddc952c0487e3e8)","  use defaults for browserslist   some features that we require for Tailwind to work.   simplify Lightning CSS features   Always transpile Nesting, never transpile LogicalProperties.   bump caniuse-lite (npx browserslist@latest --update-db)   reflect changes in the tests   update changelog ",0
chore: make sentence smooth (#11407),0.4833478,Fix grammatical mistake (cca5a38),  chore: make sentence smooth   chore: everything typo   chore: its   feat: e.g.   chore: a => an; remove repeated to   Update offsets.js   Update generateRules.js    Co-authored-by: Adam Wathan adam.wathan@gmail.com,0
"Explicitly configure Lightning CSS features, and prefer user browserslist over default browserslist (#11402)",0.5884734,"If you still need to support those browsers, remove @tailwind preflight from your CSS, add Normalize.css 7.0.0 to your project, and manually add our additional preflight base styles."," exclude Features.LogicalProperties lightningcss feature  We don't want this to automatically apply since we have dedicated logical property based utilities already. We also have a feature flag to toggle some utilities to make use of logical property based ones. This feature should be opt-in to prevent backwards compatibility (e.g.: RTL sites that did use a mr-4 explicitly).   update default browserslist   explicitly include/exclude Lightning CSS features   update tests based on new browserslist and include/exclude features from Lightning CSS   update integration tests   prefer user browserslist, fallback to built-in browserslist   always include Nesting   If a custom browserslist config is used, then we don't explicitly set the include/exclude features from Lightning CSS (except for nesting, we always want to process nesting)   ensure to fallback to the current working directory   update changelog ",0
compare the correct values in Jest tests,0.3118412,JIT: Ignore arbitrary values with unbalanced brackets (#5293),,0
Move unknown pseudo elements outside of :is (#11345),0.71501476,"Don’t move unknown pseudo-elements to the end of selectors (#10943, #10962)",  More pseudo elements outside of :is by default   Update changelog ,1
Make the Rust based parser the default (#11394),0.44067013,Rewrite default class extractor (#8204),  add failling test using array syntax without space delimiter   add Rust test with candidates in array without spaces   Fix JS arrays without spaces   make the oxideParser the default   sync feature flags with reality   use better example in tests to be more real   skip failing tests in the RegEx parser   update changelog   make clippy happy    Co-authored-by: Jordan Pittman jordan@cryptica.me,0
Ensure the oxide parser has feature parity with the stable RegEx parser (#11389),0.4882394,Fix matchVariants that use at-rules and placeholders (#8392),"  WIP   use parse instead of defaultExtractor   skip Vue describe block   add a few more dedicated arbitrary values/properties tests   use parallel parsing   splitup Vue tests   add some Rust specific tests   setup parse candidate strings test system   These tests will run against the Regex and Rust based parsers. We have groups of classes of various shapes and forms + variants and rendered in various template situation (plain, html, Vue, ...)   enable all skipped tests   ensure we also validate the classes with variants   The classes with variants are built in the templateTable function, so we get them out again by using the potional arguments of the test.each cb function.   cleanup test suite   add ""anti-test"" tests   To make sure that we are not parsing out certain values given a certain input.   Add ParseAction enum   Restart parsing following an arbitrary parse failure   Split variants off before validating the uility part   Collapse candidate from the end when validation fails   Support <, and > in variant position   fix error   format parser.rs   Refactor   Update editorconfig   wip   wip   Refactor   Refactor   Simplify   wip   wip   wip   wip   wip   wip   wip   run cargo clippy --fix   run cargo fmt   implement cargo clippy suggestions   These were not applied using cargo clippy --fix  only allow . in the candidate part when surrounded by 0-9  This is only in the candidate part, not the arbitrary part.   % characters can only appear at the end after digits    and < should only be part of variants (start OR end)    It can technically be inside the candidate when we have stacked variants: dark:<sm:underline dark:md>:underline   handle parsing utilities within quotes, parans or brackets   mark pt-1.5 as an expected value sliced out from [""pt-1.5""]   Add cursor abstraction   wip   disable the oxideParser if using a custom prefix or separator   update tests   Use cursor abstraction   Refactor more code toward use of global cursor   wip   simplify   Simplify   Simplify   Simplify   Cleanup   wip   Simplify   wip   Simplify   Handle candidates ending with % sign   Tweak code a bit   fmt   Simplify   Add cursor details to trace   cargo fmt   use preferred zoom-0.5 name instead of zoom-.5   drop over-extracted utilities in oxide parser   The RegEx parser does extract underline from ```html  ``` ... but that's not needed and is not happening in the oxide parser This means that we have to make the output check a little bit different but they are explicit based on the feature flag.   allow extracting variants+utilities inside {} for the oxide parser   characters in candidates such as group-${id} should not be allowed   do not extract any of the following candidate w-[foo-bar]w-[bar-baz]   ensure we can consume the full candidate and discard it   Add fast skipping of whitespace   Use fast skipping whenever possible   Add fast skipping to benchmark   Hand-tune to generate more optimized assembly   Move code around a bit   This makes sure all the fancy SIMD stuff is as early as possible. This results in an extremely minor perf increase.  Undo tweak  no meaningful perf difference in real world scenarios  Disable fast skipping for now  It needs to be done in a different spot so it doesn’t affect how things are returned   Change test names   Fix normalize config error   cleanup a bit   Cleanup   Extract validation result enum   Cleanup comments   Simplify   Fix formatting   Run clippy   wip   add md> under the special characters test set    Co-authored-by: Adam Wathan 4323180+adamwathan@users.noreply.github.com Co-authored-by: Jordan Pittman jordan@cryptica.me",0
Bump lightningcss dependency (#11388),0.6030095,Temporarily move postcss to dependencies (#7424),"  bump lightningcss   allow for non-standard selector combinators such as ::deep   just use Prettier when comparing CSS results   We were using 2 different engines where the stable one was not using Lightning CSS and the Oxide one was using Lightning CSS. To ensure that we didn't have to rewrite every single test expectation, the toMatchFormattedCss parsed both the actual and expected value using Lightning CSS (to make the result similar), then it used Prettier to make it... pretty. Right now we only use Lightning CSS, which means that we can drop the additional lightningcss format step and just use Prettier on both the actual and expected values. Pretty also only prettifies the CSS, it doesn't rewrite it. E.g.: @media (min-width: 768px) will not be optimized to @media (width >= 768px), that's something that Lightning CSS does for us. This will require some changes in our test output, but it will be consistent afterwards because there won't be hidden transformation steps anymore. Because up until now it could be that the actual result was color: black but the tests showed color: #000 (because it is shorter). This change will reflect reality.   update tests based on previous commit   only use toMatchFormattedCss instead of toMatchCss   They both do the exact same thing right now. While toMatchCss is shorter, toMatchFormattedCss makes a bit more sense since we are comparing the Prettier results.  update integration tests",0
