Index,Message,Description,Message Abstract,Description Abstract
1790,Update changelog,,Update changelog,
1791,Ensure changes to withOptions plugins trigger rebuilds,,Ensure changes to withOptions plugins trigger rebuilds,
1792,Update changelog,,Update changelog,
1793,Update postcss-nested to version 5.0.1 (#2595),Co-authored-by: depfu[bot] 23717796+depfu[bot]@users.noreply.github.com,Update postcss-nested to version 5.0.1 (#2595),Co-authored-by: depfu[bot] 23717796+depfu[bot]@users.noreply.github.com
1794,Update postcss-js to version 3.0.1 (#2594),Co-authored-by: depfu[bot] 23717796+depfu[bot]@users.noreply.github.com,Update postcss-js to version 3.0.1 (#2594),Co-authored-by: depfu[bot] 23717796+depfu[bot]@users.noreply.github.com
1795,Remove eslint-config-postcss,,Remove eslint-config-postcss,
1796,Update autoprefixer,,Update autoprefixer,
1797,Bust module cache,,Bust module cache,
1798,Trigger CI,,Trigger CI,
1799,Upgrade postcss: 7.0.32 → 8.1.1 (major) (#2593),  Update postcss to version 8.1.1   Update main plugin format for PostCSS 8   Move postcss to peerDependencies   Remove postcss from dependencies   Co-authored-by: depfu[bot] 23717796+depfu[bot]@users.noreply.github.com Co-authored-by: Adam Wathan adam.wathan@gmail.com,Upgrade postcss: 7.0.32 → 8.1.1 (major) (#2593),Update postcss to version 8.1.1 Update main plugin format for PostCSS 8 Move postcss to peerDependencies Remove postcss from dependencies Co-authored-by: depfu[bot] 23717796+depfu[bot]@users.noreply.github.com Co-authored-by: Adam Wathan adam.wathan@gmail.com
1800,Update changelog,,Update changelog,
1801,Remove word-wrap fallback for IE11,,Remove word-wrap fallback for IE11,
1802,Prettier likes parens a lot now,git blame is now broken forever.,Prettier likes parens a lot now,git blame is now broken forever.
1803,Upgrade @fullhuman/postcss-purgecss: 2.3.0 → 3.0.0 (major) (#2589),  Update @fullhuman/postcss-purgecss to version 3.0.0   Replace whitelist with safelist   Co-authored-by: depfu[bot] 23717796+depfu[bot]@users.noreply.github.com Co-authored-by: Adam Wathan adam.wathan@gmail.com,Upgrade @fullhuman/postcss-purgecss: 2.3.0 → 3.0.0 (major) (#2589),Update @fullhuman/postcss-purgecss to version 3.0.0 Replace whitelist with safelist Co-authored-by: depfu[bot] 23717796+depfu[bot]@users.noreply.github.com Co-authored-by: Adam Wathan adam.wathan@gmail.com
1804,Don't warn about future flags,,Don't warn about future flags,
1805,"Revert ""Automatically add featureFlags.future flags to the configuration files whenever the init command is ran (#2379)""",This reverts commit f72158c87f2ac1b1357d856dd79567c4329b5525.,"Revert ""Automatically add featureFlags.future flags to the configuration files whenever the init command is ran (#2379)""",This reverts commit f72158c87f2ac1b1357d856dd79567c4329b5525.
1806,Update changelog,,Update changelog,
1807,Add SFMono-Regular to default mono font stack,,Add SFMono-Regular to default mono font stack,
1808,Improve font stack with standard font families,,Improve font stack with standard font families,
1809,Update eslint to version 7.10.0,,Update eslint to version 7.10.0,
1810,Update all of babel7 to version 7.11.6,,Update all of babel7 to version 7.11.6,
1811,Update eslint-config-prettier to version 6.12.0,,Update eslint-config-prettier to version 6.12.0,
1812,Update all of jest to version 26.5.2,,Update all of jest to version 26.5.2,
1813,Update color to version 3.1.3,,Update color to version 3.1.3,
1814,Update postcss-selector-parser to version 6.0.4,,Update postcss-selector-parser to version 6.0.4,
1815,Update GitHub actions script,,Update GitHub actions script,
1816,Update prettier,,Update prettier,
1817,Update jest,,Update jest,
1818,Update chalk,,Update chalk,
1819,Switch prepare to prepublishOnly,,Switch prepare to prepublishOnly,
1820,Update fs-extra,,Update fs-extra,
1821,Update autoprefixer,,Update autoprefixer,
1822,Bump eslint from 6.8.0 to 7.5.0 (#2046),Bumps eslint from 6.8.0 to 7.5.0. - Release notes - Changelog - Commits Signed-off-by: dependabot-preview[bot] support@dependabot.com Co-authored-by: dependabot-preview[bot] 27856297+dependabot-preview[bot]@users.noreply.github.com,Bump eslint from 6.8.0 to 7.5.0 (#2046),Bumps eslint from 6.8.0 to 7.5.0. - Release notes - Changelog - Commits Signed-off-by: dependabot-preview[bot] support@dependabot.com Co-authored-by: dependabot-preview[bot] 27856297+dependabot-preview[bot]@users.noreply.github.com
1823,Update changelog,,Update changelog,
1824,"Drop support for Node.js 8 and 10, require 12.13 (#2582)",,"Drop support for Node.js 8 and 10, require 12.13 (#2582)",
1825,Update animation plugin to use nameClass,,Update animation plugin to use nameClass,
1826,Fix lint errors,,Fix lint errors,
1827,Rename default variant to DEFAULT,,Rename default variant to DEFAULT,
1828,Update all core plugins to use the same class name generation strategy,,Update all core plugins to use the same class name generation strategy,
1829,Replace special handling of 'default' with 'DEFAULT',,Replace special handling of 'default' with 'DEFAULT',
1830,Update bug-report.md,,Update bug-report.md,
1831,Remove scrolling-touch/auto utilities (#2573), Remove scrolling-touch/auto utilities  No longer supported by iOS as of iOS 13.  Update changelog,Remove scrolling-touch/auto utilities (#2573),Remove scrolling-touch/auto utilities No longer supported by iOS as of iOS 13. Update changelog
1832,Update changelog,,Update changelog,
1833,Switch from normalize.css to modern-normalize,,Switch from normalize.css to modern-normalize,
1834,Update test,,Update test,
1835,Update changelog,,Update changelog,
1836,Warn users who still have target in their config file,,Warn users who still have target in their config file,
1837,Update test,,Update test,
1838,Remove fallback colors,,Remove fallback colors,
1839,Remove target feature,,Remove target feature,
1840,Move truncate to textOverflow (#2562),  Move truncate to textOverflow   Update changelog ,Move truncate to textOverflow (#2562),Move truncate to textOverflow Update changelog
1841,Update changelog,,Update changelog,
1842,,Add ellipsis and no-ellipsis utilities  Co-authored-by: Benoît Rouleau benoit.rouleau@icloud.com,Add ellipsis and no-ellipsis utilities,Co-authored-by: Benoît Rouleau benoit.rouleau@icloud.com
1843,Update test fixtures,,Update test fixtures,
1844,Update changelog,,Update changelog,
1845,1.9.2,,1.9.2,
1846,Update changelog,,Update changelog,
1847,Use word-wrap and overflow-wrap since word-wrap is not supported in Chrome et al,,Use word-wrap and overflow-wrap since word-wrap is not supported in Chrome et al,
1848,Merge plugins when resolving config (#2561),,Merge plugins when resolving config (#2561),
1849,1.9.1,,1.9.1,
1850,Update changelog,,Update changelog,
1851,Don't import corePlugins in resolveConfig (#2548),,Don't import corePlugins in resolveConfig (#2548),
1852,Update CHANGELOG.md (#2546),unreleased hyperlink,Update CHANGELOG.md (#2546),unreleased hyperlink
1853,Update changelog,,Update changelog,
1854,Update CHANGELOG.md (#2545),,Update CHANGELOG.md (#2545),
1855,1.9.0,,1.9.0,
1856,Update changelog,,Update changelog,
1857,Update changelog,,Update changelog,
1858,use word-wrap instead of overflow-wrap when targeting ie11 (#2391),,use word-wrap instead of overflow-wrap when targeting ie11 (#2391),
1859,Update changelog,,Update changelog,
1860,Support closures for colors in all circumstances (#2536),,Support closures for colors in all circumstances (#2536),
1861,Bump GitHub Actions runners (#2520),,Bump GitHub Actions runners (#2520),
1862,Rename max-content and min-content to max and min in experimental spacing scale (#2532),  Rename max-content and min-content to max and min in experimental spacing scale   Update changelog ,Rename max-content and min-content to max and min in experimental spacing scale (#2532),Rename max-content and min-content to max and min in experimental spacing scale Update changelog
1863,Add new utilities for grid-auto-columns and grid-auto-rows (#2531),  Add grid-auto-columns/rows utilities   Add responsive variants for auto-cols/rows utilities   Update changelog ,Add new utilities for grid-auto-columns and grid-auto-rows (#2531),Add grid-auto-columns/rows utilities Add responsive variants for auto-cols/rows utilities Update changelog
1864,Support disabling dark mode globally (#2530),  Support disabling dark mode globally   Update changelog ,Support disabling dark mode globally (#2530),Support disabling dark mode globally Update changelog
1865,"Add xl, 2xl, and 3xl border radius values (#2529)",,"Add xl, 2xl, and 3xl border radius values (#2529)",
1866,Update changelog,,Update changelog,
1867,Add smaller rotate and skew values (#2528),,Add smaller rotate and skew values (#2528),
1868,Improve accessibility story for custom focus styles (#2460),"  Improve accessibility story for custom focus styles   Update fixtures   Make outline configurable, add white/black dotted outlines   Update changelog ",Improve accessibility story for custom focus styles (#2460),"Improve accessibility story for custom focus styles Update fixtures Make outline configurable, add white/black dotted outlines Update changelog"
1869,Support new presets key + extending core plugins config (#2474),  WIP   Support array for Tailwind config   Drop array format for presets key instead   Update changelog ,Support new presets key + extending core plugins config (#2474),WIP Support array for Tailwind config Drop array format for presets key instead Update changelog
1870,Update CHANGELOG.md (#2516),,Update CHANGELOG.md (#2516),
1871,Update changelog,,Update changelog,
1872,Update CHANGELOG.md (#2513),,Update CHANGELOG.md (#2513),
1873,Update changelog,,Update changelog,
1874,Promote defaultLineHeights and standardFontWeights from experimental to future,,Promote defaultLineHeights and standardFontWeights from experimental to future,
1875,Update changelog,,Update changelog,
1876,add col- and row- span-full utility (#2471), add col- and row- span-full utility  add col-span-full and row-span-full per @flybayer in https://github.com/tailwindlabs/tailwindcss/discussions/2467#discussioncomment-87761  fixtures  Co-authored-by: swyx wanshawn@amazon.com,add col- and row- span-full utility (#2471),add col- and row- span-full utility add col-span-full and row-span-full per @flybayer in link fixtures Co-authored-by: swyx wanshawn@amazon.com
1877,Add experimental 2xl breakpoint (#2468),,Add experimental 2xl breakpoint (#2468),
1878,Ignore any tailwind.config.js files,,Ignore any tailwind.config.js files,
1879,Don't escape keyframes (#2432),  Don't escape keyframes   Update changelog ,Don't escape keyframes (#2432),Don't escape keyframes Update changelog
1880,Automatically add featureFlags.future flags to the configuration files whenever the init command is ran (#2379),  Add --future flag to CLI   Remove early exit   Always add future flags but commented out   Update replace regex   Remove future CLI flag   Update tests ,Automatically add featureFlags.future flags to the configuration files whenever the init command is ran (#2379),Add --future flag to CLI Remove early exit Always add future flags but commented out Update replace regex Remove future CLI flag Update tests
1881,Fix version from CHANGELOG (#2387),,Fix version from CHANGELOG (#2387),
1882,1.8.12,,1.8.12,
1883,Update changelog,,Update changelog,
1884,Set color opacity variable when colors are defined as functions (#2515),"  Always set color opacity variable, even if color cannot be parsed   Only set color opacity when it might be used ",Set color opacity variable when colors are defined as functions (#2515),"Always set color opacity variable, even if color cannot be parsed Only set color opacity when it might be used"
1885,1.8.11,,1.8.11,
1886,Add default interop to tailwindcss/plugin,Fixes Skypack version of tailwindcss/plugin,Add default interop to tailwindcss/plugin,Fixes Skypack version of tailwindcss/plugin
1887,1.8.10,,1.8.10,
1888,Update changelog,,Update changelog,
1889,Allow variant plugins to tell Tailwind they should stack (#2382),"  Fix unwanted stacking behavior on any non-darkModeVariant ""dark"" variant (#2380)   Add failing tests for non-darkModeVariant ""dark"" variant stacking behavior   Fix unwanted non-darkModeVariant ""dark"" variant stacking (by making the failing test pass)   Add unstable_stack option for variants to tell Tailwind they should stack   Update eslint to allow unstable_ variables   Update changelog   Co-authored-by: Navith 28162694+JakeNavith@users.noreply.github.com",Allow variant plugins to tell Tailwind they should stack (#2382),"Fix unwanted stacking behavior on any non-darkModeVariant ""dark"" variant (#2380) Add failing tests for non-darkModeVariant ""dark"" variant stacking behavior Fix unwanted non-darkModeVariant ""dark"" variant stacking (by making the failing test pass) Add unstable_stack option for variants to tell Tailwind they should stack Update eslint to allow unstable_ variables Update changelog Co-authored-by: Navith 28162694+JakeNavith@users.noreply.github.com"
1890,1.8.9,,1.8.9,
1891,Update changelog,,Update changelog,
1892,Don't propogate apply !important option to non-apply rules (#2376), Don't propogate apply !important option to non-apply rules  Fixes #2362.  Update changelog,Don't propogate apply !important option to non-apply rules (#2376),Don't propogate apply !important option to non-apply rules Fixes #2362. Update changelog
1893,Update changelog,,Update changelog,
1894,Add commented future keys to complete config stub,,Add commented future keys to complete config stub,
1895,Reorder entries in simpleConfig stub,,Reorder entries in simpleConfig stub,
1896,Add future property to simpleconfig stub (#2372),  Add future property to simpleconfig stub   Add future flags manually ,Add future property to simpleconfig stub (#2372),Add future property to simpleconfig stub Add future flags manually
1897,Update changelog,,Update changelog,
1898,Add negative spacing values to inset plugin (#2358),,Add negative spacing values to inset plugin (#2358),
1899,1.8.8,,1.8.8,
1900,Update changelog,,Update changelog,
1901,Register dark mode plugin outside of resolveConfig code path (#2368),,Register dark mode plugin outside of resolveConfig code path (#2368),
1902,1.8.7,,1.8.7,
1903,Update changelog,,Update changelog,
1904,Safeguard against trailing slash in purge matches (#2364),,Safeguard against trailing slash in purge matches (#2364),
1905,1.8.6,,1.8.6,
1906,Update changelog,,Update changelog,
1907,Fix issue where container padding not applied when using object syntax (#2353),,Fix issue where container padding not applied when using object syntax (#2353),
1908,Update changelog,,Update changelog,
1909,1.8.5,,1.8.5,
1910,Make resolveConfig compatible with feature flag configs (#2347),  Make resolveConfig compatible with feature flag configs   Update changelog ,Make resolveConfig compatible with feature flag configs (#2347),Make resolveConfig compatible with feature flag configs Update changelog
1911,Remove extra space character,,Remove extra space character,
1912,1.8.4,,1.8.4,
1913,"Make standardFontWeights experimental until v1.9, update changelog",,"Make standardFontWeights experimental until v1.9, update changelog",
1914,Update changelog,,Update changelog,
1915,Complex apply stuck (#2271),  dry-up duplication   fix: apply inside a nested structure ,Complex apply stuck (#2271),dry-up duplication fix: apply inside a nested structure
1916,Fix issue where dark variant in 'class' mode was incompatible with 'group-hover' variant (#2337),  Fix issue where dark variant in 'class' mode was incompatible with 'group-hover' variant   Update changelog ,Fix issue where dark variant in 'class' mode was incompatible with 'group-hover' variant (#2337),Fix issue where dark variant in 'class' mode was incompatible with 'group-hover' variant Update changelog
1917,Test that plugins can extend variants,,Test that plugins can extend variants,
1918,Rename hairline and thin font weights to thin and extralight (#2333),  Add standardFontWeights flag for update thin/extralight font weight names   Update changelog ,Rename hairline and thin font weights to thin and extralight (#2333),Add standardFontWeights flag for update thin/extralight font weight names Update changelog
1919,Fix issue where inserting extra PurgeCSS control comments could break integrated PurgeCSS support (#2331),,Fix issue where inserting extra PurgeCSS control comments could break integrated PurgeCSS support (#2331),
1920,Update CHANGELOG,,Update CHANGELOG,
1921,1.8.3,,1.8.3,
1922,Only warn about conservative purge mode once per process,,Only warn about conservative purge mode once per process,
1923,Do atrocious things to sneak past minifiers for font-variant-numeric utilities,,Do atrocious things to sneak past minifiers for font-variant-numeric utilities,
1924,1.8.2,,1.8.2,
1925,Update CHANGELOG,,Update CHANGELOG,
1926,Fix issue where dark mode experiment won't work if user has plugins array in config (#2322),,Fix issue where dark mode experiment won't work if user has plugins array in config (#2322),
1927,update changelog,,update changelog,
1928,Fix purging in 1.8 (#2320),  re-add missing @layer's for responsive rules   use toMatchCss for better diffing   do not wrap user @responsive rules in an @layer ,Fix purging in 1.8 (#2320),re-add missing @layer's for responsive rules use toMatchCss for better diffing do not wrap user @responsive rules in an @layer
1929,1.8.1,,1.8.1,
1930,fix(font-variant-numeric): drop extra s (#2318),  drop extra s   update changelog ,fix(font-variant-numeric): drop extra s (#2318),drop extra s update changelog
1931,1.8.0,,1.8.0,
1932,Update changelog,,Update changelog,
1933,Move custom CSS within layers to corresponding Tailwind layer (#2312),  Move custom CSS within layers to corresponding Tailwind layer   Update changelog ,Move custom CSS within layers to corresponding Tailwind layer (#2312),Move custom CSS within layers to corresponding Tailwind layer Update changelog
1934,Support defining variants as functions for easier extending (#2309),  Support defining variants as functions for easier extending   Fix style   Remove commented code   Add 'without' helper to variant function API   Update changelog ,Support defining variants as functions for easier extending (#2309),Support defining variants as functions for easier extending Fix style Remove commented code Add 'without' helper to variant function API Update changelog
1935,Add missing grid alignment utilities (#2306),  added suppot for justify-self   Update fixtures   Add remaining grid alignment utilities   Update changelog   Co-authored-by: Felix Alcala felix.alcala@gmail.com,Add missing grid alignment utilities (#2306),added suppot for justify-self Update fixtures Add remaining grid alignment utilities Update changelog Co-authored-by: Felix Alcala felix.alcala@gmail.com
1936,Add fontVariantNumeric utilities (#2305),  Add fontVariantNumeric utilities   Don't generate fontVariantNumeric utilities in IE11 target mode ,Add fontVariantNumeric utilities (#2305),Add fontVariantNumeric utilities Don't generate fontVariantNumeric utilities in IE11 target mode
1937,Make PR references in CHANGELOG links,,Make PR references in CHANGELOG links,
1938,"Add ""Unreleased"" section to CHANGELOG",,"Add ""Unreleased"" section to CHANGELOG",
1939,Mark features as experimental in changelog,,Mark features as experimental in changelog,
1940,Use compare links for CHANGELOG version links,,Use compare links for CHANGELOG version links,
1941,Format CHANGELOG with Prettier,It was going to happen by accident one day.,Format CHANGELOG with Prettier,It was going to happen by accident one day.
1942,"Use single backticks in CHANGELOG, not double",,"Use single backticks in CHANGELOG, not double",
1943,Linkified release versions in changelog (#2297),"Brackets around releases in Keep a Changelog standard are link anchors, not decorative.",Linkified release versions in changelog (#2297),"Brackets around releases in Keep a Changelog standard are link anchors, not decorative."
1944,Update CHANGELOG.md (#2296),Found some nissing backticks.,Update CHANGELOG.md (#2296),Found some nissing backticks.
1945,Update CHANGELOG.md (#2294),,Update CHANGELOG.md (#2294),
1946,Update CHANGELOG formatting (#2292),,Update CHANGELOG formatting (#2292),
1947,Create Changelog.md (#2291),,Create Changelog.md (#2291),
1948,"Purge layers by default, deprecate conservative mode (#2288)","  Purge layers by default, deprecate conservative mode   Ensure base styles are wrapped in @layer   Update processPlugins test ","Purge layers by default, deprecate conservative mode (#2288)","Purge layers by default, deprecate conservative mode Ensure base styles are wrapped in @layer Update processPlugins test"
1949,chore(package.json): tailwindcss->tailwindlabs (#2277),,chore(package.json): tailwindcss->tailwindlabs (#2277),
1950,Don't associate custom CSS with a layer by default,,Don't associate custom CSS with a layer by default,
1951,Preserve HTML elements by default when purging unused styles (#2283),,Preserve HTML elements by default when purging unused styles (#2283),
1952,Add dark mode variant (#2279),  Initial dark mode prototype   Isolate dark mode logic to config extension   Update fixtures   Fix lint warnings ,Add dark mode variant (#2279),Initial dark mode prototype Isolate dark mode logic to config extension Update fixtures Fix lint warnings
1953,fix typo (#2276),  fix typo   Update purgeUnusedStyles.test.js ,fix typo (#2276),fix typo Update purgeUnusedStyles.test.js
1954,1.7.6,,1.7.6,
1955,Update yarn.lock,,Update yarn.lock,
1956,Merge pull request #2269 from tailwindlabs/fix-promise-finally,use explicit .then and .catch instead of .finally for node 8.x,Merge pull request #2269 from tailwindlabs/fix-promise-finally,use explicit .then and .catch instead of .finally for node 8.x
1957,use explicit .then and .catch instead of .finally for node 8.x,,use explicit .then and .catch instead of .finally for node 8.x,
1958,suppress console.warn logs in tests,This makes the test output a bit nicer to look at,suppress console.warn logs in tests,This makes the test output a bit nicer to look at
1959,improve custom toMatchCss matcher,,improve custom toMatchCss matcher,
1960,Don't return when updating declaration important,,Don't return when updating declaration important,
1961,Add test for applying hover class with !important,,Add test for applying hover class with !important,
1962,Merge pull request #2260 from pkboom/missing-return,fix missing return,Merge pull request #2260 from pkboom/missing-return,fix missing return
1963,fix missing return,,fix missing return,
1964,1.7.5,,1.7.5,
1965,Update lodash,,Update lodash,
1966,1.7.4,,1.7.4,
1967,Tweak help text,,Tweak help text,
1968,Merge pull request #2225 from tailwindlabs/add-postcss-init-option,add tailwind -p init option to generate a postcss file,Merge pull request #2225 from tailwindlabs/add-postcss-init-option,add tailwind -p init option to generate a postcss file
1969,Merge pull request #2211 from tailwindlabs/apply-to-rule-with-multiple-selectors,Fix issue where couldn't apply variant classes to rule with multiple selectors,Merge pull request #2211 from tailwindlabs/apply-to-rule-with-multiple-selectors,Fix issue where couldn't apply variant classes to rule with multiple selectors
1970,add tailwind -p init option to generate a postcss file,,add tailwind -p init option to generate a postcss file,
1971,Merge pull request #2208 from tailwindlabs/cache-node-modules-on-ci,Cache node modules in CI,Merge pull request #2208 from tailwindlabs/cache-node-modules-on-ci,Cache node modules in CI
1972,Merge pull request #2224 from tailwindlabs/fix-multiline-apply,Fix multiline @apply values,Merge pull request #2224 from tailwindlabs/fix-multiline-apply,Fix multiline @apply values
1973,ensure we expect the correct amount of assertions,"It is a bit of noise but it will ensure that we don't have false positives. For example when you have the following code: js it('should fail', () => {   return promise.catch((err) => {     expect(err).toBeInstanceOf(Error)   }); }); You would expect that the test passes because we have an expect in the .catch block. However if the promise just resolves it means that no assertions are executed and the test is considered successful. So in this case it will also call but for the incorrect reasons!",ensure we expect the correct amount of assertions,"It is a bit of noise but it will ensure that we don't have false positives. For example when you have the following code: js it('should fail', () => {   return promise.catch((err) => {     expect(err).toBeInstanceOf(Error)   }); }); You would expect that the test passes because we have an expect in the .catch block. However if the promise just resolves it means that no assertions are executed and the test is considered successful. So in this case it will also call but for the incorrect reasons!"
1974,"split @apply values by spaces, tabs and newlines",Fixes: #2222,"split @apply values by spaces, tabs and newlines",Fixes: #2222
1975,Remove unused import,,Remove unused import,
1976,Fix issue where couldn't apply variant classes to rule with multiple selectors,,Fix issue where couldn't apply variant classes to rule with multiple selectors,
1977,Add test coverage for purging with important string,,Add test coverage for purging with important string,
1978,cache node modules in CI,,cache node modules in CI,
1979,1.7.3,,1.7.3,
1980,Merge pull request #2198 from tailwindlabs/bg-none,Add bg-none utility,Merge pull request #2198 from tailwindlabs/bg-none,Add bg-none utility
1981,Add bg-none utility,,Add bg-none utility,
1982,Merge pull request #2205 from jmooring/issue-2203,Log to stderr instead of stdout,Merge pull request #2205 from jmooring/issue-2203,Log to stderr instead of stdout
1983,Log to stderr instead of stdout,Fixes #2203,Log to stderr instead of stdout,Fixes #2203
1984,Remove unused function,,Remove unused function,
1985,Don't log anything for people who have opted in to future features,,Don't log anything for people who have opted in to future features,
1986,"Pass opacityValue to gradient colors for transparency support, do not pass opacityVariable since unused",,"Pass opacityValue to gradient colors for transparency support, do not pass opacityVariable since unused",
1987,Merge branch 'fix/color-object-closures' of git://github.com/innocenzi/tailwindcss into innocenzi-fix/color-object-closures,,Merge branch 'fix/color-object-closures' of git://github.com/innocenzi/tailwindcss into innocenzi-fix/color-object-closures,
1988,1.7.2,,1.7.2,
1989,Merge pull request #2195 from tailwindlabs/reuse-lookup,Optimize rebuilds in long-running processes,Merge pull request #2195 from tailwindlabs/reuse-lookup,Optimize rebuilds in long-running processes
1990,Only log purge notice once per process,,Only log purge notice once per process,
1991,Optimize rebuilds in long-running processes,,Optimize rebuilds in long-running processes,
1992,1.7.1,,1.7.1,
1993,Don't issue duplicate flag notices in long running processes,,Don't issue duplicate flag notices in long running processes,
1994,test(gradientColorStops): ensure opacity variables are generated,,test(gradientColorStops): ensure opacity variables are generated,
