Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
1,early-out for self-swap,0.42948475,Now Using Peer Dependencies,,0
2,updated hit test on polygon,0.7077743,Re-added missing polygon tests #3786,,1
3,"Refactors bundles exports, more consistent generation of bundles (v5) (#4475)",0.5893464,BatchRenderer refactoring to increase performance (#6162),,0
4,destroy WebGLRenderer,0.8296894,- Fix an issue with WebGL destroy(),,1
5,Merge branch 'dev---mask-fix' into dev,0.5064735,"Cleanup devDependencies, don't require package order (#7664) @bigtimebuddy ",,0
6,Destroy generated textures in extract (#4562),0.76404977,Destroy generated RenderTexture in extract plugin #4562,,1
7,Removed sourceScale from spriteSheet calculations,0.65586865,Improving SVG handling in Spritesheets with sourceScale support #4271,,0
8,test swapChildren,0.668366,"Implement swapChildren (#431, @namuol)",,0
9,"Clean up gruntfile and package.json, use grunt for yuidocs",0.56595594,package.json,,0
10,"Reformat documentation for ArcUtils, BatchPart, BezierUtils, QuadraticUtils, drawStar (#8169)",0.63691926,Fix Geometry/Attribute stride documentation (#7825) @dev7355608 ,,0
11,Improves minifying for release bundles (#4719),0.6204617,Move VERSION to core instead of bundle (#8520) @bigtimebuddy ,,0
12,Fix Graphics fillStyle instead of lineStyle (#6226),1.0000004,Fix Graphics fillStyle instead of lineStyle (#6226),,1
13,replace polyK with earcut,0.797624,- Convert graphics to use earcut instead of a custom PolyK impl (#1772).,,1
14,hotfix v2.2.1,0.81608415,:fire: Hotfix,,1
15,interaction tweak,0.66834635,- Fix some issues with interaction manager.,,0
16,Bump floss for 3.0 & codecov integration (#5792),1.0,Bump floss for 3.0 & codecov integration (#5792),,1
17,Replaces toJSON with clone in Graphics LineStyle  (#5207),1.0000001,Replaces toJSON with clone in Graphics LineStyle  (#5207),,1
18,"Remove AbstractRenderer, move its functionality to Systems (#8331)",0.84382415,"Remove AbstractRenderer, move its functionality to Systems (#8331, #8469, #8666) @GoodBoyDigital @bigtimebuddy ",,1
19,Support for beefy by removing browserify config (#3306),0.7276254,Remove browser builds for packages (#8626) @bigtimebuddy ,,1
20,Merge branch 'alvin/dev' into dev,0.4380769,Updates dev dependency (#5089),,0
21,Merge pull request #853 from Fishrock123/dev,0.49800676,Fix: Prevent BlobResource.load from loading the data multiple times (#9331) @dev7355608 ,,0
22,uvRespectAnchor for CanvasRenderer (#3648),0.8769691,TilingSprite.uvRespectAnchor works with CanvasRenderer #3648 ,,1
23,Made sure default resolutions are all 1,0.65696275,Supports resolutions less than 1 (#5836),,0
24,"Revert ""Adds .npmignore file""",0.683547,Add a blank .npmignore file to fix #3183 ,,0
25,fixed blur issue on IOS,0.6474769,iOS8 alpha bug fixed,,0
26,Docs updated and files published,0.7151372,Doc updates and minor API updates/fixes,,1
27,Merge pull request #3515 from finscn/patch-25,0.4877655,Fix unbind issue when using different targets (#6914),,0
28,Add blit in Renderer.generateTexture (#7633),0.76139295,Fix example code for RenderTexture.create (#6559),,1
29,GraphicsGeometry documentation function signature (#7084),0.7636025,Graphics documentation and typing fixes (#5544),,1
30,Update InteractionManager.js,0.6854998,Add option to disable the built-in InteractionManager updater (#6308),,0
31,Merge pull request #2963 from gameofbombs/dev4,0.55518377,Fix: Prevent BlobResource.load from loading the data multiple times (#9331) @dev7355608 ,,0
32,Merge pull request #1601 from ivanpopelyshev/v2.x,0.5205965,Fix SVGResource test for data-URIs (#8655) @ivanpopelyshev,,0
33,moar jshint fixes,0.6412477,js,,0
34,Remove display package dependency within core (#6450),0.9999999,Remove display package dependency within core (#6450),,1
35,Merge pull request #465 from SowingSadness/patch-1,0.49978298,"Splits the BasePrepare.register(addHook,uploadHook) into 2 separate methods registerFindHook and registerUploadHook #3830",,0
36,Added Canvas Renderer resolution,0.81395066,Restructured the canvas renderer,,1
37,rename testset,0.59383094,Adds container recalculate transform tests #3666,,0
38,Chore: Add strict null checks to misc scripts (#9247),0.6625002,Chore: Add strict null checks to @pixijs/utils (#8960) @Emobe ,,0
39,Convert the render functions to take options instead of args (#7260),0.9999999,Convert the render functions to take options instead of args (#7260),,1
40,Fix Assets missing types (#8651),0.8116145,Fix Assets missing types (#8651) @Zyie,,1
41,"Change grey to gray, silly English...",0.3849839,};,,0
42,Fix types for Renderer resolution (#9209),0.9052099,Fix types for Renderer resolution (#9209) @baseten ,,1
43,Better SVG support (#2614),0.99576163,Better SVG support #2614,,1
44,Merge pull request #2347 from sktt/dev,0.4753142,Fix unbind issue when using different targets (#6914),,0
45,Fix PIXI.Texture.removeTextureFromCache(),0.79766285,PIXI.Texture.fromImage moves to PIXI.Texture.from,,1
46,litte fix to filters,0.84640163,Fix filter clamping #3030 ,,1
47,Merge pull request #3 from chalgoman/patch-3,0.50326884,Fix SpritesheetLoader to pass metadata to all multipacks (#7745) @Gawlas ,  Fix: Add background type to IRenderer   Add missing autoDensity property to IRenderer ,0
48,Fix example code for RenderTexture.create (#6559),0.9999999,Fix example code for RenderTexture.create (#6559),,1
49,Remove transpile hacks,0.5740037,Externalized PIXI.utils.removeItems to module remove-array-items #3977 ,,0
50,Docs to show correct default settings on plane constructor (#5061),0.9999996,Docs to show correct default settings on plane constructor (#5061),Co-authored-by: Alex Prokop alex.prokop@play.co,1
51,updated version,0.90079576,Updated,,1
52,Chore: refactor DOM-based side effects (#8307),0.8316856,Refactor DOM-based side effects (#8307) @bigtimebuddy ,,1
53,"merge #1186, implement fixes for video texture in FF",0.6746888,Fix rendering to multisampled framebuffers (#7422) @dev7355608 ,,0
54,Suppress Chrome warning about multiple readbacks (#8746),0.92517835,Suppress Chrome warning about multiple readbacks (#8746) @bigtimebuddy ,,1
55,Skip rounding if frame or bindingSourceFrame is empty (#8092),0.97328866,Skip rounding if frame or bindingSourceFrame is empty (#8092) @dev7355608 ,,1
56,updates!,0.7870716,Updated,,1
57,Fixes issue with cleaning killing folders in node_modules,0.57830596,"    ""moduleResolution"": ""node"",",,0
