Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
ColorGradientFilter - Make alpha and maxColors optional when using CSS (#382),0.68600696,Add alpha property to ColorOverlayFilter (#287) @gregmax17,,0
Fix types for getters/setters in HslAdjustmentFilter (#383),0.62131894,"Add HslAdjustmentFilter (#369, #370, #375, #378) @vikpe ",,0
v5.2.1,0.42184696,Initial release,,0
Fix getter and setter alpha type in GlowFilter (#380),0.9818125,Fix getter and setter alpha type in GlowFilter (#380) @viniciusbitt ,,1
v5.2.0,0.46889257,Fix v5 deprecation warning (#235),,0
HslAdjustmentFilter: Update calculations of saturation and lightness (#378),0.52383256,ColorReplaceFilter,,0
Use offset for DropShadowFilter instead of rotation/distance (#377),0.96652234,Use offset for DropShadowFilter instead of rotation/distance (#377) @bigtimebuddy,,1
Add more complete docs for HslAdjustmentFilter (#375),0.6384548,"Add HslAdjustmentFilter (#369, #370, #375, #378) @vikpe ",Co-authored-by: Viktor Persson vikpe@users.noreply.github.com,0
Convert TiltShiftFilter constructor arguments to options (#376),0.96946776,Convert TiltShiftFilter constructor arguments to options (#376) @bigtimebuddy,,1
Disallow warning with linting (#374),0.8903199,Disallow warning with linting (#374) @bigtimebuddy ,,1
Fix lint warnings in demo application (#373),0.5501521,Disallow warning with linting (#374) @bigtimebuddy ,,0
Add knockout setting to OutlineFilter (#372),0.9081601,Add knockout setting to OutlineFilter (#372) @vikpe ,,1
"Fix actions deprecations, auto-deploy bundle files (#371)",0.9587513,"Fix actions deprecations, auto-deploy bundle files (#371) @bigtimebuddy ",,1
Add HSL adjustment filter to readme (#370),0.5541289,Add filterClamp option to KawaseBlur #144,,0
Add ColorGradientFilter (#362),0.8225268,Adds ColorOverlayFilter (#214),,1
Add HslAdjustmentFilter (#369),0.83190465,"Add HslAdjustmentFilter (#369, #370, #375, #378) @vikpe ",,1
Chore: Readme cleanup (#368),0.65448904,"Chore: Update README typos, missing GrayscaleFilter (#357) @bigtimebuddy ",,0
Touch readme.,0.36401263,Fix typo in readme (#153),(to trigger CI),0
