Index,Message,Description
1,fix: defaults broken in shell.openExternal() options (#38038),Co-authored-by: Milan Burda miburda@microsoft.com
2,ci: update appveyor image to latest version (#38015),build: update appveyor image to latest version Co-authored-by: jkleinsc jkleinsc@users.noreply.github.com
3,build: fix Codespaces prebuilds with missing comma (#38052),Add missing comma
4,fix: crash in utilityProcess when generating code from strings (#38014),
5,chore: remove --no-harmony-atomics related code (#38030),chore: remove --no-harmony-atomics related code
6,test: re-enable reporting specs (#35936),
7,feat: add thermal states to powerMonitor (#37935),  feat: add thermal states to powerMonitor   update docs 
8,chore: bump chromium to 114.0.5719.0 (main) (#38017),  chore: bump chromium in DEPS to 114.0.5719.0   chore: update patches   revert eb07a797ccea2bc46b94cbc875173801cc5eefee    Co-authored-by: electron-roller[bot] 84116207+electron-roller[bot]@users.noreply.github.com Co-authored-by: PatchUp 73610968+patchup[bot]@users.noreply.github.com Co-authored-by: Jeremy Rose jeremya@chromium.org
9,chore: bump node to v18.16.0 (main) (#37973),"  chore: bump node in DEPS to v18.16.0   build,test: add proper support for IBM i   https://github.com/nodejs/node/pull/46739  lib: enforce use of trailing commas  https://github.com/nodejs/node/pull/46881  src: add initial support for single executable applications  https://github.com/nodejs/node/pull/45038  lib: do not crash using workers with disabled shared array buffers  https://github.com/nodejs/node/pull/41023  src: remove shadowed variable in OptionsParser::Parse  https://github.com/nodejs/node/pull/46672  src: allow embedder control of code generation policy  https://github.com/nodejs/node/pull/46368  src: allow optional Isolate termination in node::Stop()  https://github.com/nodejs/node/pull/46583  lib: fix BroadcastChannel initialization location  https://github.com/nodejs/node/pull/46864   chore: fixup patch indices   chore: sync filenames.json   fix: add simdutf dep to src/inspector BUILD.gn   https://github.com/nodejs/node/pull/46471   https://github.com/nodejs/node/pull/46472   deps: replace url parser with Ada   https://github.com/nodejs/node/pull/46410  tls: support automatic DHE  https://github.com/nodejs/node/pull/46978   fixup! src: add initial support for single executable applications   http: unify header treatment   https://github.com/nodejs/node/pull/46528  fix: libc++ buffer overflow in string_view ctor  https://github.com/nodejs/node/pull/46410  test: include strace openat test  https://github.com/nodejs/node/pull/46150  fixup! fixup! src: add initial support for single executable applications   Co-authored-by: electron-roller[bot] 84116207+electron-roller[bot]@users.noreply.github.com Co-authored-by: Shelley Vohr shelley.vohr@gmail.com"
10,build: bump dependencies to clean yarn audit (#37998),  build: bump dependencies to clean yarn audit   build: add url 
11,feat: add did-resign-active event on app (#37933),feat: add did-resign-active event on app
12,ci: update appveyor image to latest version (#37817),build: update appveyor image to latest version Co-authored-by: jkleinsc jkleinsc@users.noreply.github.com
13,chore: bump chromium to 114.0.5715.0 (main) (#37976),  chore: bump chromium in DEPS to 114.0.5712.0   chore: update patches   4401084: Remove extensions::InfoMap which is no longer needed. | https://chromium-review.googlesource.com/c/chromium/src/+/4401084   4415646: Add more details to print settings error log | https://chromium-review.googlesource.com/c/chromium/src/+/4415646   chore: bump chromium in DEPS to 114.0.5714.0   chore: update patches   chore: update libcxx filenames   chore: bump chromium in DEPS to 114.0.5715.0   chore: update patches   fix extensions test    Co-authored-by: electron-roller[bot] 84116207+electron-roller[bot]@users.noreply.github.com Co-authored-by: PatchUp 73610968+patchup[bot]@users.noreply.github.com Co-authored-by: VerteDinde vertedinde@electronjs.org Co-authored-by: Jeremy Rose jeremya@chromium.org
14,build: fix building with no PDF support (#38003),
15,docs: add note to win.setFullScreen(flag) (#37921),docs: add note to win.setFullScreen(flag)
16,chore: replace uses of ComPtr::GetAddressOf() with ComPtr::operator& (#37948),chore: replace uses of ComPtr::GetAddressOf() with ComPtr::operator&
17,docs: update github.com links (#37958),
18,chore: drop patch for fixed Linux menus issue in Views (#37984),
19,chore: fix lint (#37971),
20,chore: disable flaky node test (#37900),
21,fix: defaultFontFamily in webPreferences (#37863),  fix: defaultFontFamily in webPreferences   chore: check if default_font_family_ is empty 
22,fix: swipe event emission on macOS (#37946),
23,docs: Fix the syntax error for code fragment (#37939),"By using app.on('ready').then(xxx), application will throw a TypeError"
24,docs: update 22-x-y EOL dates (#37955),To account for https://www.electronjs.org/blog/electron-22-0#windows-7881-support-update Not sure if it is worth adding as a historical change though
25,chore: bump chromium to 114.0.5710.0 (main) (#37950),  chore: bump chromium in DEPS to 114.0.5710.0   chore: update patches   4411421: [json-schema-compiler] Support separating numbers in enum entries | https://chromium-review.googlesource.com/c/chromium/src/+/4411421   4400251: Remove MayBlock and TaskShutdownBehavior from BrowserTaskTraits | https://chromium-review.googlesource.com/c/chromium/src/+/4400251    Co-authored-by: electron-roller[bot] 84116207+electron-roller[bot]@users.noreply.github.com Co-authored-by: Keeley Hammond vertedinde@electronjs.org Co-authored-by: VerteDinde keeleymhammond@gmail.com
26,ci: only remove blocked/need-repro on comment (#37879),
27,feat: remove on(ready) requirement from powerMonitor (#37937),
