Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
1,Updated translation template.,0.8225247,Updated translations,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: AppCenter/AppCenter (Extra) Translate-URL: https://l10n.elementary.io/projects/appcenter/extra/",1
2,Release 3.6.1 (#1566),0.5289179,AppCenter 0.2.6 is out!,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: AppCenter/AppCenter Translate-URL: https://l10n.elementary.io/projects/appcenter/appcenter/",0
3,Add recent changes to appdata (#1209),0.66971576,Update application details when changes happen outside of AppCenter,Currently translated at 100.0% (263 of 263 strings) Translation: AppCenter/AppCenter Translate-URL: https://l10n.elementary.io/projects/appcenter/appcenter/tr/,0
4,Release 3.2.2 (#1225),0.5690049,appcenter 3.2.0 is out! ,,0
5,Create CODE_OF_CONDUCT.md (#337),0.41582817,* Add conditional compilation for disabling dynamic remote homepage content,  meson: Add flags for backends   Use flags to enable PackageKit and Ubuntu  Driver functions   BackendInterface: Remove unused code   MainWindow: Update label early   CI: Add job to build AppCenter Flatpak-only   CI: Fix add job to build AppCenter Flatpak-only   Update src/Core/Package.vala   Homepage: Only load placeholder banner if packagekit is enabled    Co-authored-by: Ryan Kornheisl ryan@skarva.tech,0
6,Translated using Weblate (Kurdish),0.60838073,- Updated translations,Currently translated at 93.9% (247 of 263 strings) Translation: AppCenter/AppCenter Translate-URL: https://l10n.elementary.io/projects/appcenter/appcenter/tr/,0
7,Release 0.2.3,0.61736906,appcenter 3.2.0 is out! ,Currently translated at 93.9% (247 of 263 strings) Translation: AppCenter/AppCenter Translate-URL: https://l10n.elementary.io/projects/appcenter/appcenter/tr/,0
8,Show version of update when an update is available,0.74430513,* Present update availability more accurately,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: AppCenter/AppCenter (Extra) Translate-URL: https://l10n.elementary.io/projects/appcenter/extra/",1
9,Fix badge color in dark style (#1408),0.6790333,Improve update badge styling and category styling,"Updated by ""Update PO files to match POT (msgmerge)"" hook in Weblate. Translation: AppCenter/AppCenter Translate-URL: https://l10n.elementary.io/projects/appcenter/appcenter/",0
10,Use a single Hdy.Deck for navigation (#1874),0.44719288,Rewritten navigation with multitouch gestures to go back,,0
11,Translated using Weblate (Danish),0.62936836,- Updated translations,,0
12,Check for null window before updating its content (#719),0.522545,Manually check for new updates,Currently translated at 100.0% (46 of 46 strings) Translation: AppCenter/AppCenter (Extra) Translate-URL: https://l10n.elementary.io/projects/appcenter/extra/id/,0
13,CategoryFlowBox: fix margins (#1681),0.58222544,CategoryView: Fix crash by @meisenzahl in https://github.com/elementary/appcenter/pull/1993,Currently translated at 100.0% (264 of 264 strings) Translation: AppCenter/AppCenter Translate-URL: https://l10n.elementary.io/projects/appcenter/appcenter/id/,0
