Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Docs: Fix quotes in readme example (#573),0.4404683,Update README.md by @eirslett in link,Single quotes should be used Run prettier format,0
v0.4.2,0.43457335,Support vite 3.1 by @IanVS in link,,0
Fix MDX1 in Windows environments (#560),0.87393165,Fix mdx1 in Windows by @joshwooding in link,,1
v0.4.1,0.42835808,Support vite 3.1 by @IanVS in link,,0
Inject mdx compiler for mdx1 (#556),0.91407204,Inject mdx compiler for mdx1 by @IanVS in link,"fixes link I found that mdx was not working correctly here, and @valentinpalkovic realized my fallback in Storybook 7 wasn't either (link).  It was because we used to inject the mdx compiler into the source code that we get back from the @storybook/mdx1-csf compiler, but we lost that in link.  This re-introduces it, with a bit better of a guarantee that the correct version is going to be loaded, by starting from inside @storybook/mdx1-csf. I've also pinned mdx1-csf here, in case the import is moved from the loader to the compiler, as @shilman has suggested doing.  We'll need to adjust this if that happens.",1
Allow the use of @vitejs/plugin-react-swc (#552),0.83998114,Allow the use of @vitejs/plugin-react-swc by @IanVS in link,"Fixes link This will first look for @vitejs/plugin-react, then @vitejs/plugin-react-swc.  It seems like the SWC version might not work with MDX stories, though.  I updated the react-18 example to use it, and the intro story doesn't load.  I don't think that should necessarily block this PR though. Allow the use of @vitejs/plugin-react-swc Use react-plugin-swc in react-18 example Fix NODE_PATH in all examples Fix peer dependencies Fix update-examples script",1
v0.4.0,0.46096253,Support vite 3.1 by @IanVS in link,,0
Update @vitejs/plugin-react dependency for vite 4 (#548),0.8213656,"To fully support Vite 4, we've updated our mdx handling to no longer require the use of @vitejs/plugin-react.  This means that non-react projects will no longer be getting that plugin added to their projects, and react projects will need to make sure they include it as a dependency (changes to viteFinal are not required).","Fixes link This also updates the version of mdx1-csf to one that no longer requires the use of the react vite plugin to compile jsx, it handles compilation itself.  So, we no longer need to include @vitejs/plugin-react in all projects, and react projects will need to make sure it's installed.  That makes this a breaking change. And this also updates Vite to 4 in the examples, and fixes some missing dependencies. Co-authored-by: Josh Wooding 12938082+joshwooding@users.noreply.github.com",1
Add Node limit,0.25612825,Add support for preact by @maxbeatty in link,,0
v0.3.0,0.5409401,Support vite 3.1 by @IanVS in link,,0
Update Readme (#546),0.70375955,Update README by @IanVS in link,,1
Breaking: Update peer dependencies for Vite 4 (#545),0.9135185,Breaking: Update peer dependencies for Vite 4 by @IanVS in link,Breaking: Update peer dependencies for Vite 4 Update react-docgen-typescript plugin Update examples Add update-examples script to install in all examples Update readme,1
v0.2.7,0.46496898,Support vite 3.1 by @IanVS in link,,0
feat: allow definition of stories in vue files (#505),0.9367087,feat: allow definition of stories in vue files by @tobiasdiez in link,feat: allow definition of stories in vue files Update vite-config.ts Update inject-export-order-plugin.ts Update codegen-importfn-script.ts Update code-generator-plugin.ts Update packages/builder-vite/vite-config.ts Co-authored-by: Ian VanSchooten ian.vanschooten@gmail.com Update packages/builder-vite/code-generator-plugin.ts Co-authored-by: Ian VanSchooten ian.vanschooten@gmail.com Update packages/builder-vite/inject-export-order-plugin.ts Co-authored-by: Ian VanSchooten ian.vanschooten@gmail.com Update packages/builder-vite/source-loader-plugin.ts Co-authored-by: Ian VanSchooten ian.vanschooten@gmail.com Update packages/builder-vite/plugins/vue-docgen.ts Co-authored-by: Ian VanSchooten ian.vanschooten@gmail.com Co-authored-by: Ian VanSchooten ian.vanschooten@gmail.com,1
v0.2.6,0.47992063,Support vite 3.1 by @IanVS in link,,0
Pin version of react-docgen (#531),0.91988146,Pin version of react-docgen by @IanVS in link,Pin version of react-docgen Update example yarn.lock files,1
v0.2.5,0.48790807,Support vite 3.1 by @IanVS in link,,0
Fix bail not being defined (#510),0.82645077,Fix bail not being defined by @joshwooding in link,,1
v0.2.4,0.45442942,Support vite 3.1 by @IanVS in link,,0
Re-add typescript check when adding react-docgen-typescript plugin (#509),0.94107556,Re-add typescript check when adding react-docgen-typescript plugin by @joshwooding in link,,1
Fix vue 2.x selection logic (#508),0.84588134,Fix vue 2.x selection logic by @IanVS in link,"Fixes: link This corrects the vue 2.6 / 2.7 logic, and also finds a slightly-better way to handle module resolution from within builder-vite when running examples.  Instead of adding dev dependencies into the builder, this sets a node_path environment variable, so that the node_modules of the example is used as a global lookup from within the builder.",1
v0.2.3,0.49804813,Support vite 3.1 by @IanVS in link,,0
Don't publish yarn cache,0.35686827,Default Cache Directory Conflict Resolution by @GuyGooL5 in link,,0
fix: add missing peer deps (#500),0.79958,fix: add missing peer deps by @adalinesimonian in link,"fix: add missing peer deps fix: add vue-docgen-api peer dep, improve error chore: update yarn.lock Update lockfile of packages Co-authored-by: Ian VanSchooten ian.vanschooten@gmail.com",1
