Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
Docs: Fix quotes in readme example (#573),0.35547984,Fix markdown import in mdx by @joshwooding in https://github.com/storybookjs/builder-vite/pull/429,  Single quotes should be used   Run prettier format ,0
v0.4.2,0.42972398,"Note: version 0.1.40 accidentally included breaking changes, which are not included in this version.",,0
Fix MDX1 in Windows environments (#560),0.6475047,Fix mdx1 in Windows by @joshwooding in https://github.com/storybookjs/builder-vite/pull/560,,0
v0.4.1,0.42504305,"Note: version 0.1.40 accidentally included breaking changes, which are not included in this version.",,0
Inject mdx compiler for mdx1 (#556),0.7046163,"To enable experimental MDX2 in a project, follow this guide: gist.github.com/shilman/6ff2d7e18db8846e8fc552fb432ae4f6","fixes https://github.com/storybookjs/builder-vite/issues/557 I found that mdx was not working correctly here, and @valentinpalkovic realized my fallback in Storybook 7 wasn't either (https://github.com/storybookjs/storybook/pull/20823).  It was because we used to inject the mdx compiler into the source code that we get back from the @storybook/mdx1-csf compiler, but we lost that in https://github.com/storybookjs/builder-vite/pull/548/files#diff-f2dfc4dfa9074d77a728a88e6629a1d66be8a0765cab8562526cd00fbae910e5L6.  This re-introduces it, with a bit better of a guarantee that the correct version is going to be loaded, by starting from inside @storybook/mdx1-csf. I've also pinned mdx1-csf here, in case the import is moved from the loader to the compiler, as @shilman has suggested doing.  We'll need to adjust this if that happens.",1
Allow the use of @vitejs/plugin-react-swc (#552),0.8257847,Allow the use of @vitejs/plugin-react-swc by @IanVS in https://github.com/storybookjs/builder-vite/pull/552,"Fixes https://github.com/storybookjs/builder-vite/issues/551 This will first look for @vitejs/plugin-react, then @vitejs/plugin-react-swc.  It seems like the SWC version might not work with MDX stories, though.  I updated the react-18 example to use it, and the intro story doesn't load.  I don't think that should necessarily block this PR though.   Allow the use of @vitejs/plugin-react-swc   Use react-plugin-swc in react-18 example   Fix NODE_PATH in all examples   Fix peer dependencies   Fix update-examples script ",1
v0.4.0,0.44625664,"Note: version 0.1.40 accidentally included breaking changes, which are not included in this version.",,0
Update @vitejs/plugin-react dependency for vite 4 (#548),0.8213656,"To fully support Vite 4, we've updated our mdx handling to no longer require the use of @vitejs/plugin-react.  This means that non-react projects will no longer be getting that plugin added to their projects, and react projects will need to make sure they include it as a dependency (changes to viteFinal are not required).  ","Fixes https://github.com/storybookjs/builder-vite/issues/547 This also updates the version of mdx1-csf to one that no longer requires the use of the react vite plugin to compile jsx, it handles compilation itself.  So, we no longer need to include @vitejs/plugin-react in all projects, and react projects will need to make sure it's installed.  That makes this a breaking change. And this also updates Vite to 4 in the examples, and fixes some missing dependencies.  Co-authored-by: Josh Wooding 12938082+joshwooding@users.noreply.github.com",1
Add Node limit,0.14760415,"react-docgen: exclude node_modules, make configurable by @IanVS in https://github.com/storybookjs/builder-vite/pull/338",,0
v0.3.0,0.50332403,"If you'd like to continue using Vite 3, please stick with 0.2.x versions of this package.",,0
Update Readme (#546),0.511861,"Note: version 0.1.40 accidentally included breaking changes, which are not included in this version.",,0
