,Time
0,245408.0
1,519.0
2,246252.0
3,282890.0
4,181294.0
5,72202.0
6,4561.0
7,315757.0
8,25428.0
9,229394.0
10,173773.0
11,323973.0
12,201211.0
13,215796.0
14,481.0
15,103181.0
16,356487.0
17,85.0
18,159187.0
19,286955.0
20,279820.0
21,384603.0
22,193.0
23,4865.0
24,108651.0
25,536831.0
26,224.0
27,87165.0
28,188.0
29,98308.0
30,414494.0
31,442310.0
32,3319.0
33,6485.0
34,216948.0
35,205901.0
36,173850.0
37,69191.0
38,294620.0
39,10675.0
40,147395.0
41,26004.0
42,44149.0
43,196416.0
44,23478.0
45,203488.0
46,1696.0
47,67228.0
48,433303.0
49,16108.0
50,148181.0
51,152053.0
52,222732.0
53,248280.0
54,86725.0
55,61556.0
56,156237.0
57,197651.0
58,102700.0
59,127127.0
60,159497.0
61,289557.0
62,2501.0
63,3909.0
64,229.0
65,176530.0
66,29263.0
67,38391.0
68,175338.0
69,189589.0
70,58050.0
71,4151.0
72,40168.0
73,73149.0
74,136585.0
75,129640.0
76,92069.0
77,337933.0
78,51070.0
79,178352.0
80,252712.0
81,84278.0
82,41729.0
83,107426.0
84,144652.0
85,191693.0
86,110257.0
87,5205.0
88,296741.0
89,198808.0
90,134545.0
91,178484.0
92,93848.0
93,122494.0
94,57929.0
95,129119.0
96,34.0
97,76268.0
98,166287.0
99,88098.0
100,71187.0
101,87349.0
102,195330.0
103,8515.0
104,168584.0
105,114046.0
106,219404.0
107,30614.0
108,4990.0
109,14164.0
110,1295.0
111,214891.0
112,225540.0
113,90506.0
114,109455.0
115,124303.0
116,366478.0
117,143695.0
118,8152.0
119,286454.0
120,168931.0
121,82690.0
122,253634.0
123,57828.0
124,130645.0
125,84766.0
126,111232.0
127,102925.0
128,241483.0
129,217939.0
130,150784.0
131,596033.0
132,217300.0
133,170118.0
134,776742.0
135,680064.0
136,346587.0
137,455565.0
138,707.0
139,1264.0
140,530274.0
141,312010.0
142,580240.0
143,394814.0
144,51409.0
145,700285.0
146,88039.0
147,398026.0
148,247606.0
149,241100.0
150,358349.0
151,497188.0
152,65758.0
153,153113.0
154,283380.0
155,320182.0
156,129176.0
157,108084.0
158,81482.0
159,216048.0
