Index,Message,Description,Message Abstract,Description Abstract
1,Mention that gnirehtet is not actively maintained,,Mention that gnirehtet is not actively maintained,
2,Cargo update,"Execute ""cargo update"" to update dependencies for the versions listed in Cargo.toml. Fixes #475 https://github.com/Genymobile/gnirehtet/issues/475",Cargo update,"Execute ""cargo update"" to update dependencies for the versions listed in Cargo.toml. Fixes #475 link"
3,Remove useless borrowing,,Remove useless borrowing,
4,Prefix unused field by _,The 'version' field is only used in tests (gnirehtet only supports IPv4).,Prefix unused field by _,The 'version' field is only used in tests (gnirehtet only supports IPv4).
5,Fix trailing semicolon warning, warning: trailing semicolon in macro used in expression position,Fix trailing semicolon warning,warning: trailing semicolon in macro used in expression position
6,Read process output before waiting,"The process may stuck because its output buffer is full, but the output was consumed only after the process was terminated, causing a deadlock. Consume process output before waiting for process termination to fix the problem. Refs #369 https://github.com/Genymobile/gnirehtet/issues/369 Refs #370 https://github.com/Genymobile/gnirehtet/pull/370 Co-authored-by: tusenpo tusenpo@pinduoduo.com",Read process output before waiting,"The process may stuck because its output buffer is full, but the output was consumed only after the process was terminated, causing a deadlock. Consume process output before waiting for process termination to fix the problem. Refs #369 link Refs #370 link Co-authored-by: tusenpo tusenpo@pinduoduo.com"
7,Fix datagram buffer remaining size,"In the Java version, a datagram was incorrectly rejected if its size was exactly the remaining buffer size (this was harmless). In the Rust version, the datagram buffer considered it had enough space if a packet was 1 byte too big (causing packet overwriting). Refs #345 https://github.com/Genymobile/gnirehtet/issues/345",Fix datagram buffer remaining size,"In the Java version, a datagram was incorrectly rejected if its size was exactly the remaining buffer size (this was harmless). In the Rust version, the datagram buffer considered it had enough space if a packet was 1 byte too big (causing packet overwriting). Refs #345 link"
8,Fix typo in comment,,Fix typo in comment,
9,Add Homebrew instructions to the README,Signed-off-by: Romain Vimont rom@rom1v.com,Add Homebrew instructions to the README,Signed-off-by: Romain Vimont rom@rom1v.com
10,Update release v2.5 links in README,,Update release v2.5 links in README,
11,Bump version to 2.5,,Bump version to 2.5,
12,Fix deprecation and other warnings,Reported by clippy and rustc. PR #284 https://github.com/Genymobile/gnirehtet/pull/284 Signed-off-by: Romain Vimont rom@rom1v.com,Fix deprecation and other warnings,Reported by clippy and rustc. PR #284 link Signed-off-by: Romain Vimont rom@rom1v.com
13,Use sufficient buffer size,"The buffer size (2^12 bytes) to read a packet from the VPN was smaller than the largest possible packet (2^16 bytes), causing packets to be truncated. Increase the buffer size to fix the problem. Fixes #273 https://github.com/Genymobile/gnirehtet/issues/273",Use sufficient buffer size,"The buffer size (2^12 bytes) to read a packet from the VPN was smaller than the largest possible packet (2^16 bytes), causing packets to be truncated. Increase the buffer size to fix the problem. Fixes #273 link"
14,Fix code style,,Fix code style,
15,Add more packet data logs,,Add more packet data logs,
16,Log packet data as verbose logs,,Log packet data as verbose logs,
17,Add a missing space in logs,,Add a missing space in logs,
18,Improve packet logging,"If verbose is enabled, print the packet size and the 20 first bytes (the IP header) only in a single line.",Improve packet logging,"If verbose is enabled, print the packet size and the 20 first bytes (the IP header) only in a single line."
19,Remove useless parentheses,,Remove useless parentheses,
20,Remove useless return type,"The monitor() function just loops, it cannot fails.",Remove useless return type,"The monitor() function just loops, it cannot fails."
21,Allow to set a custom path for client APK,Use the environment variable GNIREHTET_APK to use a custom path for the gnirehtet client. Ref https://github.com/Genymobile/gnirehtet/issues/90,Allow to set a custom path for client APK,Use the environment variable GNIREHTET_APK to use a custom path for the gnirehtet client. Ref link
22,Allow to set a custom path for adb,Use the environment variable ADB to use a custom adb executable.,Allow to set a custom path for adb,Use the environment variable ADB to use a custom adb executable.
23,Update release v2.4 links in README,,Update release v2.4 links in README,
24,Bump version to 2.4,,Bump version to 2.4,
25,Update relay-rust dependencies,"Generated by ""cargo update"".",Update relay-rust dependencies,"Generated by ""cargo update""."
26,Update README and DEVELOP,The commands to run gnirehet manually have changed since commit f8681809a28a0073f791f0d9eae65da02ae73c3d.,Update README and DEVELOP,The commands to run gnirehet manually have changed since commit f8681809a28a0073f791f0d9eae65da02ae73c3d.
27,Rename config field,"Fix a checkstyle issue: the ""config"" parameter hid the class field.",Rename config field,"Fix a checkstyle issue: the ""config"" parameter hid the class field."
28,Merge pull request #210 from jessedusty:add_port_option,Add port option to allow multiple instances of the gnirehtet relay to run,Merge pull request #210 from jessedusty:add_port_option,Add port option to allow multiple instances of the gnirehtet relay to run
29,Add port -p option to rust relay,Signed-off-by: Romain Vimont rom@rom1v.com,Add port -p option to rust relay,Signed-off-by: Romain Vimont rom@rom1v.com
30,Add port -p option to java relay,Signed-off-by: Romain Vimont rom@rom1v.com,Add port -p option to java relay,Signed-off-by: Romain Vimont rom@rom1v.com
31,Reorder Android manifest,Declare permissions before the application tag (to make the linter happy).,Reorder Android manifest,Declare permissions before the application tag (to make the linter happy).
32,Upgrade targetSdkVersion to 29,,Upgrade targetSdkVersion to 29,
33,Do not panic on deregister(),A call to selector.deregister() may (unexpectedly) fail with Rust/MIO: https://github.com/Genymobile/gnirehtet/issues/136,Do not panic on deregister(),A call to selector.deregister() may (unexpectedly) fail with Rust/MIO: link
34,Merge pull request #209 from jessedusty/master,Fix #154 - relay dies with AssertionError,Merge pull request #209 from jessedusty/master,Fix #154 - relay dies with AssertionError
35,Fix cleanup race condition,"Fix race condition in Java due to timeout from no activity, misses the cleaning deadline by a small number of milliseconds. Fixes https://github.com/Genymobile/gnirehtet/issues/154 Evidence: Selected keys size 1 now: 1562790544556 nextCleaningDeadline 1562790662669 Selected keys size 0 now: 1562790662667 nextCleaningDeadline 1562790662669 selector.select() returned without any event, an invalid SelectionKey was probably been registered Selected keys size 0 now: 1562790662670 nextCleaningDeadline 1562790662669 Selected keys size 0 now: 1562790722672 nextCleaningDeadline 1562790722670 2019-07-10 16:32:02.673 I UDPConnection: UDP 10.0.0.2:31650 -> 208.67.222.222:53 Close Signed-off-by: Romain Vimont rom@rom1v.com",Fix cleanup race condition,"Fix race condition in Java due to timeout from no activity, misses the cleaning deadline by a small number of milliseconds. Fixes link Evidence: Selected keys size 1 now: 1562790544556 nextCleaningDeadline 1562790662669 Selected keys size 0 now: 1562790662667 nextCleaningDeadline 1562790662669 selector.select() returned without any event, an invalid SelectionKey was probably been registered Selected keys size 0 now: 1562790662670 nextCleaningDeadline 1562790662669 Selected keys size 0 now: 1562790722672 nextCleaningDeadline 1562790722670 2019-07-10 16:32:02.673 I UDPConnection: UDP 10.0.0.2:31650 -> 208.67.222.222:53 Close Signed-off-by: Romain Vimont rom@rom1v.com"
36,Require FOREGROUND_SERVICE,"Since Android 9, starting a foreground service requires a permission:  Apps wanting to use foreground services must now request the FOREGROUND_SERVICE permission first. This is a normal permission, so the system automatically grants it to the requesting app. Starting a foreground service without the permission throws a SecurityException.  https://developer.android.com/about/versions/pie/android-9.0-migration#tya",Require FOREGROUND_SERVICE,"Since Android 9, starting a foreground service requires a permission: Apps wanting to use foreground services must now request the FOREGROUND_SERVICE permission first. This is a normal permission, so the system automatically grants it to the requesting app. Starting a foreground service without the permission throws a SecurityException. link"
