Index,Commit Message Abstract,Score Abstract,Corresponding Changelog Sentence Abstract,Commit Desription Abstract,Label
1,Merge pull request #1760: Update Git to v2.34.0.vfs.0.0,0.7193414,1712: git-vfs: update to Git 2.30.0,index-parser: get the time in a cheaper way,1
2,Mac kext: Fix for vnode leak on kext unload.,0.5141011,- Fixed an issue on Mac where files were not being hydrated when signed as part of a build,"UtcNow spends a lot of time getting a very precise system time, including leap seconds and interpolation through QueryPerformanceCounter. Use Environment.TickCount (milliseconds since boot) instead, since that just retrieves a value in shared memory that the kernel keeps up to date. This value is still suitable for controlling how much log output index parsing produces. This UtcNow call consumes 15% of the time under GitIndexParser.ParseIndex. See link.",0
3,Removed wildcard matching while searching for downloaded installers,0.44484508,1685: minor path comparison fixup in ProductUpgrader,dependencies: resolve dependabot alerts,0
4,Add upgrader to convert placeholderlist to SQLite,0.8297475,Moves placeholder database into SQLite for better performance.,Update newtonsoft.json to 13.0.1 to mitigate exposure to security vulnerability associated with previous versions.,1
5,Mac kext: Sets deployment target to macOS 10.13 for all targets,0.5169585,Initial Mac platform native notifications,Update newtonsoft.json to 13.0.1 to mitigate exposure to security vulnerability associated with previous versions.,0
6,Rework Git version parsing into a single script,0.5948851,- Updated Git for a security issue.,The Nuget.Commmands package version 4.9.2 contains a known vulnerability. Fortunately we are no longer using this package and can mitigate by removing our reference to it.,0
7,Migrate log files to fresh directory if updating ACLs fails,0.47698516,See the full change log,,0
8,Mac kext: Adds assertion for disconnecting user client matching expected,0.42810532,Initial Mac platform native notifications,,0
9,StyleCop fixes,0.58097,- Other bug fixes,,0
10,Mac: Prevent double hydration and directory expansion,0.53598255,- Fixed an issue on Mac where files were not being hydrated when signed as part of a build,"This reverts commit 183f1965c0dda4b73aedfccc9f17a3ba2c0fd7c2, reversing changes made to 2cd3558ab4d5bb1f7e42d55dd07df43889eba47a.",0
11,Merge pull request #857: GitStatusCache: logging tweaks,0.5958123,"- Upgraded to Git 2.19. This version brings with it improvements to unpack_trees to speed up checkout, merge, reset, and rebase.",*.csproj: update MicroBuild package names,0
12,Fix StyleCop issues,0.5543112,- Other bug fixes,Necessary for new singing build changes.,0
13,tidy parent/child path creation in dehydrate tests,0.40285057,- No-op gvfs prefetch --hydrate performance is dramatically improved,Use index.lock and move writes to head and refs to the end of the run to make interrupted fastfetch operations less bad,0
14,Unify CommonAssemblyInfo usage by pulling it all into GVFS.cs.props,0.52315724,- We have improved how GVFS handles enlistments in junctions and mapped to a drive letter.,,0
15,DiagnoseVerb: Copy commit-graph files from info dir,0.6293481,- Disable commit-graph verify for performance concerns,,0
16,Add validation and tests for the sha value,0.4690173,- Commit-graph and multi-pack-index are validated after writing to eliminate corruption scenarios,,0
17,improve readme formatting,0.57242197,1750: Update Readme.md,,0
18,Update MirrorProvider for hardlink notification,0.44371656,Update components included with internal distribution,Deploy to winget via wingetcreate,0
19,Merge pull request #773: Improve termination of background Git processes during upgrade,0.61998606,"- Upgraded to Git 2.19. This version brings with it improvements to unpack_trees to speed up checkout, merge, reset, and rebase.",Remove the custom mjcheetham/update-winget task in favor of the wingetcreate tool.,0
20,More cleanup sparse (#1368),0.583338,Improves the rate of .gvfsCache cleanup.,"There were some build issues related to the install path moving from ""GVFS"" to ""VFS for Git"". The pack-file maintenance tests were flaky for reasons we've seen before on the Scalar side, so let's focus our efforts keeping the Scalar tests green.",0
21,LooseObjectsStep: Use ObjectExists() and other cleanups,0.44486365,Improves the rate of .gvfsCache cleanup.,"These are verified by the Scalar functional tests, anyway.",0
22,PR Feedback: Make upgrader Create method parameters consistent,0.52713656,- Improvements to compact and maintain the ModifiedPaths.dat database to help mitigate the problem of command perf degrading over time in an enlistment.,,0
23,Upgrader: blocking process set should be case insensitive,0.4594677,1685: minor path comparison fixup in ProductUpgrader,,0
24,Force untracked files to be shown when running status for Dehydrate and Include verbs,0.42716306,- Fixed an issue on Mac where files were not being hydrated when signed as part of a build,,0
25,Prefetch tests: Delete multi-pack-index before indexing a pack,0.5539125,* git multi-pack-index verify would run slowly if the objects directory had more than 2048 packfiles.,,0
26,Merge pull request #1010: Improve WriteWithoutClose \ CreateFileWithoutClose Stability,0.5558274,Pull Requests,,0
27,PR Feedback 1,0.48532808,Release notes,To address this: using the id parameter we can make sure it will always install this package.,0
28,Comment upkeep (#1321),0.5010454,1747: UpgradeVerb: write deprecation notice,,0
29,Merge pull request #1448 from github/use-dir-sep-char,0.5060883,Pull Requests,Adding the source parameter will make sure that the install command will actually install from winget,0
30,Enable more functional tests,0.5251695,"Other bug fixes, engineering improvements, and test reliability fixes.",Set up infrastructure for wingetcreate,0
31,build: migrate GVFS.FunctionalTests.LockHolder project,0.5804052,1678: BuildGVFSForWindows.bat: use nuget on PATH when possible,wingetcreate is a Windows exe and thus must be run on Windows. Updating our release-winget workflow accordingly.,0
32,Additional cleanup of PrjFSLib.cpp,0.6414002,Improves the rate of .gvfsCache cleanup.,Updating inno installer metadata to align with the specification outlined in github/git-fundamentals#700.,0
33,Merge pull request #1071 from jamill/github_upgrader_filesystem,0.50307196,Pull Requests,Updating necessary files to support spaces in paths when compiling VFS for Git.,0
34,Merge pull request #655 Dispose of unused LibGit2Repos,0.4909801,Pull Requests,The recommended way to install is now to use winget.,0
35,Mac ProjFS Kext: Disallows file/directory renames in offline roots,0.5029951,Switched over to use the Windows Projected File System (ProjFS) optional feature on RS4 and later. ProjFS is the new name for the GvFlt driver and its associated user mode library.,Co-authored-by: Victoria Dye vdye@github.com,0
36,Mac kext: Dynamically alloc virtualisation root array & resize when full.,0.52220356,- Improved the memory usage during MIDX computation.,Signed-off-by: Derrick Stolee dstolee@microsoft.com,0
37,Merge pull request #1446 Cleanup virtualizer tests,0.57308996,Improves the rate of .gvfsCache cleanup.,Upgrade update-winget action to v1.4,0
38,GitProcess: Enable lower ProcessPriorityClass,0.5686928,This includes the Git Credential Manager Core v2.0.394.50751.,This version allows us to update existing winget manifests by specifying a manifest's SHA if it already exists in microsoft/winget-pkgs. Pull Requests 178: Allow updates to existing winget manifests,0
39,Merge pull request #362 from kewillford/check_ignore,0.5297218,Pull Requests,See microsoft/git#405.,0
40,Merge pull request #856 from pmj/mac-kext-iocount-fix,0.45538744,Pull Requests,,0
41,ProductUpgradeTimer: remove unacceptable Environment.Exit(),0.9037197,1668: ProductUPgradeTimer: remove unacceptable Environment.Exit(),,1
42,Use a new log directory for upgrade logs to ensure correct ACLs and,0.6043246,See the full change log,Update Readme.md,0
43,Mac PrjFSLib: Makes offline I/O registration thread safe and refcounted,0.4720685,1658: ProjFSFilter: Be more robust to missing PowerShell,,0
44,Addressing various coding style code review comments,0.37343368,1741: Fix winget tag specification,Applying fix to prevent PRs into winget-pkgs from default branch of forks. See mjcheetham/update-winget#107 for more details.,0
45,Handle cleaning up modified paths when a folder is renamed,0.57229805,Adds additional logging for folder and file placeholder creation.,"We removed the old upgrader in #1746 but delayed creating its replacement. The plan was to use winget upgrade, but it is only experimental right now. Further, we would need to use winget list to determine if we needed winget install instead, and winget list is also experimental. The tool needs to mature more before we can create a dependency on it. Instead, warn a user that tries to upgrade with gvfs upgrade that this CLI is no longer supported and instead point them to the repository's README which can help with the latest update.",0
46,Migrate nuget feeds,0.72848296,- Upgrade supports NuGet feeds as a distribution source.,Fix for #1743 - do not exit early if no blobs found for a period when prefetching.,1
47,Ensure git-credential cmds are run with correct wrkdir,0.517666,This includes the Git Credential Manager Core v2.0.394.50751.,Signed-off-by: Derrick Stolee dstolee@microsoft.com,0
48,FolderDehydratePreviouslyDeletedFolders: add more validation,0.497509,- Commit-graph and multi-pack-index are validated after writing to eliminate corruption scenarios,"In testing, we see the installer hanging until the UI is killed. module Note, this is my first ever time editing an Inno Setup script or working with Pascal, so I may have gotten some things wrong :). Fixes #1739.",0
49,Mac kext: Outstanding message comment & code formatting cleanup.,0.52137065,Initial Mac platform native notifications,,0
50,Generate CommonAssemblyVersion.cs file on MacOS and update all SDK style projects to consume it.,0.56265044,1744: Overhaul build and project systems and drop Mac/POSIX code,Signed-off-by: Derrick Stolee dstolee@microsoft.com,0
51,Fix test that moved new folder outside the repo,0.53249085,- Fixes a copy failure when copying the upgrade tool to its temporary location.,,0
52,Merge pull request #1287 from github/diff-tree-result-relative,0.51902086,"- Upgraded to Git 2.19. This version brings with it improvements to unpack_trees to speed up checkout, merge, reset, and rebase.",,0
53,Merge pull request #1351 No longer set PATH for git process and remove use of gvfs hooks root,0.5933079,"- VFS for Git will prefetch commits and trees from a cache server in the background on a schedule, to improve the speed of user-initiated fetches, pulls, and pushes","Remove all code for the custom upgrader that ran the installer either from GitHub or from a NuGet feed. This leaves gvfs upgrade non-functional, but a replacement will follow that calls winget upgrade vfsforgit.",0
54,Update PowerShellRunner to support creating hardlinks,0.55207705,1658: ProjFSFilter: Be more robust to missing PowerShell,Fix winget tag specification,0
55,build: migrate GVFS.Common project,0.63504434,Instructions for installing and using GVFS are available at link,,0
56,Merge pull request #676 from nickgra/PrjFSRefactor,0.50413644,1658: ProjFSFilter: Be more robust to missing PowerShell,This leaves 'gvfs upgrade' non-functional Signed-off-by: Derrick Stolee dstolee@microsoft.com,0
57,Merge pull request #16 from rootulp/patch-1,0.5304987,Pull Requests,"This timer is responsible for checking if there is a new VFS for Git version on a timer, then launches a notification to GVFS.Service.UI. I was hoping to delete all of GVFS.Service.UI, but we need the toast notifications for when we attempt to auto-mount and have a failure. Signed-off-by: Derrick Stolee dstolee@microsoft.com",0
58,Code cleanup,0.63539195,Improves the rate of .gvfsCache cleanup.,,0
59,NuGetUpgrader: use transformed URL from feed URL for credentials,0.63421977,- Properly reacquire credentials during nuget upgrader,Signed-off-by: Derrick Stolee dstolee@microsoft.com,0
60,sparse: improve pattern matching related tests,0.38187802,1685: minor path comparison fixup in ProductUpgrader,"When I run the tests locally, these exits are hit every time. Something odd is happening. Signed-off-by: Derrick Stolee dstolee@microsoft.com",0
61,Keep the existing placeholders hashset up to date for reexpansion,0.512497,- Fixed an issue where some concurrent updates to the placeholder database would fail,Overhaul build and project systems and drop Mac/POSIX code,0
62,Merge pull request #1098 Update PrjFSKextLogDaemon to forward messages to GitServiceDaemon,0.57471895,"- VFS for Git will prefetch commits and trees from a cache server in the background on a schedule, to improve the speed of user-initiated fetches, pulls, and pushes",,0
63,Update PrjFSKextLogDaemon to monitor and record Vnode cache health,0.61668473,"- VFS for Git will pre-calculate status in the background in response to changes in the workdir, to improve the speed of user-initiated statuses.",,0
64,PR Feedback: Cleanup comments,0.4886273,General improvements:,,0
65,Merge pull request #600 Update Git to v2.20.0.vfs.1.1,0.68083906,1712: git-vfs: update to Git 2.30.0,,0
66,FunctionalTests: Use temporary branch to fix all tests,0.5425397,"Other bug fixes, engineering improvements, and test reliability fixes.",,0
67,Add more output to GeneratePrjFSVersionHeader.sh,0.5300938,1658: ProjFSFilter: Be more robust to missing PowerShell,,0
68,this should go in LinuxPlatform,0.4234922,1679: BuildGVFSForWindows.bat: use nuget on PATH,,0
69,Merge branch 'features/upgrade_extensibility' into more_service_acl_changes,0.47576016,"The merge strategy default is changed from recursive to ort which should present significant performance improvements for commands such as git merge, git rebase, and git cherry-pick. Huge thanks to external contributor @newren for creating this new merge strategy!","Simplify solution configurations (we only build on Windows x64 now) and remove solution-level project build order.. we now rely on MSBuild and ""real"" project-to-project dependencies.",0
70,Initial MacFileBasedLock implementation,0.53257334,Initial Mac platform native notifications,,0
71,Update some naming for post index changed hook,0.4783529,"- Post-index-change hook will help ensure consistency between Git and VFS for Git's reckoning of the state of the repository, and eliminate a class of bugs.",,0
72,"Merge pull request #1756: ""winget install microsoft-git"" finds entries in msstore",0.45803526,1741: Fix winget tag specification,,0
73,Fix AddStageTests on Windows,0.5263339,- Other bug fixes,,0
74,Merge pull request #373 Update Git to include tracing and fix for untracked files,0.6100241,"- Upgraded to Git 2.19. This version brings with it improvements to unpack_trees to speed up checkout, merge, reset, and rebase.",,0
75,sparse: allow dehydrate to continue if a directory delete fails,0.5119685,Git commands are now allowed to delete an empty directory,"Migrate the Windows installer project to the new build system, and also use wildcard inclusion of files in the Inno setup.",0
76,SharedCacheTests: Update WellKnownCommitSha,0.43902737,- Commit-graph and multi-pack-index are validated after writing to eliminate corruption scenarios,Replace the 'sign files' project with a 'payload' project and script (that gathers binaries for signing).,0
77,Add LogInfo / LogWarning messages to PrjFSLib,0.5579299,1683: GVFS.SignFiles.csproj: include more DLLs for signing,,0
78,VFSForGit installer non-relocatable,0.6668924,- A couple of fixes for using VS Code on top of VFS for Git.,,0
79,Add comment about where exit codes loading kext came from,0.36262798,1647: Fix commit-graph expiration,Also combine the GVFS.UnitTests and .Windows projects in to one project (it's all Windows now).,0
