Index,Release Note,Release Note Abstract
1,"
Support TypeScript and ESM Tailwind config files when using a version of tailwindcss that supports these (#738, #739)
Fix use of certain built-in node modules in config file (#745)
Exclude classes in blocklist from IntelliSense (#746)
Fix theme helper handling when specifying default value (#747)
Bump bundled version of tailwindcss to v3.3.0 (#749)
","Support TypeScript and ESM Tailwind config files when using a version of tailwindcss that supports these (#738, #739)
Fix use of certain built-in node modules in config file (#745)
Exclude classes in blocklist from IntelliSense (#746)
Fix theme helper handling when specifying default value (#747)
Bump bundled version of tailwindcss to v3.3.0 (#749)"
2,"
Fix first-party plugin usage when using bundled version of tailwindcss (#751)
",Fix first-party plugin usage when using bundled version of tailwindcss (#751)
3,"
Fix use of certain built-in node modules in config file (#745)
Exclude classes in blocklist from IntelliSense (#746)
Fix theme helper handling when specifying default value (#747)
Fix activation when connected to Windows with Remote SSH extension (#748)
Bump bundled version of tailwindcss to v3.3.0 (#749)
","Fix use of certain built-in node modules in config file (#745)
Exclude classes in blocklist from IntelliSense (#746)
Fix theme helper handling when specifying default value (#747)
Fix activation when connected to Windows with Remote SSH extension (#748)
Bump bundled version of tailwindcss to v3.3.0 (#749)"
4,"
Support TypeScript and ESM Tailwind config files when using a version of tailwindcss that supports these (currently tailwindcss@insiders, since tailwindlabs/tailwindcss#10785) (#738, #739)
","Support TypeScript and ESM Tailwind config files when using a version of tailwindcss that supports these (currently tailwindcss@insiders, since tailwindlabs/tailwindcss#10785) (#738, #739)"
5,"
Fix invalidTailwindDirective linting with CRLF file endings (#723)
Add support for Handlebars template scripts (<script type=""text/x-handlebars-template"">) (#726)
Improve JavaScript comment detection (#727)
Add modifier completions for @apply and classRegex setting (#732)
Add bundled version of @tailwindcss/container-queries (#733)
Support InitializeParams.rootUri (#725)
Add htmldjango to default supported languages (#721)
","Fix invalidTailwindDirective linting with CRLF file endings (#723)
Add support for Handlebars template scripts ("
6,"
Fix invalidTailwindDirective linting with CRLF file endings (#723)
Add support for Handlebars template scripts (<script type=""text/x-handlebars-template"">) (#726)
Improve JavaScript comment detection (#727)
Add modifier completions for @apply and classRegex setting (#732)
Add bundled version of @tailwindcss/container-queries (#733)
Support InitializeParams.rootUri (#725)
Add htmldjango to default supported languages (#721)
","Fix invalidTailwindDirective linting with CRLF file endings (#723)
Add support for Handlebars template scripts ("
7,"
Improve experimental.configFile in multi-root workspaces (#640)
Add documentation for @config completion (ea5aff5)
Boot language servers for nested workspace folders (#642)
Remove typescript from default languages (#645)
Fix duplicate color decorators (#652)
Improve theme helper detection (#655)
Add class modifier completions (#686)
Bump bundled version of tailwindcss to 3.2.4 (f07eedd)
Tweak theme helper detection (#689)
Remove marketplace ""preview"" tag (5932d20)
Add typescript to default languages (#690)
Fix document selector when tailwindCSS.experimental.configFile is a string (#693)
Fix IntelliSense for project paths containing brackets (#694)
Fix error when a files.excludes pattern contains braces (#696)
Fix activation on Windows when project path contains brackets (#699)
Improve completion list performance (#706)
Improve support for Tailwind class modifiers (#707)
Fix activation on Windows when using tailwindCSS.experimental.configFile setting (#708)
Don't watch directories above workspace root (#709)
Enable IntelliSense in entire workspace when there is exactly one active Tailwind project (#711)
","Improve experimental.configFile in multi-root workspaces (#640)
Add documentation for @config completion (ea5aff5)
Boot language servers for nested workspace folders (#642)
Remove typescript from default languages (#645)
Fix duplicate color decorators (#652)
Improve theme helper detection (#655)
Add class modifier completions (#686)
Bump bundled version of tailwindcss to 3.2.4 (f07eedd)
Tweak theme helper detection (#689)
Remove marketplace ""preview"" tag (5932d20)
Add typescript to default languages (#690)
Fix document selector when tailwindCSS.experimental.configFile is a string (#693)
Fix IntelliSense for project paths containing brackets (#694)
Fix error when a files.excludes pattern contains braces (#696)
Fix activation on Windows when project path contains brackets (#699)
Improve completion list performance (#706)
Improve support for Tailwind class modifiers (#707)
Fix activation on Windows when using tailwindCSS.experimental.configFile setting (#708)
Don't watch directories above workspace root (#709)
Enable IntelliSense in entire workspace when there is exactly one active Tailwind project (#711)"
8,"
Improve completion list performance (#706)
Improve support for Tailwind class modifiers (#707)
Fix activation on Windows when using tailwindCSS.experimental.configFile setting (#708)
Don't watch directories above workspace root (#709)
Enable IntelliSense in entire workspace when there is exactly one active Tailwind project (#711)
","Improve completion list performance (#706)
Improve support for Tailwind class modifiers (#707)
Fix activation on Windows when using tailwindCSS.experimental.configFile setting (#708)
Don't watch directories above workspace root (#709)
Enable IntelliSense in entire workspace when there is exactly one active Tailwind project (#711)"
9,"
Fix activation on Windows when project path contains brackets (#699)
",Fix activation on Windows when project path contains brackets (#699)
10,"
Fix error when a files.excludes pattern contains braces (#696)
",Fix error when a files.excludes pattern contains braces (#696)
