Index,Message,Description,Message Abstract,Description Abstract
1,v7.1.0,,v7.1.0,
2,Fix typo in Text.mdx (#434),"VSCode API docs says fontWeight should be type TextStyleFontWeight = ""bold"" | ""normal"" | ""bolder"" | ""lighter"" | ""100"" | ""200"" | ""300"" | ""400"" | ""500"" | ""600"" | ""700"" | ""800"" | ""900""",Fix typo in Text.mdx (#434),"VSCode API docs says fontWeight should be type TextStyleFontWeight = ""bold"" | ""normal"" | ""bolder"" | ""lighter"" | ""100"" | ""200"" | ""300"" | ""400"" | ""500"" | ""600"" | ""700"" | ""800"" | ""900"""
3,Expose root to injected components (#433),  Expose root to injected components   Change node version to see if it resolves github action issue    Co-authored-by: Zyie 24736175+Zyie@users.noreply.github.com,Expose root to injected components (#433),Expose root to injected components Change node version to see if it resolves github action issue Co-authored-by: Zyie 24736175+Zyie@users.noreply.github.com
4,Update index.js (#430),Fix support for canvas renderer,Update index.js (#430),Fix support for canvas renderer
5,chore: cleanup files,,chore: cleanup files,
6,Try a GH action instead of circle (#431),  try a GH action instead of circle   no silent   add test:ci command   delete circle actions    Co-authored-by: Alex Prokop alex.prokop@play.co,Try a GH action instead of circle (#431),try a GH action instead of circle no silent add test:ci command delete circle actions Co-authored-by: Alex Prokop alex.prokop@play.co
7,Add AppProvider usage description in hooks docs (#420),  Add AppProvider usage description in hooks docs   Make description of custom AppProvider usage more accurate ,Add AppProvider usage description in hooks docs (#420),Add AppProvider usage description in hooks docs Make description of custom AppProvider usage more accurate
8,v7.0.3,,v7.0.3,
9,Fixed an issue with the insertBefore method that was causing children of a container to sometimes be in an indeterminate order after re-ordering. (#423),,Fixed an issue with the insertBefore method that was causing children of a container to sometimes be in an indeterminate order after re-ordering. (#423),
10,"Revert ""Modular Packages (#407)""",This reverts commit f277550733249cca6ba75219c62facc2af7c5976.,"Revert ""Modular Packages (#407)""",This reverts commit f277550733249cca6ba75219c62facc2af7c5976.
11,Modular Packages (#407),  rollup config tweaks   package tweaks   clean up animated package   split out invariant util into its own package   split out react-components package   split out react-reconciler into react-fiber package   add react-modular package to wire everything together   update main pixi-react package to be a wrapper for other modules   codesandbox ci tweaks    Co-authored-by: Alex Prokop alex.prokop@play.co,Modular Packages (#407),rollup config tweaks package tweaks clean up animated package split out invariant util into its own package split out react-components package split out react-reconciler into react-fiber package add react-modular package to wire everything together update main pixi-react package to be a wrapper for other modules codesandbox ci tweaks Co-authored-by: Alex Prokop alex.prokop@play.co
12,update to the readme (#415),,update to the readme (#415),
13,v7.0.2,,v7.0.2,
14,Fix typings for sprite with children (#409),"  Fix typings for sprite with children   Revert ""Fix typings for sprite with children""   This reverts commit 4f536c5660cc3a6a9f66b47b239192b24cddc5e9.   Fix typings for Sprite by using PropsWithChildren type   Fix typings for ParticleContainer by using PropsWithChildren type    Co-authored-by: Igor.korol Igor.korol@stark.games",Fix typings for sprite with children (#409),"Fix typings for sprite with children Revert ""Fix typings for sprite with children"" This reverts commit 4f536c5660cc3a6a9f66b47b239192b24cddc5e9. Fix typings for Sprite by using PropsWithChildren type Fix typings for ParticleContainer by using PropsWithChildren type Co-authored-by: Igor.korol Igor.korol@stark.games"
15,Add working ci.json contents,,Add working ci.json contents,
16,Fix createRoot typings (#404),,Fix createRoot typings (#404),
17,Add codesandbox ci config (#406),  add starter codesandbox/ci.json   add contents    Co-authored-by: Alex Prokop alex.prokop@play.co,Add codesandbox ci config (#406),add starter codesandbox/ci.json add contents Co-authored-by: Alex Prokop alex.prokop@play.co
18,add starter codesandbox/ci.json (#405),Co-authored-by: Alex Prokop alex.prokop@play.co,add starter codesandbox/ci.json (#405),Co-authored-by: Alex Prokop alex.prokop@play.co
19,Fix heading hierarchy,,Fix heading hierarchy,
20,Update about docs to match README,,Update about docs to match README,
21,v7.0.1,,v7.0.1,
22,add check for master branch prerelease script (#400),Co-authored-by: Alex Prokop alex.prokop@play.co,add check for master branch prerelease script (#400),Co-authored-by: Alex Prokop alex.prokop@play.co
23,Fix Container TS types bug (#401),Co-authored-by: Alex Prokop alex.prokop@play.co,Fix Container TS types bug (#401),Co-authored-by: Alex Prokop alex.prokop@play.co
24,fix discord link,,fix discord link,
25,update package.lock,,update package.lock,
26,fix borked versions (#397),Co-authored-by: Alex Prokop alex.prokop@play.co,fix borked versions (#397),Co-authored-by: Alex Prokop alex.prokop@play.co
