Index,Release Note,Release Note With Abstraction
1,"What's Changed

Add AppProvider usage description in hooks docs by @AndreasWintherMoen in https://github.com/pixijs/pixi-react/pull/420
Try a GH action instead of circle by @baseten in https://github.com/pixijs/pixi-react/pull/431
Fix support for canvas renderer by @salojoo in https://github.com/pixijs/pixi-react/pull/430
Expose root to injected components by @lunarraid in https://github.com/pixijs/pixi-react/pull/433
Fix typo in Text.mdx by @PabloLION in https://github.com/pixijs/pixi-react/pull/434

New Contributors

@AndreasWintherMoen made their first contribution in https://github.com/pixijs/pixi-react/pull/420
@salojoo made their first contribution in https://github.com/pixijs/pixi-react/pull/430
@lunarraid made their first contribution in https://github.com/pixijs/pixi-react/pull/433
@PabloLION made their first contribution in https://github.com/pixijs/pixi-react/pull/434

Full Changelog: https://github.com/pixijs/pixi-react/compare/v7.0.3...v7.1.0","What's Changed
Add AppProvider usage description in hooks docs by @AndreasWintherMoen in link
Try a GH action instead of circle by @baseten in link
Fix support for canvas renderer by @salojoo in link
Expose root to injected components by @lunarraid in link
Fix typo in Text.mdx by @PabloLION in link
New Contributors
@AndreasWintherMoen made their first contribution in link
@salojoo made their first contribution in link
@lunarraid made their first contribution in link
@PabloLION made their first contribution in link
Full Changelog: link"
2,"What's Changed

update to the readme by @GoodBoyDigital in https://github.com/pixijs/pixi-react/pull/415
Modular Packages by @baseten in https://github.com/pixijs/pixi-react/pull/407
Fixed an issue with the insertBefore method that was causing children… by @maximtwo in https://github.com/pixijs/pixi-react/pull/423

New Contributors

@maximtwo made their first contribution in https://github.com/pixijs/pixi-react/pull/423

Full Changelog: https://github.com/pixijs/pixi-react/compare/v7.0.2...v7.0.3","What's Changed
update to the readme by @GoodBoyDigital in link
Modular Packages by @baseten in link
Fixed an issue with the insertBefore method that was causing children… by @maximtwo in link
New Contributors
@maximtwo made their first contribution in link
Full Changelog: link"
3,"What's Changed

Add starter codesandbox/ci.json by @baseten in https://github.com/pixijs/pixi-react/pull/405
Add codesandbox ci config by @baseten in https://github.com/pixijs/pixi-react/pull/406
Fix createRoot typings by @Ledzz in https://github.com/pixijs/pixi-react/pull/404
Fix typings for sprite with children by @Hogar in https://github.com/pixijs/pixi-react/pull/409

New Contributors

@Hogar made their first contribution in https://github.com/pixijs/pixi-react/pull/409

Full Changelog: https://github.com/pixijs/pixi-react/compare/v7.0.1...v7.0.2","What's Changed
Add starter codesandbox/ci.json by @baseten in link
Add codesandbox ci config by @baseten in link
Fix createRoot typings by @Ledzz in link
Fix typings for sprite with children by @Hogar in link
New Contributors
@Hogar made their first contribution in link
Full Changelog: link"
4,"What's Changed

Fix Container TS types bug by @baseten in https://github.com/pixijs/pixi-react/pull/401
Add check for master branch prerelease script by @baseten in https://github.com/pixijs/pixi-react/pull/400

Full Changelog: https://github.com/pixijs/pixi-react/compare/v7.0.0...v7.0.1","What's Changed
Fix Container TS types bug by @baseten in link
Add check for master branch prerelease script by @baseten in link
Full Changelog: link"
5,"What's Changed

Update to support React 18 by @baseten in https://github.com/pixijs/pixi-react/pull/358
Remove docz ready for release by @baseten in https://github.com/pixijs/pixi-react/pull/360
Update repo structure by @baseten in https://github.com/pixijs/pixi-react/pull/363
Convert to monorepo by @baseten in https://github.com/pixijs/pixi-react/pull/364
Add docusaurus by @baseten in https://github.com/pixijs/pixi-react/pull/366
Fix BitmapText double destroy bug by @baseten in https://github.com/pixijs/pixi-react/pull/378
Pixi V7 by @baseten in https://github.com/pixijs/pixi-react/pull/377
Prep for v7 release by @baseten in https://github.com/pixijs/pixi-react/pull/380
export TYPES on @pixi/react instead by @baseten in https://github.com/pixijs/pixi-react/pull/384
Remove tsconfig package in favour of root file by @baseten in https://github.com/pixijs/pixi-react/pull/386
Move sideEffects false to each package by @baseten in https://github.com/pixijs/pixi-react/pull/387
Update docs version and fix baseUrl by @baseten in https://github.com/pixijs/pixi-react/pull/388
fix doc deployment by @Zyie in https://github.com/pixijs/pixi-react/pull/390
Replace pixi-react PIXI package import with scoped packages by @baseten in https://github.com/pixijs/pixi-react/pull/391
Add createRoot API by @baseten in https://github.com/pixijs/pixi-react/pull/392
Update README.md by @GoodBoyDigital in https://github.com/pixijs/pixi-react/pull/376
Add GH release action by @baseten in https://github.com/pixijs/pixi-react/pull/393
Launch V7 by @baseten in https://github.com/pixijs/pixi-react/pull/394
Fix Docs by @baseten in https://github.com/pixijs/pixi-react/pull/395
Fix borked versions by @baseten in https://github.com/pixijs/pixi-react/pull/397

New Contributors

@baseten made their first contribution in https://github.com/pixijs/pixi-react/pull/358
@Zyie made their first contribution in https://github.com/pixijs/pixi-react/pull/390
@GoodBoyDigital made their first contribution in https://github.com/pixijs/pixi-react/pull/376

Full Changelog: https://github.com/pixijs/pixi-react/compare/v6.8.0...v7.0.0","What's Changed
Update to support React 18 by @baseten in link
Remove docz ready for release by @baseten in link
Update repo structure by @baseten in link
Convert to monorepo by @baseten in link
Add docusaurus by @baseten in link
Fix BitmapText double destroy bug by @baseten in link
Pixi V7 by @baseten in link
Prep for v7 release by @baseten in link
export TYPES on @pixi/react instead by @baseten in link
Remove tsconfig package in favour of root file by @baseten in link
Move sideEffects false to each package by @baseten in link
Update docs version and fix baseUrl by @baseten in link
fix doc deployment by @Zyie in link
Replace pixi-react PIXI package import with scoped packages by @baseten in link
Add createRoot API by @baseten in link
Update README.md by @GoodBoyDigital in link
Add GH release action by @baseten in link
Launch V7 by @baseten in link
Fix Docs by @baseten in link
Fix borked versions by @baseten in link
New Contributors
@baseten made their first contribution in link
@Zyie made their first contribution in link
@GoodBoyDigital made their first contribution in link
Full Changelog: link"
6,"Changes

Added support for react 18 #358 
","Changes
Added support for react 18 #358 "
7,"Improved

Move update events from window to root container
","Improved
Move update events from window to root container"
8,"Added
Support for <Graphics geometry={geometry} />, see #334","Added
Support for , see #334"
9,"Improved
Support Federated Events API","Improved
Support Federated Events API"
10,"Improved
Export internal types (InteractionEvents)","Improved
Export internal types (InteractionEvents)"
