Index,Message,Description,Message Abstract,Description Abstract
1,"[4.x] Fixes jobs saying ""pending"" forever (#1349)","  Fixes ""pending"" job status   Apply fixes from StyleCI   Style   style   Test failed updates   Fixes contract   More tests   Fix type   Fixes tests   formatting   formatting    Co-authored-by: StyleCI Bot bot@styleci.io Co-authored-by: Taylor Otwell taylor@laravel.com","[4.x] Fixes jobs saying ""pending"" forever (#1349)","Fixes ""pending"" job status Apply fixes from StyleCI Style style Test failed updates Fixes contract More tests Fix type Fixes tests formatting formatting Co-authored-by: StyleCI Bot bot@styleci.io Co-authored-by: Taylor Otwell taylor@laravel.com"
2,Update CHANGELOG,,Update CHANGELOG,
3,[4.x] Add duration to HTTP Client watcher (#1348),  Add duration to HTTP Client watcher   compile    Co-authored-by: Taylor Otwell taylor@laravel.com,[4.x] Add duration to HTTP Client watcher (#1348),Add duration to HTTP Client watcher compile Co-authored-by: Taylor Otwell taylor@laravel.com
4,Update CHANGELOG,,Update CHANGELOG,
5,Fix MailWatcher tags (#1340),Closes https://github.com/laravel/telescope/issues/1339,Fix MailWatcher tags (#1340),Closes link
6,Fix database connection,,Fix database connection,
7,Rename 1_Bug_report.md to 1_Bug_report.yml,,Rename 1_Bug_report.md to 1_Bug_report.yml,
8,Update 1_Bug_report.md,,Update 1_Bug_report.md,
9,Update CHANGELOG,,Update CHANGELOG,
10,"Don't use constructor injection in console commands, and inject into handle() instead. (#1327)",,"Don't use constructor injection in console commands, and inject into handle() instead. (#1327)",
11,Compile Assets,,Compile Assets,
12,Bump webpack from 5.61.0 to 5.76.1 (#1324),Bumps webpack from 5.61.0 to 5.76.1. - Release notes - Commits  updated-dependencies: - dependency-name: webpack   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,Bump webpack from 5.61.0 to 5.76.1 (#1324),Bumps webpack from 5.61.0 to 5.76.1. - Release notes - Commits updated-dependencies: - dependency-name: webpack   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
13,Update config (#1323),,Update config (#1323),
14,Return callable output on Telescope::withoutRecording (#1317),,Return callable output on Telescope::withoutRecording (#1317),
15,[4.x] Adds type checking (#1314),  Adds type checking   Apply fixes from StyleCI    Co-authored-by: StyleCI Bot bot@styleci.io,[4.x] Adds type checking (#1314),Adds type checking Apply fixes from StyleCI Co-authored-by: StyleCI Bot bot@styleci.io
16,Update CHANGELOG,,Update CHANGELOG,
17,[4.x] Allows to specify the log level (#1312),  Allows to specify log level   Apply fixes from StyleCI   Update src/Watchers/LogWatcher.php   Co-authored-by: Dries Vints dries@vints.io   Update LogWatcher.php   formatting    Co-authored-by: StyleCI Bot bot@styleci.io Co-authored-by: Taylor Otwell taylor@laravel.com Co-authored-by: Dries Vints dries@vints.io,[4.x] Allows to specify the log level (#1312),Allows to specify log level Apply fixes from StyleCI Update src/Watchers/LogWatcher.php Co-authored-by: Dries Vints dries@vints.io Update LogWatcher.php formatting Co-authored-by: StyleCI Bot bot@styleci.io Co-authored-by: Taylor Otwell taylor@laravel.com Co-authored-by: Dries Vints dries@vints.io
18,wip,,wip,
19,Prevent Laravel\Scout\Jobs\MakeSearchable job from being recorded (#1306),,Prevent Laravel\Scout\Jobs\MakeSearchable job from being recorded (#1306),
20,Apply fixes from StyleCI,,Apply fixes from StyleCI,
21,prevent memory leaks on large model imports,,prevent memory leaks on large model imports,
22,Update CHANGELOG,,Update CHANGELOG,
23,Creates a fresh instance of schema for each migration (#1305),,Creates a fresh instance of schema for each migration (#1305),
24,Update CHANGELOG,,Update CHANGELOG,
25,Update composer.json,,Update composer.json,
26,wip,,wip,
27,Centers button icons (#1299),,Centers button icons (#1299),
28,Update UPGRADE.md,,Update UPGRADE.md,
29,Update CHANGELOG,,Update CHANGELOG,
30,[4.x] Handle redis connection exception on DumpWatcher register (#1296), Handle redis connection exception on DumpWatcher register  Fixes issue #620   Cleanup after previous solution removed   Include another case and refactor   Add missing !   Update src/Telescope.php   Update src/Watchers/DumpWatcher.php   use Exception    Co-authored-by: Dries Vints dries@vints.io,[4.x] Handle redis connection exception on DumpWatcher register (#1296),Handle redis connection exception on DumpWatcher register Fixes issue #620 Cleanup after previous solution removed Include another case and refactor Add missing ! Update src/Telescope.php Update src/Watchers/DumpWatcher.php use Exception Co-authored-by: Dries Vints dries@vints.io
31,[4.x] A fresh coat of paint (#1295),  wip: Add a fresh coat of paint   wip: Dark mode   Tweaks   Apply fixes from StyleCI   Compile Assets   More tweaks   Co-authored-by: jessarcher jessarcher@users.noreply.github.com,[4.x] A fresh coat of paint (#1295),wip: Add a fresh coat of paint wip: Dark mode Tweaks Apply fixes from StyleCI Compile Assets More tweaks Co-authored-by: jessarcher jessarcher@users.noreply.github.com
32,Update CHANGELOG,,Update CHANGELOG,
33,Laravel v10 Support (#1292),  Update composer.json   Update tests.yml ,Laravel v10 Support (#1292),Update composer.json Update tests.yml
34,Bump json5 from 1.0.1 to 1.0.2 (#1290),Bumps json5 from 1.0.1 to 1.0.2. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: json5   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,Bump json5 from 1.0.1 to 1.0.2 (#1290),Bumps json5 from 1.0.1 to 1.0.2. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: json5   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
35,Update CHANGELOG,,Update CHANGELOG,
36,[4.x] Uses PHP Native Type Declarations 🐘  (#1267),  Adds types to migrations and stubs   Bumps PHP version   Stops testing in PHP 7.x   Avoids breaking change ,[4.x] Uses PHP Native Type Declarations 🐘  (#1267),Adds types to migrations and stubs Bumps PHP version Stops testing in PHP 7.x Avoids breaking change
37,Add support for model keys cast to backed enums in FormatModel (#1286),  Add support for model keys casted to backed enums in FormatModel   Fix code style   Added interface_exists() check to avoid breaking compatibility with PHP < 8.1   Removed import for interface BackedEnum to preserve compatibility   Add support for Pivots with backed enum ids   Update FormatModel.php   Co-authored-by: Taylor Otwell taylor@laravel.com,Add support for model keys cast to backed enums in FormatModel (#1286),Add support for model keys casted to backed enums in FormatModel Fix code style Added interface_exists() check to avoid breaking compatibility with PHP < 8.1 Removed import for interface BackedEnum to preserve compatibility Add support for Pivots with backed enum ids Update FormatModel.php Co-authored-by: Taylor Otwell taylor@laravel.com
38,Update tests.yml,,Update tests.yml,
39,Update CHANGELOG,,Update CHANGELOG,
40,Fix tests (#1284),,Fix tests (#1284),
41,Update CHANGELOG,,Update CHANGELOG,
42,Fix FormatModel class to work with keyless Pivot models (#1282),  Improve FormatModel to work with keyless Pivot models.   Update FormatModel.php   Co-authored-by: Taylor Otwell taylor@laravel.com,Fix FormatModel class to work with keyless Pivot models (#1282),Improve FormatModel to work with keyless Pivot models. Update FormatModel.php Co-authored-by: Taylor Otwell taylor@laravel.com
43,Compile Assets,,Compile Assets,
44,adjust text-break layout with text-break class (#1281),"adjust text-break layout with text-break class In the case of very long text, the layout was breaking with this adjustment, it automatically fixes it, I increased it to 200 characters as well.",adjust text-break layout with text-break class (#1281),"adjust text-break layout with text-break class In the case of very long text, the layout was breaking with this adjustment, it automatically fixes it, I increased it to 200 characters as well."
45,Update CHANGELOG,,Update CHANGELOG,
46,Add the Ability to Pass Custom ignore_paths To Query Watcher (#1276),  Add the ability to ignore custom paths to QueryWatcher   Linting   Update FetchesStackTrace.php   Update FetchesStackTrace.php   Co-authored-by: Taylor Otwell taylor@laravel.com,Add the Ability to Pass Custom ignore_paths To Query Watcher (#1276),Add the ability to ignore custom paths to QueryWatcher Linting Update FetchesStackTrace.php Update FetchesStackTrace.php Co-authored-by: Taylor Otwell taylor@laravel.com
47,Create issues.yml,,Create issues.yml,
48,Bump minimatch from 3.0.4 to 3.1.2 (#1272),Bumps minimatch from 3.0.4 to 3.1.2. - Release notes - Commits  updated-dependencies: - dependency-name: minimatch   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,Bump minimatch from 3.0.4 to 3.1.2 (#1272),Bumps minimatch from 3.0.4 to 3.1.2. - Release notes - Commits updated-dependencies: - dependency-name: minimatch   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
49,Bump loader-utils from 1.4.1 to 1.4.2 (#1271),Bumps loader-utils from 1.4.1 to 1.4.2. - Release notes - Changelog - Commits  updated-dependencies: - dependency-name: loader-utils   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com,Bump loader-utils from 1.4.1 to 1.4.2 (#1271),Bumps loader-utils from 1.4.1 to 1.4.2. - Release notes - Changelog - Commits updated-dependencies: - dependency-name: loader-utils   dependency-type: indirect ... Signed-off-by: dependabot[bot] support@github.com Signed-off-by: dependabot[bot] support@github.com Co-authored-by: dependabot[bot] 49699333+dependabot[bot]@users.noreply.github.com
50,Update CHANGELOG,,Update CHANGELOG,
