Index,Message,Description,Message Abstract,Description Abstract
1,📝 Update release notes,,📝 Update release notes,
2,📝 Remove obsolete references to --install-completion for typer.run() scripts (#595),📝 Remove obsolete references to --install-completion for typer.run() scripts,📝 Remove obsolete references to --install-completion for typer.run() scripts (#595),📝 Remove obsolete references to --install-completion for typer.run() scripts
3,🔖 Release version 0.9.0,,🔖 Release version 0.9.0,
4,📝 Update release notes,,📝 Update release notes,
5,📝 Update release notes,,📝 Update release notes,
6,"📝 Update docs examples for custom param types using Annotated, fix overloads for typer.Argument (#594)",  📝 Add source examples for custom parameter types with Annotated   ✅ Add tests for custom parameters with Annotated   📝 Update docs for custom parameters with Annotated   ♻️ Fix overloads default in Argument after Annotated   ✅ Fix test for custom param types ,"📝 Update docs examples for custom param types using Annotated, fix overloads for typer.Argument (#594)",📝 Add source examples for custom parameter types with Annotated ✅ Add tests for custom parameters with Annotated 📝 Update docs for custom parameters with Annotated ♻️ Fix overloads default in Argument after Annotated ✅ Fix test for custom param types
7,📝 Update release notes,,📝 Update release notes,
8,📝 Update release notes,,📝 Update release notes,
9,⬆ [pre-commit.ci] pre-commit autoupdate (#592),updates: - github.com/asottile/pyupgrade: v3.3.1 → v3.3.2 Co-authored-by: pre-commit-ci[bot] 66853113+pre-commit-ci[bot]@users.noreply.github.com,⬆ [pre-commit.ci] pre-commit autoupdate (#592),updates: - github.com/asottile/pyupgrade: v3.3.1 → v3.3.2 Co-authored-by: pre-commit-ci[bot] 66853113+pre-commit-ci[bot]@users.noreply.github.com
10,✨ Add support for PEP-593 Annotated for specifying options and arguments (#584)," ✨ Add support for PEP-593 Annotated for specifying options and arguments  Implements #184  Revert things I did to get a 3.6 virtualenv 😅  A lot of the dev dependency packages weren't installable on 3.6, so I had to remove them from the pyproject.toml. This commit adds them back   Fix mypy/lint errors   Skip coverage on test lines that shouldn't execute   Missed a spot   ♻️ Tweak examples and tests with Annotated, add extra examples and tests   🔥 Remove Pydantic-specific logic from _typing.py   📝 Update docs to use new Annotated examples   📝 Add docs introducing Annotated and previous versions   🔧 Add commented out MkDocs config for highlighting docs examples   ✅ Fix tests for Click 7    Co-authored-by: Sebastián Ramírez tiangolo@gmail.com",✨ Add support for PEP-593 Annotated for specifying options and arguments (#584),"✨ Add support for PEP-593 Annotated for specifying options and arguments Implements #184 Revert things I did to get a 3.6 virtualenv 😅 A lot of the dev dependency packages weren't installable on 3.6, so I had to remove them from the pyproject.toml. This commit adds them back Fix mypy/lint errors Skip coverage on test lines that shouldn't execute Missed a spot ♻️ Tweak examples and tests with Annotated, add extra examples and tests 🔥 Remove Pydantic-specific logic from _typing.py 📝 Update docs to use new Annotated examples 📝 Add docs introducing Annotated and previous versions 🔧 Add commented out MkDocs config for highlighting docs examples ✅ Fix tests for Click 7 Co-authored-by: Sebastián Ramírez tiangolo@gmail.com"
