Commit Message,Score,Correspond Changelog Sentence,Commit Description,Label
don't store Out in itself (#1083),0.43074274,Mention In and Out in README and how to empty them (#853) (MasonProtter),,0
bump version (#1082),0.7982475,- bump version (#1082) (@stevengj),,1
ensure JSONText is never base64-encoded (#1081),0.92442274,- ensure JSONText is never base64-encoded (#1081) (@stevengj),,1
bump version (#1080),0.8410055,- bump version (#1080) (@stevengj),,1
include kspec.jl unconditionally (#1079),0.94111097,- include kspec.jl unconditionally during build (#1079) (@stevengj),,1
Use logo in the documentation (#1064),0.91501015,- Use logo in the documentation (#1064) (@hyrodium),update docs/make.jl to copy logo files update path variables update gitignore fix typo,1
"Add notes on fixing ""Connecting to kernel"" failures. (#1030)",0.95545995,"- Add notes on fixing ""Connecting to kernel"" failures. (#1030) (@jd-foster)",,1
bump version,0.65207064,- bump version (#1080) (@stevengj),,0
fix backtrace to start with In[x] in Julia 1.5+,0.5108582,"Julia 0.6 fixes, dropping Julia 0.4, switching to MbedTLS instead of Nettle.",,0
fix heartbeat for Julia 1.9 (closes ##1062),0.63696223,"Julia 0.6 fixes, dropping Julia 0.4, switching to MbedTLS instead of Nettle.",,0
Correct kernelspec name (#1004),0.9338782,- Correct kernelspec name (#1004) (@jks-liu),Correct kernelspec name Add test for kernelspec_name,1
Update help link (#1006),0.7812075,- Update help link (#1006) (@raphbacher),pkg.julialang.org is now an empty page (url used as a package server),1
Add Julia svg logo (#1053),0.9313991,- Add Julia svg logo (#1053) (@steff456),Add Julia svg logo Add new svg path to kernelspecs,1
Replace SimpleLogger with ConsoleLogger (#1045),0.9073359,- Replace SimpleLogger with ConsoleLogger (#1045) (@BoZenKhaa),Co-authored-by: Jan Mrkos mrkosja1@fel.cvut.cz,1
1.23.3 bump,0.5684306,- bump version (#1082) (@stevengj),,0
respect should_complete return value from REPLCompletions.completions (#993),0.95829076,- respect should_complete return value from REPLCompletions.completions (#993) (@stevengj),,1
Fix broken link (#997),0.7895061,- Fix broken link (#997) (@bluesmoon),Fix broken link Update docs/src/manual/usage.md Co-authored-by: Fredrik Ekre ekrefredrik@gmail.com,1
Compare kernel.jl files rather than filenames (#1025),0.9622427,- Compare kernel.jl files rather than filenames (#1025) (@bluesmoon),"Comparing filenames means we end up warning on directory level symlinks or file level hardlinks. Using stat instead compares the device, inode, and other details about the file itself.",1
Note about default environment (#1007),0.9200189,- Note about default environment (#1007) (@lamorton),"If you add IJulia to a different environment, then Jupyter won't be able to launch the IJulia kernel automatically.  I got bit by this recent.",1
flush stdio before display (#999),0.9168575,- flush stdio before display (#999) (@stevengj),,1
"Fix io redirection for Julia 1.7, fixes #986. (#989)",0.7875092,- redirect_stdio is broken by Julia 1.7 (#986),,1
fix heartbeat on 1.6 (#985),0.9009143,- fix heartbeat on 1.6 (#985) (@stevengj),,1
add color to error output,0.43639418,- errors thrown from a kernel are not pretty printed (#974),,0
limit=true for error output (fixes #974),0.46837345,- errors thrown from a kernel are not pretty printed (#974),,0
Change uuid to a string in all locations. (#973),0.9458915,- Change uuid to a string in all locations. (#973) (@bluesmoon),"additionally, the call to repr is no longer required.",1
Convert uuid4 to a string before using as msg_id (#972),0.9559174,- Convert uuid4 to a string before using as msg_id (#972) (@bluesmoon),"IJulia.uuid4() is defined as repr(UUIDs.uuid4()), however repr(UUIDs.uuid4()) is rendered as UUID("".......""). The result is that in websocket responses from Jupyter, we see the following: {""msg_id"": ""UUID(\""f160847f-81ef-4c2f-b6b8-68659c81a957\"")"", ""msg_type"": ""status"", ""username"": ""username"", ""date"": ""2021-01-08T20:06:10.647000Z"", ""version"": ""5.3"", ""session"": ""1bbf2086-e46f-4174-bb88-72e75a09479d""}, ""msg_id"": ""UUID(\""f160847f-81ef-4c2f-b6b8-68659c81a957\"")"", ""msg_type"": ""status"", ""parent_header"": {""msg_id"": ""317ec8d3-c7a0-4752-bb0d-137c4149268f"", ""notebook_uuid"": ""07423003-fd24-4681-911a-301054ffbcb7"", ""username"": ""username"", ""msg_type"": ""execute_request"", ""date"": ""2021-01-08T20:06:10.646228Z"", ""version"": ""5.0"", ""session"": ""1bbf2086-e46f-4174-bb88-72e75a09479d""}, ""metadata"": {}, ""content"": {""execution_state"": ""busy""}, ""buffers"": [], ""channel"": ""iopub""}' Wrapping it in a call to string() fixes this issue.",1
add nteract to README (#965),0.9630361,- add nteract to README (#965) (@willingc),,1
Run tagbot on issue comments instead of cron.,0.6587852,"- Set version to 1.21.2, limit tagbot to once per day. (#914) (@fredrikekre)",,0
Set version to 1.23.1.,0.8516114,Set version to 1.21.0. (#899) (fredrikekre),,1
Don't use --startup-file=yes (it is default anyways). (#963),0.95755875,- Don't use --startup-file=yes (it is default anyways). (#963) (@fredrikekre),"Pkg launches subprocesses with the startup file if you explicitly start julia with --startup-file=yes. Since it is default anyway it seems like this can be removed, fixes link.",1
version bump to 1.23,0.6712127,Set version to 1.21.0. (#899) (fredrikekre),,0
Allow users to opt out of the default kernel. (#958),0.9448385,- Allow users to opt out of the default kernel. (#958) (@vchuravy),Allow users to opt out of the default kernel. document IJULIA_NODEFAULTKERNEL Co-authored-by: Steven G. Johnson stevenj@alum.mit.edu,1
"Revert ""support repl_ast_transforms in Julia 1.5 (#947)""",0.8935432,- support repl_ast_transforms in Julia 1.5 (#947) (@stevengj),This reverts commit 4fd955afa15c43af6f137e6d27a112958cc6f0e6.,1
Set version to 1.22.0.,0.86051583,Set version to 1.21.0. (#899) (fredrikekre),,1
"Add kwarg julia to installkernel (to support JupyterHub with containers, etc.) (#948)",0.97432125,"- Add kwarg julia_cmd to installkernel (to support JupyterHub with containers, etc.) (#948) (@oschulz)",,1
Load InteractiveUtils from the IJulia namespace in src/kernel.jl. (#951),0.9919994,- Load InteractiveUtils from the IJulia namespace in src/kernel.jl. (#951) (@fredrikekre),,1
support repl_ast_transforms in Julia 1.5 (#947),0.99254006,- support repl_ast_transforms in Julia 1.5 (#947) (@stevengj),,1
Organize/add docstrings in API docs (#945),0.9177573,- Organize/add docstrings in API docs (#945) (@jlumpe),Remove duplicate documentation src file Explicitly list API docstrings to include and group under headings Add @docs blocks for important functions/types currently missing docstrings.,1
TagBot: use DOCUMENTER_KEY (#944),0.93247414,- TagBot: use DOCUMENTER_KEY (#944) (@DilumAluthge),,1
tag 1.21.3,0.5327821,Tag a release (#898),,0
"Fix the ""dev"" docs badge (#943)",0.9025269,"- Fix the ""dev"" docs badge (#943) (@DilumAluthge)",,1
doc link,0.50799114,- Documentation? (#936),,0
Add documentation with Documenter.jl (#941),0.9015316,- Add documentation with Documenter.jl (#941) (@jlumpe),"Documenter.jl src files with README contents Add public API docs page w/ @autodoc, empty docs page on internals Simplify README Set up documentation deployment Add documentation badges to README Run Pkg.build() in documentation workflow",1
add fallback to complete_type (fixes #935),0.6132201,- respect should_complete return value from REPLCompletions.completions (#993) (@stevengj),,0
ensure text/plain output is valid Unicode (closes #927),0.5296559,- Error in utf-8 decoding (#927),,0
"Set version to 1.21.2, limit tagbot to once per day. (#914)",0.9729216,"- Set version to 1.21.2, limit tagbot to once per day. (#914) (@fredrikekre)",Limit TagBot cronjob to once per day. Set version to 1.21.2.,1
Update [compat] to allow MbedTLS v1 (#912),0.9546263,- Update [compat] to allow MbedTLS v1 (#912) (@jaakkor2),,1
JSON 1,0.38145655,- ensure JSONText is never base64-encoded (#1081) (@stevengj),,0
Install TagBot as a GitHub Action (#901),0.9147866,- Install TagBot as a GitHub Action (#901) (@JuliaTagBot),,1
version bump,0.6042828,- bump version (#1080) (@stevengj),,0
use _set_conda_env to launch jupyter (#900),0.99110997,use _set_conda_env to launch jupyter (#900) (stevengj),,1
Set version to 1.21.0. (#899),0.9611149,Set version to 1.21.0. (#899) (fredrikekre),,1
Use org default funding file.,0.25882268,- Use logo in the documentation (#1064) (@hyrodium),,0
Add support for vega-lite 4 MIME type (#890),0.99070895,Add support for vega-lite 4 MIME type (#890) (davidanthoff),,1
only recognize magics at start of cell (fixes #888),0.53250265,- Cell content disappears  (#919),,0
Bump version,0.65207064,- bump version (#1080) (@stevengj),,0
Add InlineIOContext with Jupyter property. (#876),0.9779379,Add InlineIOContext with Jupyter property. (#876) (travigd),Add InlineIOContext with Jupyter property. Fix test case.,1
"Fix compat bounds for auto-merging, bump version to 1.20.1. (#884)",0.9934419,"Fix compat bounds for auto-merging, bump version to 1.20.1. (#884) (fredrikekre)",,1
make work with ipc transport (#868),0.95600283,make work with ipc transport (#868) (marius311),,1
tag 1.20,0.56125784,Tag a release (#898),,0
whoops,0.28326446,Fix #776,,0
fix jupyter-lab test on Windows (fixes #866),0.76991147,Slight fix to handling of environment variables for jupyter subcommands (137aed4c98a4be788b6a73df2ef74c2667be5611).,,1
tag 1.19,0.61445916,Tag a release (#898),,0
"Fix #855, add required status field for JupyterLab 1.0 (#856)",0.99351054,"Fix #855, add required status field for JupyterLab 1.0 (#856) (drewrobson)",,1
